"","grp","chng_type","Source","Zone","SubzoneGroup","Subzone","BGC","BGCName","ZoneName","SubzoneName","VariantName","General.Location","OldSubzoneLabel","DataSet","State","Notes"
"12",7,"-","USA_2019","BG","BG","BGmk","BGmk_NV","Nevada Moist Cool BG","Bunchgrass","Moist Cool","Nevada","N Nevada","S Oregon","S Idaho""","","USA"
"13",8,"+","USA_2019","BG","BG","BGmm","BGmm_MT","Montana Moist Mild BG","Bunchgrass","Moist Mild","Montana","Wyoming & S Montana","","USA","MT",""
"14",8,"-","USA_2019","BG","BG","BGmm","BGmm_MT","Montana Moist Mild BG","Bunchgrass","Moist Mild","Montana","Wyoming","S Montana""","new","USA","MT"
"15",10,"+","USA_2019","BG","BG","BGmw","BGmw_WA","Washington Moist Warm BG","Bunchgrass","Moist Warm","Washington","C Washington","BG  dwz","USA","WA",""
"16",10,"-","USA_2019","BG","BG","BGmw","BGmw_WA","Washington Moist Warm BG","Bunchgrass","Moist Warm","Washington","Central WA - Pseuspi-Festida","BG  dwz","USA","WA",""
"17",11,"+","USA_2019","BG","BG","BGwm","BGwm_WA","Washington Wet Mild BG","Bunchgrass","Wet Mild","Washington","C Washington ","BG  wmz","USA","WA",""
"18",11,"-","USA_2019","BG","BG","BGwm","BGwm_WA","Washington Wet Mild BG","Bunchgrass","Wet Mild","Washington","Central WA - Sympalb-Pseuspi-Festida","BG  wmz","USA","WA",""
"19",12,"+","BGCv11","BG","BG","BGxh","BGxh1","Okanagan Very Dry Hot BG","Bunchgrass","Very Dry Hot","Okanagan","","","BC","BC",""
"20",12,"-","BGCv11","BG","BG","BGxh","BGxh1","Okanagan Very Dry Hot BG","Bunchgrass","Very Dry Hot","Okanagan","Very Dry Hot","","BC","BC",""
"21",13,"+","BGCv11","BG","BG","BGxh","BGxh2","Thompson Very Dry Hot BG","Bunchgrass","Very Dry Hot","Thompson","","","BC","BC",""
"22",13,"-","BGCv11","BG","BG","BGxh","BGxh2","Thompson Very Dry Hot BG","Bunchgrass","Very Dry Hot","Thompson","Very Dry Hot","","BC","BC",""
"23",14,"+","BGCv11","BG","BG","BGxh","BGxh3","Fraser Very Dry Hot BG","Bunchgrass","Very Dry Hot","Fraser","","","BC","BC",""
"24",14,"-","BGCv11","BG","BG","BGxh","BGxh3","Fraser Very Dry Hot BG","Bunchgrass","Very Dry Hot","Fraser","Very Dry Hot","","BC","BC",""
"25",15,"+","USA_2019","BG","BG","BGxh","BGxh_WA","Washington Very Dry Hot BG","Bunchgrass","Very Dry Hot","Washington","C Washington","BG  xhz","USA","WA",""
"26",15,"-","USA_2019","BG","BG","BGxh","BGxh_WA","Washington Very Dry Hot BG","Bunchgrass","Very Dry Hot","Washington","Central WA - Artetri-Pseuspi","BG  xhz","USA","WA",""
"27",16,"+","BGCv11","BG","BG","BGxw","BGxw1","Nicola Very Dry Warm BG","Bunchgrass","Very Dry Warm","Nicola","","","BC","BC",""
"28",16,"-","BGCv11","BG","BG","BGxw","BGxw1","Nicola Very Dry Warm BG","Bunchgrass","Very Dry Warm","Nicola","Very Dry Warm","","BC","BC",""
"29",17,"+","BGCv11","BG","BG","BGxw","BGxw2","Alkali Very Dry Warm BG","Bunchgrass","Very Dry Warm","Alkali","","","BC","BC",""
"30",17,"-","BGCv11","BG","BG","BGxw","BGxw2","Alkali Very Dry Warm BG","Bunchgrass","Very Dry Warm","Alkali","Very Dry Warm","","BC","BC",""
"31",26,"+","BGCv11","BWBS","BWBS_meso","BWBSdk","BWBSdk","Dry Cool BWBS","Boreal White and Black Spruce","Dry Cool","","","","BC","BC",""
"32",26,"-","BGCv11","BWBS","BWBS_meso","BWBSdk","BWBSdk","Dry Cool BWBS","Boreal White and Black Spruce","Dry Cool","","Dry Cool","","BC","BC",""
"33",29,"+","AB_2020","BWBS","BWBS_cold","BWBSlb","BWBSlbE","Eastern Lower Boreal Highlands BWBS","Boreal White and Black Spruce","Lower Boreal Highlands","Eastern","WC Alberta","BWSPlb","AB","AB",""
"34",29,"-","AB_2020","BWBS","BWBS_cold","BWBSlb","BWBSlbE","Eastern Lower Boreal Highlands BWBS","Boreal White and Black Spruce","Lower Boreal Highlands","Eastern","W Central Alberta","BWSPlb","AB","AB",""
"35",31,"+","AB_2020","BWBS","BWBS_cold","BWBSlb","BWBSlbW","Western Lower Boreal Highlands BWBS","Boreal White and Black Spruce","Lower Boreal Highlands","Western","WC Alberta","BWSPlb","AB","AB",""
"36",31,"-","AB_2020","BWBS","BWBS_cold","BWBSlb","BWBSlbW","Western Lower Boreal Highlands BWBS","Boreal White and Black Spruce","Lower Boreal Highlands","Western","W Central Alberta","BWSPlb","AB","AB",""
"37",33,"+","BGCv11","BWBS","BWBS_meso","BWBSmk","BWBSmk","Moist Cool BWBS","Boreal White and Black Spruce","Moist Cool","","","","BC","BC",""
"38",33,"-","BGCv11","BWBS","BWBS_meso","BWBSmk","BWBSmk","Moist Cool BWBS","Boreal White and Black Spruce","Moist Cool","","Moist Cool","","BC","BC",""
"39",34,"+","BGCv11","BWBS","BWBS_warm","BWBSmw","BWBSmw","Moist Warm BWBS","Boreal White and Black Spruce","Moist Warm","","","","BC","BC",""
"40",34,"-","BGCv11","BWBS","BWBS_warm","BWBSmw","BWBSmw","Moist Warm BWBS","Boreal White and Black Spruce","Moist Warm","","Moist Warm","","BC","BC",""
"41",35,"+","AB_2018","BWBS","BWBS_meso","BWBSnm","BWBSnm","Northern Mixedwood BWBS","Boreal White and Black Spruce","Northern Mixedwood","","N Alberta","BWSPnm","AB","AB",""
"42",35,"-","AB_2018","BWBS","BWBS_meso","BWBSnm","BWBSnm","Northern Mixedwood BWBS","Boreal White and Black Spruce","Northern Mixedwood","","Northern Alberta","BWSPnm","AB","AB",""
"43",36,"+","AB_2018","BWBS","BWBS_warm","BWBSpp","BWBSpp","Peace River Parkland BWBS","Boreal White and Black Spruce","Peace River Parkland","","WC Alberta","BWSPpp","AB","AB",""
"44",36,"-","AB_2018","BWBS","BWBS_warm","BWBSpp","BWBSpp","Peace River Parkland BWBS","Boreal White and Black Spruce","Peace River Parkland","","West Central Alberta","BWSPpp","AB","AB",""
"45",37,"+","AB_2018","BWBS","BWBS_cold","BWBSub","BWBSub","Upper Boreal Highlands BWBS","Boreal White and Black Spruce","Upper Boreal Highlands","","WC Alberta","BWSPup","AB","AB",""
"46",37,"-","AB_2018","BWBS","BWBS_cold","BWBSub","BWBSub","Upper Boreal Highlands BWBS","Boreal White and Black Spruce","Upper Boreal Highlands","","West Central Alberta","BWSPup","AB","AB",""
"47",39,"+","BGCv11","BWBS","BWBS_cold","BWBSvk","BWBSvk","Very Wet Cool BWBS","Boreal White and Black Spruce","Very Wet Cool","","","","BC","BC",""
"48",39,"-","BGCv11","BWBS","BWBS_cold","BWBSvk","BWBSvk","Very Wet Cool BWBS","Boreal White and Black Spruce","Very Wet Cool","","Very Wet Cool","","BC","BC",""
"49",40,"+","BGCv11","BWBS","BWBS_cold","BWBSwk","BWBSwk1","Murray Wet Cool BWBS","Boreal White and Black Spruce","Wet Cool","Murray","","","BC","BC",""
"50",40,"-","BGCv11","BWBS","BWBS_cold","BWBSwk","BWBSwk1","Murray Wet Cool BWBS","Boreal White and Black Spruce","Wet Cool","Murray","Wet Cool","","BC","BC",""
"51",41,"+","BGCv11","BWBS","BWBS_cold","BWBSwk","BWBSwk2","Graham Wet Cool BWBS","Boreal White and Black Spruce","Wet Cool","Graham","","","BC","BC",""
"52",41,"-","BGCv11","BWBS","BWBS_cold","BWBSwk","BWBSwk2","Graham Wet Cool BWBS","Boreal White and Black Spruce","Wet Cool","Graham","Wet Cool","","BC","BC",""
"53",42,"+","BGCv11","BWBS","BWBS_cold","BWBSwk","BWBSwk3","Kledo Wet Cool BWBS","Boreal White and Black Spruce","Wet Cool","Kledo","","","BC","BC",""
"54",42,"-","BGCv11","BWBS","BWBS_cold","BWBSwk","BWBSwk3","Kledo Wet Cool BWBS","Boreal White and Black Spruce","Wet Cool","Kledo","Wet Cool","","BC","BC",""
"55",43,"+","USA_2019","CCH","CCH","CCHun","CCHun_CA","California Undifferentiated CCH","California Chaparrel","Undifferentiated","California","N California","CCH un","USA","CA",""
"56",43,"-","USA_2019","CCH","CCH","CCHun","CCHun_CA","California Undifferentiated CCH","California Chaparrel","Undifferentiated","California","Northern California","CCH un","USA","CA",""
"57",44,"+","BGCv11","CDF","CDF","CDFmm","CDFmm","Moist Maritime CDF","Coastal Douglas-fir","Moist Maritime","","","","BC","BC",""
"58",44,"-","BGCv11","CDF","CDF","CDFmm","CDFmm","Moist Maritime CDF","Coastal Douglas-fir","Moist Maritime","","Moist Maritime","","BC","BC",""
"59",45,"+","USA_2019","CDF","CDF","CDFmm","CDFmm_OR","Oregon Moist Maritime CDF","Coastal Douglas-fir","Moist Maritime","Oregon","NW Oregon","CDF dmz","USA","OR",""
"60",45,"-","USA_2019","CDF","CDF","CDFmm","CDFmm_OR","Oregon Moist Maritime CDF","Coastal Douglas-fir","Moist Maritime","Oregon","W Central W & NW Oregon","CDF dmz","USA","OR",""
"61",46,"+","USA_2019","CDF","CDF","CDFmm","CDFmm_WA","Washington Moist Maritime CDF","Coastal Douglas-fir","Moist Maritime","Washington","SW BC & NW Washington","CDF mmz","USA","WA",""
"62",46,"-","USA_2019","CDF","CDF","CDFmm","CDFmm_WA","Washington Moist Maritime CDF","Coastal Douglas-fir","Moist Maritime","Washington","SW BC and NW Washington","CDF mmz","USA","WA",""
"63",47,"+","USA_2019","CDF","CDF","CDFxm","CDFxm_CA","California Very Dry Maritime CDF","Coastal Douglas-fir","Very Dry Maritime","California","SW Oregon & NC California","CDF xmz","USA","CA",""
"64",47,"-","USA_2019","CDF","CDF","CDFxm","CDFxm_CA","California Very Dry Maritime CDF","Coastal Douglas-fir","Very Dry Maritime","California","SW Oregon and NC California","CDF xmz","USA","CA",""
"65",48,"+","BGCv11","CMA","CMA","CMAun","CMAun","Undifferentiated CMA","Coastal Mountain-heather Alpine","Undifferentiated","","","","BC","BC",""
"66",48,"-","BGCv11","CMA","CMA","CMAun","CMAun","Undifferentiated CMA","Coastal Mountain-heather Alpine","Undifferentiated","","Undifferentiated","","BC","BC",""
"67",52,"+","BGCv11","CMA","CMA","CMAunp","CMAunp","Undifferentiated and Parkland CMA","Coastal Mountain-heather Alpine","Undifferentiated and Parkland","","","","BC","BC",""
"68",52,"-","BGCv11","CMA","CMA","CMAunp","CMAunp","Undifferentiated and Parkland CMA","Coastal Mountain-heather Alpine","Undifferentiated and Parkland","","Undifferentiated and Parkland","","BC","BC",""
"69",53,"+","BGCv11","CMA","CMA","CMAwh","CMAwh","Wet Hypermaritime CMA","Coastal Mountain-heather Alpine","Wet Hypermaritime","","","","BC","BC",""
"70",53,"-","BGCv11","CMA","CMA","CMAwh","CMAwh","Wet Hypermaritime CMA","Coastal Mountain-heather Alpine","Wet Hypermaritime","","Wet Hypermaritime","","BC","BC",""
"71",54,"+","USA_2019","CMX","CMX","CMXdm","CMXdm_OR","Oregon Dry Maritime CMX","Coastal Mixed Evergreen","Dry Maritime","Oregon","SW Oregon & NW California","CMX dmz","USA","OR",""
"72",54,"-","USA_2019","CMX","CMX","CMXdm","CMXdm_OR","Oregon Dry Maritime CMX","Coastal Mixed Evergreen","Dry Maritime","Oregon","SW Oregon and NW California","CMX dmz","USA","OR",""
"73",55,"+","USA_2023","CMX","CMX","CMXmm_OR","CMXmm_OR","Oregon Moist Maritime CMX","Coastal Mixed Evergreen","Moist Maritime","Oregon","SW Oregon & NW California","","USA","OR",""
"74",55,"-","USA_2023","CMX","CMX","CMXmm_OR","CMXmm_OR","Oregon Moist Maritime CMX","Coastal Mixed Evergreen","Moist Maritime","Oregon","SW Oregon and NW California","","USA","OR",""
"75",56,"+","USA_2019","CMX","CMX","CMXwm","CMXwm_OR","Oregon Wet Maritime CMX","Coastal Mixed Evergreen","Wet Maritime","Oregon","SW Oregon & NW California","CMX wmz","USA","OR",""
"76",56,"-","USA_2019","CMX","CMX","CMXwm","CMXwm_OR","Oregon Wet Maritime CMX","Coastal Mixed Evergreen","Wet Maritime","Oregon","SW Oregon and NW California","CMX wmz","USA","OR",""
"77",59,"+","USA_2019","CVG","CVG","CVGdm","CVGdm_CA","Dry Mild CVG","California Valley Grassland","Dry Mild","","C California","CVG un","USA","CA",""
"78",59,"-","USA_2019","CVG","CVG","CVGdm","CVGdm_CA","Dry Mild CVG","California Valley Grassland","Dry Mild","","Central Valley","California""","CVG un","USA","CA"
"79",60,"+","USA_2023","CWF","CWF","CWFdm_OR","CWFdm_OR","Dry Maritime CWF","Coastal White Fir","Dry Maritime","","S Oregon & N California ","","USA","OR",""
"80",60,"-","USA_2023","CWF","CWF","CWFdm_OR","CWFdm_OR","Dry Maritime CWF","Coastal White Fir","Dry Maritime","","Southern Oregon","N California""","","USA","OR"
"81",62,"+","USA_2019","CWF","CWF","CWFmm","CWFmm_OR","Oregon Moist Maritime CWF","Coastal White Fir","Moist Maritime","Oregon","SW Oregon & NW California","CWF wsz","USA","OR",""
"82",62,"-","USA_2019","CWF","CWF","CWFmm","CWFmm_OR","Oregon Moist Maritime CWF","Coastal White Fir","Moist Maritime","Oregon","SW Oregon and NW California","CWF wsz","USA","OR",""
"83",63,"+","USA_2019","CWF","CWF","CWFwm","CWFwm_OR","Oregon Wet Maritime CWF","Coastal White Fir","Wet Maritime","Oregon","SW Oregon & NW California","CWF wmz","USA","OR",""
"84",63,"-","USA_2019","CWF","CWF","CWFwm","CWFwm_OR","Oregon Wet Maritime CWF","Coastal White Fir","Wet Maritime","Oregon","SW Oregon and NW California","CWF wmz","USA","OR",""
"85",64,"+","BGCv13","CWH","CWH_dry/continental","CWHdm","CWHdm1","Central Dry Maritime CWH","Coastal Western Hemlock","Dry Maritime","Central","","","BC","BC",""
"86",64,"-","BGCv13","CWH","CWH_dry/continental","CWHdm","CWHdm1","Central Dry Maritime CWH","Coastal Western Hemlock","Dry Maritime","Central","Dry Maritime","","BC","BC",""
"87",65,"+","BGCv13","CWH","CWH_dry/continental","CWHdm","CWHdm2","Western Dry Maritime CWH","Coastal Western Hemlock","Dry Maritime","Western","","","BC","BC",""
"88",65,"-","BGCv13","CWH","CWH_dry/continental","CWHdm","CWHdm2","Western Dry Maritime CWH","Coastal Western Hemlock","Dry Maritime","Western","Dry Maritime","","BC","BC",""
"89",66,"+","BGCv13","CWH","CWH_dry/continental","CWHdm","CWHdm3","Eastern Dry Maritime CWH","Coastal Western Hemlock","Dry Maritime","Eastern","","","BC","BC",""
"90",66,"-","BGCv13","CWH","CWH_dry/continental","CWHdm","CWHdm3","Eastern Dry Maritime CWH","Coastal Western Hemlock","Dry Maritime","Eastern","Dry Maritime","","","",""
"91",70,"+","USA_2023","CWH","CWH_dry/continental","CWHdm_WC","CWHdm_WC","Washington Coast Dry Maritime Coast CWH","Coastal Western Hemlock","Dry Maritime Coast","Washington Coast","W Washington & NW Oregon","","USA","WA",""
"92",70,"-","USA_2023","CWH","CWH_dry/continental","CWHdm_WC","CWHdm_WC","Washington Coast Dry Maritime Coast CWH","Coastal Western Hemlock","Dry Maritime Coast","Washington Coast","W Washington","NW Oregon""","","USA","WA"
"93",71,"+","BGCv13","CWH","CWH_dry/continental","CWHds","CWHds1","Southern Dry Submaritime CWH","Coastal Western Hemlock","Dry Submaritime","Southern","","","BC","BC",""
"94",71,"-","BGCv13","CWH","CWH_dry/continental","CWHds","CWHds1","Southern Dry Submaritime CWH","Coastal Western Hemlock","Dry Submaritime","Southern","Dry Submaritime","","BC","BC",""
"95",72,"+","BGCv13","CWH","CWH_dry/continental","CWHds","CWHds2","Central Dry Submaritime CWH","Coastal Western Hemlock","Dry Submaritime","Central","","","BC","BC",""
"96",72,"-","BGCv13","CWH","CWH_dry/continental","CWHds","CWHds2","Central Dry Submaritime CWH","Coastal Western Hemlock","Dry Submaritime","Central","Dry Submaritime","","BC","BC",""
"97",75,"+","BGCv13","CWH","CWH_meso","CWHmm","CWHmm1","Submontane Moist Maritime CWH","Coastal Western Hemlock","Moist Maritime","Submontane","","","BC","BC",""
"98",75,"-","BGCv13","CWH","CWH_meso","CWHmm","CWHmm1","Submontane Moist Maritime CWH","Coastal Western Hemlock","Moist Maritime","Submontane","Moist Maritime","","BC","BC",""
"99",76,"+","BGCv13","CWH","CWH_meso","CWHmm","CWHmm2","Montane Moist Maritime CWH","Coastal Western Hemlock","Moist Maritime","Montane","","","BC","BC",""
"100",76,"-","BGCv13","CWH","CWH_meso","CWHmm","CWHmm2","Montane Moist Maritime CWH","Coastal Western Hemlock","Moist Maritime","Montane","Moist Maritime","","BC","BC",""
"101",77,"+","BGCv13","CWH","CWH_meso","CWHms","CWHms3","Submontane Moist Submaritime CWH","Coastal Western Hemlock","Moist Submaritime","Submontane","","","BC","BC",""
"102",77,"-","BGCv13","CWH","CWH_meso","CWHms","CWHms3","Submontane Moist Submaritime CWH","Coastal Western Hemlock","Moist Submaritime","Submontane","Moist Submaritime","","BC","BC",""
"103",78,"+","BGCv13","CWH","CWH_meso","CWHms","CWHms4","Montane Moist Submaritime CWH","Coastal Western Hemlock","Moist Submaritime","Montane","","","BC","BC",""
"104",78,"-","BGCv13","CWH","CWH_meso","CWHms","CWHms4","Montane Moist Submaritime CWH","Coastal Western Hemlock","Moist Submaritime","Montane","Moist Submaritime","","BC","BC",""
"105",79,"+","BGCv13","CWH","CWH_meso","CWHms","CWHms5","Subcontinental Moist Submaritime CWH","Coastal Western Hemlock","Moist Submaritime","Subcontinental","","","BC","BC",""
"106",79,"-","BGCv13","CWH","CWH_meso","CWHms","CWHms5","Subcontinental Moist Submaritime CWH","Coastal Western Hemlock","Moist Submaritime","Subcontinental","Moist Submaritime","","BC","BC",""
"107",82,"+","BGCv13","CWH","CWH_hypermaritime","CWHvh","CWHvh1","Southern Very Wet Hypermaritime CWH","Coastal Western Hemlock","Very Wet Hypermaritime","Southern","","","BC","BC",""
"108",82,"-","BGCv13","CWH","CWH_hypermaritime","CWHvh","CWHvh1","Southern Very Wet Hypermaritime CWH","Coastal Western Hemlock","Very Wet Hypermaritime","Southern","Very Wet Hypermaritime","","BC","BC",""
"109",83,"+","BGCv13","CWH","CWH_hypermaritime","CWHvh","CWHvh2","Central Very Wet Hypermaritime CWH","Coastal Western Hemlock","Very Wet Hypermaritime","Central","","","BC","BC",""
"110",83,"-","BGCv13","CWH","CWH_hypermaritime","CWHvh","CWHvh2","Central Very Wet Hypermaritime CWH","Coastal Western Hemlock","Very Wet Hypermaritime","Central","Very Wet Hypermaritime","","BC","BC",""
"111",84,"+","BGCv11","CWH","CWH_hypermaritime","CWHvh","CWHvh3","Haida Gwaii Very Wet Hypermaritime CWH","Coastal Western Hemlock","Very Wet Hypermaritime","Haida Gwaii","","","BC","BC",""
"112",84,"-","BGCv11","CWH","CWH_hypermaritime","CWHvh","CWHvh3","Haida Gwaii Very Wet Hypermaritime CWH","Coastal Western Hemlock","Very Wet Hypermaritime","Haida Gwaii","Very Wet Hypermaritime","","BC","BC",""
"113",86,"+","BGCv13","CWH","CWH_meso","CWHvm","CWHvm1","Southern Submontane Very Wet Maritime CWH","Coastal Western Hemlock","Very Wet Maritime","Southern Submontane","","","BC","BC",""
"114",86,"-","BGCv13","CWH","CWH_meso","CWHvm","CWHvm1","Southern Submontane Very Wet Maritime CWH","Coastal Western Hemlock","Very Wet Maritime","Southern Submontane","Very Wet Maritime","","BC","BC",""
"115",87,"+","BGCv13","CWH","CWH_meso","CWHvm","CWHvm2","Southern Montane Very Wet Maritime CWH","Coastal Western Hemlock","Very Wet Maritime","Southern Montane","","","BC","BC",""
"116",87,"-","BGCv13","CWH","CWH_meso","CWHvm","CWHvm2","Southern Montane Very Wet Maritime CWH","Coastal Western Hemlock","Very Wet Maritime","Southern Montane","Very Wet Maritime","","BC","BC",""
"117",88,"+","BGCv13","CWH","CWH_meso","CWHvm","CWHvm3","Northern Submontane Very Wet Maritime CWH","Coastal Western Hemlock","Very Wet Maritime","Northern Submontane","","","BC","BC",""
"118",88,"-","BGCv13","CWH","CWH_meso","CWHvm","CWHvm3","Northern Submontane Very Wet Maritime CWH","Coastal Western Hemlock","Very Wet Maritime","Northern Submontane","Very Wet Maritime","","BC","BC",""
"119",89,"+","BGCv13","CWH","CWH_meso","CWHvm","CWHvm4","Northern Montane Very Wet Maritime CWH","Coastal Western Hemlock","Very Wet Maritime","Northern Montane","","","BC","BC",""
"120",89,"-","BGCv13","CWH","CWH_meso","CWHvm","CWHvm4","Northern Montane Very Wet Maritime CWH","Coastal Western Hemlock","Very Wet Maritime","Northern Montane","Very Wet Maritime","","BC","BC",""
"121",90,"+","USA_2019","CWH","CWH_meso","CWHvm","CWHvm_OR","Oregon Very Wet Maritime CWH","Coastal Western Hemlock","Very Wet Maritime","Oregon","W Washington & Oregon ","CWH vmy","USA","OR",""
"122",90,"-","USA_2019","CWH","CWH_meso","CWHvm","CWHvm_OR","Oregon Very Wet Maritime CWH","Coastal Western Hemlock","Very Wet Maritime","Oregon","W Washington & Oregon","S of Mt Ranier""","CWH vmy","USA","OR"
"123",92,"+","BGCv11","CWH","CWH_meso","CWHwh","CWHwh1","Submontane Wet Hypermaritime CWH","Coastal Western Hemlock","Wet Hypermaritime","Submontane","","","BC","BC",""
"124",92,"-","BGCv11","CWH","CWH_meso","CWHwh","CWHwh1","Submontane Wet Hypermaritime CWH","Coastal Western Hemlock","Wet Hypermaritime","Submontane","Wet Hypermaritime","","BC","BC",""
"125",93,"+","BGCv11","CWH","CWH_hypermaritime","CWHwh","CWHwh2","Montane Wet Hypermaritime CWH","Coastal Western Hemlock","Wet Hypermaritime","Montane","","","BC","BC",""
"126",93,"-","BGCv11","CWH","CWH_hypermaritime","CWHwh","CWHwh2","Montane Wet Hypermaritime CWH","Coastal Western Hemlock","Wet Hypermaritime","Montane","Wet Hypermaritime","","BC","BC",""
"127",94,"+","USA_2023","CWH","CWH_hypermaritime","CWHwh","CWHwh_OR","Oregon Wet Hypermaritime CWH","Coastal Western Hemlock","Wet Hypermaritime","Oregon","W Oregon & Washington","CWH whz","USA","WA",""
"128",94,"-","USA_2023","CWH","CWH_hypermaritime","CWHwh","CWHwh_OR","Oregon Wet Hypermaritime CWH","Coastal Western Hemlock","Wet Hypermaritime","Oregon","W Oregon","Washington""","CWH whz","USA","WA"
"129",95,"+","USA_2019","CWH","CWH_hypermaritime","CWHwh","CWHwh_WA","Washington Wet Hypermaritime CWH","Coastal Western Hemlock","Wet Hypermaritime","Washington","W Oregon & Washington","CWH whz","USA","WA",""
"130",95,"-","USA_2019","CWH","CWH_hypermaritime","CWHwh","CWHwh_WA","Washington Wet Hypermaritime CWH","Coastal Western Hemlock","Wet Hypermaritime","Washington","W Oregon","Washington""","CWH whz","USA","WA"
"131",96,"+","BGCv13","CWH","CWH_meso","CWHwm","CWHwm","Wet Maritime CWH","Coastal Western Hemlock","Wet Maritime","","","","BC","BC",""
"132",96,"-","BGCv13","CWH","CWH_meso","CWHwm","CWHwm","Wet Maritime CWH","Coastal Western Hemlock","Wet Maritime","","Wet Maritime","","BC","BC",""
"133",97,"+","BGCv13","CWH","CWH_dry/continental","CWHws","CWHws1","Northern Submontane Wet Submaritime CWH","Coastal Western Hemlock","Wet Submaritime","Northern Submontane","","","BC","BC",""
"134",97,"-","BGCv13","CWH","CWH_dry/continental","CWHws","CWHws1","Northern Submontane Wet Submaritime CWH","Coastal Western Hemlock","Wet Submaritime","Northern Submontane","Wet Submaritime","","BC","BC",""
"135",98,"+","BGCv13","CWH","CWH_dry/continental","CWHws","CWHws2","Montane Wet Submaritime CWH","Coastal Western Hemlock","Wet Submaritime","Montane","","","BC","BC",""
"136",98,"-","BGCv13","CWH","CWH_dry/continental","CWHws","CWHws2","Montane Wet Submaritime CWH","Coastal Western Hemlock","Wet Submaritime","Montane","Wet Submaritime","","BC","BC",""
"137",99,"+","BGCv13","CWH","CWH_dry/continental","CWHws","CWHws3","Central Submontane Wet Submaritime CWH","Coastal Western Hemlock","Wet Submaritime","Central Submontane","","","BC","BC",""
"138",99,"-","BGCv13","CWH","CWH_dry/continental","CWHws","CWHws3","Central Submontane Wet Submaritime CWH","Coastal Western Hemlock","Wet Submaritime","Central Submontane","","","BC","",""
"139",100,"+","USA_2019","CWH","CWH_dry/continental","CWHxm","CWHxm_OR","Oregon Very Dry Maritime CWH","Coastal Western Hemlock","Very Dry Maritime","Oregon","W Oregon ","CWH xmy","USA","OR",""
"140",100,"-","USA_2019","CWH","CWH_dry/continental","CWHxm","CWHxm_OR","Oregon Very Dry Maritime CWH","Coastal Western Hemlock","Very Dry Maritime","Oregon","W Oregon","S of Eugene""","CWH xmy","USA","OR"
"141",101,"+","USA_2019","CWH","CWH_dry/continental","CWHxm","CWHxm_WA","Washington Very Dry Maritime CWH","Coastal Western Hemlock","Very Dry Maritime","Washington","W Washington & Oregon ","CWH xmz","USA","WA",""
"142",101,"-","USA_2019","CWH","CWH_dry/continental","CWHxm","CWHxm_WA","Washington Very Dry Maritime CWH","Coastal Western Hemlock","Very Dry Maritime","Washington","W WA and OR","CWH xmz","USA","WA",""
"143",102,"+","BGCv13","CWH","CWH_dry/continental","CWHxs","CWHxs","Very Dry SubMaritime CWH","Coastal Western Hemlock","Very Dry SubMaritime","","","","BC","BC",""
"144",102,"-","BGCv13","CWH","CWH_dry/continental","CWHxs","CWHxs","Very Dry SubMaritime CWH","Coastal Western Hemlock","Very Dry SubMaritime","","","","BC","",""
