"","grp","chng_type","Source","Zone","SubzoneGroup","Subzone","BGC","BGCName","ZoneName","SubzoneName","VariantName","General.Location","OldSubzoneLabel","DataSet","State","Notes"
"43",78,"+","USA_2019","CMX","CMX","CMXwm","CMXwm_OR","Wet Maritime Oregon CMX","Coastal Mixed Evergreen","Wet Maritime","Oregon","SW Oregon, NW California","CMX wmz","USA","OR",""
"44",79,"-","USA_2019","CMX","CMX","CMXxm","CMXxm_CA","California Very Dry Maritime CMX","Coastal Mixed Evergreen","Very Dry Maritime","California","California","CMX dmy","USA","CA",""
"45",80,"+","USA_2019","CMX","CMX","CMXxm","CMXxm_CA","Very Dry Maritime California CMX","Coastal Mixed Evergreen","Very Dry Maritime","California","C & N California","CMX dmy","USA","CA",""
"46",81,"-","USA_2019","CRF","CRF","CRFdh","CRFdh_CA","California Dry Hypermaritime CRF","Coastal Redwood Forest","Dry Hypermaritime","California","N California","CRF dhz","USA","CA",""
"47",82,"+","USA_2019","CRF","CRF","CRFdh","CRFdh_CA","Dry Hypermaritime California CRF","Coastal Redwood Forest","Dry Hypermaritime","California","N & C California","CRF dhz","USA","CA",""
"48",83,"+","USA_2026","CRF","CRF","CRFmh","CRFmh_CA","Moist Hypermaritime California CRF","Coastal Redwood Forest","Moist Hypermaritime","CA","N California","","USA","CA",""
"49",84,"+","USA_2019","CVG","CVG","CVGdm","CVGdm_CA","Dry Mild CVG","Central Valley Grassland ","Dry Mild","","C California","CVG un","USA","CA",""
"50",84,"-","USA_2019","CVG","CVG","CVGdm","CVGdm_CA","Dry Mild CVG","California Valley Grassland","Dry Mild","","C California","CVG un","USA","CA",""
"51",85,"-","USA_2023","CWF","CWF","CWFdm_OR","CWFdm_OR","Dry Maritime CWF","Coastal White Fir","Dry Maritime","","S Oregon & N California ","","USA","OR",""
"52",86,"+","USA_2023","CWF","CWF","CWFdm","CWFdm_OR","Dry Maritime Oregon CWF","Coastal White Fir","Dry Maritime","","SW Oregon, NW & EC California","","USA","OR",""
"53",87,"-","USA_2019","CWF","CWF","CWFds","CWFds_CA","California Dry Submaritime CWF","Coastal White Fir","Dry Submaritime","California","EC California","CWF msz","USA","CA",""
"54",88,"+","USA_2019","CWF","CWF","CWFds","CWFds_CA","Dry Submaritime California CWF","Coastal White Fir","Dry Submaritime","California","EC California","CWF msz","USA","CA",""
"55",89,"+","USA_2019","CWF","CWF","CWFmm","CWFmm_OR","Moist Maritime Oregon CWF","Coastal White Fir","Moist Maritime","Oregon","SW Oregon","CWF wsz","USA","OR",""
"56",90,"-","USA_2019","CWF","CWF","CWFmm","CWFmm_OR","Oregon Moist Maritime CWF","Coastal White Fir","Moist Maritime","Oregon","SW Oregon & NW California","CWF wsz","USA","OR",""
"57",91,"-","USA_2019","CWF","CWF","CWFwm","CWFwm_OR","Oregon Wet Maritime CWF","Coastal White Fir","Wet Maritime","Oregon","SW Oregon & NW California","CWF wmz","USA","OR",""
"58",92,"+","USA_2019","CWF","CWF","CWFwm","CWFwm_OR","Wet Maritime Oregon CWF","Coastal White Fir","Wet Maritime","Oregon","SW Oregon, NW California","CWF wmz","USA","OR",""
"59",96,"+","USA_2023","CWH","CWH_dry/continental","CWHdm","CWHdm_OC","Dry Maritime Oregon Coast CWH","Coastal Western Hemlock","Dry Maritime","Oregon Coast","Coastal Oregon","","USA","OR",""
"60",97,"-","USA_2023","CWH","CWH_dry/continental","CWHdm_OC","CWHdm_OC","Oregon Coast Dry Maritime Coast CWH","Coastal Western Hemlock","Dry Maritime Coast","Oregon Coast","W Oregon","","USA","OR",""
"61",98,"+","USA_2019","CWH","CWH_dry/continental","CWHdm","CWHdm_OR","Dry Maritime Oregon CWH","Coastal Western Hemlock","Dry Maritime","Oregon","W Oregon","CWH dmx","USA","OR",""
"62",99,"-","USA_2019","CWH","CWH_dry/continental","CWHdm","CWHdm_OR","Oregon Dry Maritime CWH","Coastal Western Hemlock","Dry Maritime","Oregon","W Oregon","CWH dmx","USA","OR",""
"63",100,"+","USA_2019","CWH","CWH_dry/continental","CWHdm","CWHdm_WA","Dry Maritime Washington CWH","Coastal Western Hemlock","Dry Maritime","Washington","W Washington","CWH dmz","USA","WA",""
"64",101,"-","USA_2019","CWH","CWH_dry/continental","CWHdm","CWHdm_WA","Washington Dry Maritime CWH","Coastal Western Hemlock","Dry Maritime","Washington","W Washington","CWH dmz","USA","WA",""
"65",102,"+","USA_2023","CWH","CWH_dry/continental","CWHdm","CWHdm_WC","Dry Maritime Washington Coast CWH","Coastal Western Hemlock","Dry Maritime","Washington Coast","Coastal Washington","","USA","WA",""
"66",103,"-","USA_2023","CWH","CWH_dry/continental","CWHdm_WC","CWHdm_WC","Washington Coast Dry Maritime Coast CWH","Coastal Western Hemlock","Dry Maritime Coast","Washington Coast","W Washington & NW Oregon","","USA","WA",""
"67",106,"+","USA_2019","CWH","CWH_dry/continental","CWHds","CWHds_WA","Dry Submaritime Washington CWH","Coastal Western Hemlock","Dry Submaritime","Washington","NW Washington","CWH dsz","USA","WA",""
"68",107,"-","USA_2019","CWH","CWH_dry/continental","CWHds","CWHds_WA","Washington Dry Submaritime CWH","Coastal Western Hemlock","Dry Submaritime","Washington","NW Washington","CWH dsz","USA","WA",""
"69",108,"+","USA_2019","CWH","CWH_hypermaritime","CWHmh","CWHmh_OR","Moist Hypermaritime Oregon CWH","Coastal Western Hemlock","Moist Hypermaritime","Oregon","SW Coastal Oregon & N Coastal California","CWH mhz","USA","OR",""
"70",109,"-","USA_2019","CWH","CWH_hypermaritime","CWHmh","CWHmh_OR","Oregon Moist Hypermaritime CWH","Coastal Western Hemlock","Moist Hypermaritime","Oregon","W Oregon","CWH mhz","USA","OR",""
"71",115,"+","USA_2019","CWH","CWH_dry/continental","CWHms","CWHms_OR","Moist Submaritime Oregon CWH","Coastal Western Hemlock","Moist Submaritime","Oregon","W Oregon","CWH msy","USA","OR",""
"72",116,"-","USA_2019","CWH","CWH_dry/continental","CWHms","CWHms_OR","Oregon Moist Submaritime CWH","Coastal Western Hemlock","Moist Submaritime","Oregon","W Oregon","CWH msy","USA","OR",""
"73",117,"+","USA_2019","CWH","CWH_dry/continental","CWHms","CWHms_WA","Moist Submaritime Washington CWH","Coastal Western Hemlock","Moist Submaritime","Washington","W Washington","CWH msz","USA","WA",""
"74",118,"-","USA_2019","CWH","CWH_dry/continental","CWHms","CWHms_WA","Washington Moist Submaritime CWH","Coastal Western Hemlock","Moist Submaritime","Washington","W Washington","CWH msz","USA","WA",""
"75",122,"+","USA_2019","CWH","CWH_hypermaritime","CWHvh","CWHvh_WA","Very Wet Hypermaritime Washington CWH","Coastal Western Hemlock","Very Wet Hypermaritime","Washington","W Coastal Washington","CWH vhz","USA","WA",""
"76",123,"-","USA_2019","CWH","CWH_hypermaritime","CWHvh","CWHvh_WA","Washington Very Wet Hypermaritime CWH","Coastal Western Hemlock","Very Wet Hypermaritime","Washington","W Washington","CWH vhz","USA","WA",""
"77",128,"-","USA_2019","CWH","CWH_meso","CWHvm","CWHvm_OR","Oregon Very Wet Maritime CWH","Coastal Western Hemlock","Very Wet Maritime","Oregon","W Washington & Oregon ","CWH vmy","USA","OR",""
"78",129,"+","USA_2019","CWH","CWH_meso","CWHvm","CWHvm_OR","Very Wet Maritime Oregon CWH","Coastal Western Hemlock","Very Wet Maritime","Oregon","SW Washington & W Oregon","CWH vmy","USA","OR",""
"79",130,"+","USA_2019","CWH","CWH_meso","CWHvm","CWHvm_WA","Very Wet Maritime Washington CWH","Coastal Western Hemlock","Very Wet Maritime","Washington","W Washington","CWH vmz","USA","WA",""
"80",131,"-","USA_2019","CWH","CWH_meso","CWHvm","CWHvm_WA","Washington Very Wet Maritime CWH","Coastal Western Hemlock","Very Wet Maritime","Washington","W Washington","CWH vmz","USA","WA",""
"81",134,"-","USA_2023","CWH","CWH_hypermaritime","CWHwh","CWHwh_OR","Oregon Wet Hypermaritime CWH","Coastal Western Hemlock","Wet Hypermaritime","Oregon","W Oregon & Washington","CWH whz","USA","WA",""
"82",135,"+","USA_2023","CWH","CWH_hypermaritime","CWHwh","CWHwh_OR","Wet Hypermaritime Oregon CWH","Coastal Western Hemlock","Wet Hypermaritime","Oregon","Coastal Oregon","CWH whz","USA","WA",""
"83",136,"-","USA_2019","CWH","CWH_hypermaritime","CWHwh","CWHwh_WA","Washington Wet Hypermaritime CWH","Coastal Western Hemlock","Wet Hypermaritime","Washington","W Oregon & Washington","CWH whz","USA","WA",""
"84",137,"+","USA_2019","CWH","CWH_hypermaritime","CWHwh","CWHwh_WA","Wet Hypermaritime Washington CWH","Coastal Western Hemlock","Wet Hypermaritime","Washington","Coastal Washington","CWH whz","USA","WA",""
"85",142,"-","USA_2019","CWH","CWH_dry/continental","CWHxm","CWHxm_OR","Oregon Very Dry Maritime CWH","Coastal Western Hemlock","Very Dry Maritime","Oregon","W Oregon ","CWH xmy","USA","OR",""
"86",143,"+","USA_2019","CWH","CWH_dry/continental","CWHxm","CWHxm_OR","Very Dry Maritime Oregon CWH","Coastal Western Hemlock","Very Dry Maritime","Oregon","W Oregon","CWH xmy","USA","OR",""
"87",144,"+","USA_2019","CWH","CWH_dry/continental","CWHxm","CWHxm_WA","Very Dry Maritime Washington CWH","Coastal Western Hemlock","Very Dry Maritime","Washington","W Washington and NW Oregon","CWH xmz","USA","WA",""
"88",145,"-","USA_2019","CWH","CWH_dry/continental","CWHxm","CWHxm_WA","Washington Very Dry Maritime CWH","Coastal Western Hemlock","Very Dry Maritime","Washington","W Washington & Oregon ","CWH xmz","USA","WA",""
"89",158,"+","USA_2019","ESSF","ESSF_dry","ESSFdh","ESSFdh_WA","Dry Hot Washington ESSF","Engelmann Spruce – Subalpine Fir","Dry Hot","Washington","NW Washington (E Cascades)","ESSFdhz","USA","WA",""
"90",159,"-","USA_2019","ESSF","ESSF_dry","ESSFdh","ESSFdh_WA","Washington Dry Hot ESSF","Engelmann Spruce – Subalpine Fir","Dry Hot","Washington","NW Washington","ESSFdhz","USA","WA",""
"91",162,"+","USA_2019","ESSF","ESSF_dry","ESSFdk","ESSFdk_MT","Dry Cool Montana ESSF","Engelmann Spruce – Subalpine Fir","Dry Cool","Montana","NW Montana","ESSFdkz","USA","MT",""
"92",163,"-","USA_2019","ESSF","ESSF_dry","ESSFdk","ESSFdk_MT","Montana Dry Cool ESSF","Engelmann Spruce – Subalpine Fir","Dry Cool","Montana","SE BC & NW Montana","ESSFdkz","USA","MT",""
"93",165,"+","USA_2026","ESSF","ESSF_dry","ESSFdkp","ESSFdkp_MT","Dry Cool Montana Parkland ESSF","Engelmann Spruce – Subalpine Fir","Dry Cool","MT","NW Montana","","USA","MT",""
"94",167,"+","USA_2019","ESSF","ESSF_dry","ESSFdm","ESSFdm_ID","Dry Mild Idaho ESSF","Engelmann Spruce – Subalpine Fir","Dry Mild","Idaho","C Idaho & WC Montana","ESSFxmz","USA","ID",""
"95",168,"-","USA_2019","ESSF","ESSF_dry","ESSFdm","ESSFdm_ID","Idaho Dry Mild ESSF","Engelmann Spruce – Subalpine Fir","Dry Mild","Idaho","EC Idaho & WC Montana","ESSFxmz","USA","ID",""
"96",169,"+","USA_2026","ESSF","ESSF_dry","ESSFdmp","ESSFdmp_ID","Dry Mild Idaho Parkland ESSF","Engelmann Spruce – Subalpine Fir","Dry Mild","ID","C Idaho & WC Montana","","USA","ID",""
"97",174,"+","USA_2023","ESSF","ESSF_dry","ESSFdw","ESSFdw_ID","Dry Warm Idaho ESSF","Engelmann Spruce – Subalpine Fir","Dry Warm","Idaho","NE Idaho & NW Montana","","USA","ID",""
"98",175,"-","USA_2023","ESSF","ESSF_dry","ESSFdw","ESSFdw_ID","Idaho Dry Warm ESSF","Engelmann Spruce – Subalpine Fir","Dry Warm","Idaho","","","USA","ID",""
"99",196,"+","USA_2019","ESSF","ESSF_meso","ESSFmw","ESSFmw_WA","Moist Warm Washington ESSF","Engelmann Spruce – Subalpine Fir","Moist Warm","Washington","NW Washington (E Cascades)","ESSFmwz","USA","WA",""
"100",197,"-","USA_2019","ESSF","ESSF_meso","ESSFmw","ESSFmw_WA","Washington Moist Warm ESSF","Engelmann Spruce – Subalpine Fir","Moist Warm","Washington","NW Washington","ESSFmwz","USA","WA",""
"101",199,"+","USA_2026","ESSF","ESSF_meso","ESSFmwp","ESSFmwp_WA","Moist Warm Washington Parkland ESSF","Engelmann Spruce – Subalpine Fir","Moist Warm","WA","NW Washington (E Cascades)","","USA","WA",""
"102",214,"-","USA_2019","ESSF","ESSF_wet","ESSFwh","ESSFwh_MT","Montana Wet Hot ESSF","Engelmann Spruce – Subalpine Fir","Wet Hot","Montana","NE Washington & NW Montana","ESSFwhz","USA","MT",""
"103",215,"+","USA_2019","ESSF","ESSF_wet","ESSFwh","ESSFwh_MT","Wet Hot Montana ESSF","Engelmann Spruce – Subalpine Fir","Wet Hot","Montana","NE Washington, N Idaho, NW Montana","ESSFwhz","USA","MT",""
"104",222,"-","USA_2019","ESSF","ESSF_wet","ESSFwm","ESSFwm_MT","Montana Wet Mild ESSF","Engelmann Spruce – Subalpine Fir","Wet Mild","Montana","NE Washington & NW Montana","ESSFwmz","USA","MT",""
"105",223,"+","USA_2019","ESSF","ESSF_wet","ESSFwm","ESSFwm_MT","Wet Mild Montana ESSF","Engelmann Spruce – Subalpine Fir","Wet Mild","Montana","NE Washington, N Idaho, NW Montana","ESSFwmz","USA","MT",""
"106",225,"+","USA_2026","ESSF","ESSF_wet","ESSFwmp","ESSFwmp_MT","Wet Mild Montana Parkland ESSF","Engelmann Spruce – Subalpine Fir","Wet Mild","MT","NE Washington, N Idaho, NW Montana","","USA","MT",""
"107",233,"-","USA_2019","ESSF","ESSF_dry","ESSFxc","ESSFxc_CO","Colorado Very Dry Cold ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cold","Colorado","Colorado","ESSFcoz","USA","CO",""
"108",234,"+","USA_2019","ESSF","ESSF_dry","ESSFxc","ESSFxc_CO","Very Dry Cold Colorado ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cold","Colorado","W & C Colorado","ESSFcoz","USA","CO",""
"109",235,"+","USA_2019","ESSF","ESSF_dry","ESSFxc","ESSFxc_WA","Very Dry Cold Washington ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cold","Washington","NC Washington","ESSFxcz","USA","WA",""
"110",236,"-","USA_2019","ESSF","ESSF_dry","ESSFxc","ESSFxc_WA","Washington Very Dry Cold ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cold","Washington","WC Washington","ESSFxcz","USA","WA",""
"111",238,"+","USA_2026","ESSF","ESSF_dry","ESSFxcp","ESSFxcp_CO","Very Dry Cold Colorado Parkland ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cold","CO","W & C Colorado","","USA","CO",""
"112",239,"+","USA_2026","ESSF","ESSF_dry","ESSFxcp","ESSFxcp_WA","Very Dry Cold Washington Parkland ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cold","WA","NC Washington","","USA","WA",""
"113",241,"+","USA_2019","ESSF","ESSF_dry","ESSFxh","ESSFxh_WA","Very Dry Hot Washington ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Hot","Washington","NE Washington [N Idaho, NW Montana]","ESSFxhz","USA","WA",""
"114",242,"-","USA_2019","ESSF","ESSF_dry","ESSFxh","ESSFxh_WA","Washington Very Dry Hot ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Hot","Washington","NE Washington & NW Montana","ESSFxhz","USA","WA",""
"115",243,"-","USA_2019","ESSF","ESSF_dry","ESSFxk","ESSFxk_MT","Montana Very Dry Cool ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cool","Montana","WC Montana","ESSFxxz","USA","MT",""
"116",244,"+","USA_2019","ESSF","ESSF_dry","ESSFxk","ESSFxk_MT","Very Dry Cool Montana ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cool","Montana","WC Montana & EC Idaho","ESSFxxz","USA","MT",""
"117",245,"-","USA_2019","ESSF","ESSF_dry","ESSFxk","ESSFxk_UT","Utah Very Dry Cool ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cool","Utah","Utah","ESSFutz","USA","UT",""
"118",246,"+","USA_2019","ESSF","ESSF_dry","ESSFxk","ESSFxk_UT","Very Dry Cool Utah ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cool","Utah","SW, C, & NE Utah","ESSFutz","USA","UT",""
"119",247,"+","USA_2019","ESSF","ESSF_dry","ESSFxk","ESSFxk_WY","Very Dry Cool Wyoming ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cool","Wyoming","W Wyoming, SW Montana, C Idaho","","USA","WY",""
"120",248,"-","USA_2019","ESSF","ESSF_dry","ESSFxk","ESSFxk_WY","Wyoming Very Dry Cool ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cool","Wyoming","W Wyoming & SW Montana & S Idaho","","USA","WY",""
"121",249,"+","USA_2026","ESSF","ESSF_dry","ESSFxkp","ESSFxkp_MT","Very Dry Cool Montana Parkland ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cool","MT","WC Montana & EC Idaho","","USA","MT",""
"122",250,"+","USA_2026","ESSF","ESSF_dry","ESSFxkp","ESSFxkp_UT","Very Dry Cool Utah Parkland ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cool","UT","SW, C, & NE Utah","","USA","UT",""
"123",251,"+","USA_2026","ESSF","ESSF_dry","ESSFxkp","ESSFxkp_WY","Very Dry Cool Wyoming Parkland ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Cool","WY","W Wyoming, SW Montana, C Idaho","","USA","WY",""
"124",256,"-","USA_2019","ESSF","ESSF_dry","ESSFxw","ESSFxw_OR","Oregon Very Dry Warm ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Warm","Oregon","NE Oregon","ESSFxcy","USA","OR",""
"125",257,"+","USA_2019","ESSF","ESSF_dry","ESSFxw","ESSFxw_OR","Very Dry Warm Oregon ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Warm","Oregon","NE Oregon & WC Idaho","ESSFxcy","USA","OR",""
"126",258,"+","USA_2026","ESSF","ESSF_dry","ESSFxwp","ESSFxwp_OR","Very Dry Warm Oregon Parkland ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Warm","OR","NE Oregon & WC Idaho","","USA","OR",""
"127",259,"+","USA_2019","ESSF","ESSF_dry","ESSFxx","ESSFxx_WY","Very Dry Very Hot Wyoming ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Very Hot","Wyoming","W & NC Wyoming","","USA","WY",""
"128",260,"-","USA_2019","ESSF","ESSF_dry","ESSFxx","ESSFxx_WY","Wyoming Very Dry Very Hot ESSF","Engelmann Spruce – Subalpine Fir","Very Dry Very Hot","Wyoming","W Wyoming","","USA","WY",""
"129",261,"+","USA_2026","ESSF","ESSF_dry","ESSFxxp","ESSFxxp_WY","Very Dry Very Hot Wyoming ESSF Parkland","Engelmann Spruce – Subalpine Fir","Very Dry Very Hot","WY","W & NC Wyoming","","USA","WY",""
"130",262,"-","AB_2018","FG","FG","FGff","FGff","Foothills FG","Fescue Grassland","Foothills","","SW Alberta","FG  ff","AB","AB",""
"131",263,"+","AB_2018","FG","FG","FGff","FGff","Foothills Fescue FG","Fescue Grassland","","","NW Montana, to AB border","FG  ff","AB","AB",""
"132",265,"+","USA_2019","GBD","GBD","GBDdw","GBDdw_UT","Dry Warm Utah GBD","Great Basin Desert","Dry Warm","Utah","Utah, E Nevada, WC Wyoming","GBD xxx","USA","UT",""
"133",266,"-","USA_2019","GBD","GBD","GBDdw","GBDdw_UT","Utah Dry Warm GBD","Great Basin Desert","Dry Warm","Utah","E Nevada & Utah & SW Wyoming","GBD xxx","USA","UT",""
"134",267,"-","USA_2019","GBD","GBD","GBDxh","GBDxh_NV","Nevada Very Dry Hot GBD","Great Basin Desert","Very Dry Hot","Nevada","E California & W Nevada","GBD xxy","USA","NV",""
