"","SS_NoSpace","chng_type","SiteSeriesLongName","SpecialCode","Special"
"107","BGxh3/Gs02","+","Big sagebrush – Bluebunch wheatgrass – Sand dropseed","Gs","shrub-steppe"
"108","BGxh3/Gs02$2.1","+","Bluebunch wheatgrass","Gs","shrub-steppe"
"109","BGxh3/Gs02a","+","Big sagebrush – Bluebunch wheatgrass – Sand dropseed; Cool phase","Gs","shrub-steppe"
"110","BGxh3/Gs02b","+","Big sagebrush – Bluebunch wheatgrass – Sand dropseed; Warm phase","Gs","shrub-steppe"
"111","BGxh3/Gs05","+","Rocky Mountain juniper – Big sagebrush – Bluebunch wheatgrass","Gs","shrub-steppe"
"112","BGxh3/Ro04","+","Big sagebrush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"113","BGxh3/Rt04","+","Saskatoon – Bluebunch wheatgrass","Rt","talus"
"114","BGxh3/Rt04a","+","Saskatoon – Bluebunch wheatgrass; Cool  phase","Rt","talus"
"115","BGxh3/Rt04b","+","Saskatoon – Bluebunch wheatgrass; Warm phase","Rt","talus"
"116","BGxh3/Wm04","+","Common spikerush","Wm","wetland marsh"
"117","BGxh3/Wm05","+","Cattail","Wm","wetland marsh"
"118","BGxh3/Wm06","+","Soft-stemmed bulrush","Wm","wetland marsh"
"119","BGxw1/101","+","Bluebunch wheatgrass – Junegrass – Pussytoes",NA,NA
"120","BGxw1/101$2.1","+","Needle-and-thread grass – Cheatgrass",NA,NA
"121","BGxw1/101$3.1","+","Big sagebrush – Bluebunch wheatgrass – Sandberg's bluegrass",NA,NA
"122","BGxw1/102","+","Py – Rabbit-brush – Bluebunch wheatgrass",NA,NA
"123","BGxw1/110","+","Py(Fd) – Bluebunch wheatgrass – Rough fescue",NA,NA
"124","BGxw1/111","+","Fd – Snowberry – Step moss",NA,NA
"125","BGxw1/Ff02","+","Snowberry – Prairie Rose","Ff","fringe fluvial "
"126","BGxw1/Ff04","+","Aspen – Snowberry – Roses","Ff","fringe fluvial "
"127","BGxw1/Ff05","+","Aspen – Dogwood – Nootka rose","Ff","fringe fluvial "
"128","BGxw1/Fl05","+","Drummond's willow – Bluejoint","Fl","low fluvial bench"
"129","BGxw1/Fm05","+","Cottonwood – Douglas-fir – Douglas' maple – Snowberry","Fm","mid fluvial bench"
"130","BGxw1/Ga01","+","Saltgrass","Ga","alkaline meadow"
"131","BGxw1/Ga01.1","+","Saltgrass","Ga","alkaline meadow"
"132","BGxw1/Ga02","+","Nuttall's alkaligrass – Foxtail barley","Ga","alkaline meadow"
"133","BGxw1/Ga02.1","+","Nuttall's alkaligrass – Foxtail barley","Ga","alkaline meadow"
"134","BGxw1/Ga02.2","+","Foxtail barley – Nuttall's alkaligrass","Ga","alkaline meadow"
"135","BGxw1/Ga05","+","Giant wildrye","Ga","alkaline meadow"
"136","BGxw1/Ga06","+","Seablite","Ga","alkaline meadow"
"137","BGxw1/Ga07","+","Red glasswort","Ga","alkaline meadow"
"138","BGxw1/Gb02","+","Saskatoon – Snowberry – Bluebunch wheatgrass","Gb","brushland"
"139","BGxw1/Gg01","+","Bluebunch wheatgrass – Prairie sagewort – Junegrass","Gg","grassland "
"140","BGxw1/Gg03","+","Bluebunch wheatgrass – Selaginella","Gg","grassland "
"141","BGxw1/Gg04","+","Bluebunch wheatgrass – Junegrass – Pussytoes","Gg","grassland "
"142","BGxw1/Gg04$2.1","+","Needle-and-thread grass – Cheatgrass","Gg","grassland "
"143","BGxw1/Gg04$3.1","+","Big sagebrush – Bluebunch wheatgrass – Sandberg's bluegrass","Gg","grassland "
"144","BGxw1/Gg10","+","Rough fescue – Bluebunch wheatgrass","Gg","grassland "
"145","BGxw1/Gg10$2.1","+","Bluebunch wheatgrass – Junegrass – Sandberg's bluegrass","Gg","grassland "
"146","BGxw1/Gg10$3.1","+","Big sagebrush – Bluebunch wheatgrass – Rough fescue","Gg","grassland "
"147","BGxw1/Gg12","+","Rough fescue – Yarrow – Three-flowered avens","Gg","grassland "
"148","BGxw1/Gg12$2.1","+","Rough fescue – Bluebunch wheatgrass – Yellow salsify","Gg","grassland "
"149","BGxw1/Gg12$2.2","+","Spreading needlegrass – Rough fescue – Kentucky bluegrass","Gg","grassland "
"150","BGxw1/Gg12$2.3","+","Spreading needlegrass – Columbia needlegrass","Gg","grassland "
"151","BGxw1/Gg12$2.5","+","Kentucky bluegrass – Yarrow","Gg","grassland "
"152","BGxw1/Gg12.1","+","Rough fescue – Yarrow – Three-flowered avens","Gg","grassland "
"153","BGxw1/Gg25","+","Sand dropseed – Needle-and-thread grass","Gg","grassland "
"154","BGxw1/Gs03","+","Big sagebrush – Bluebunch wheatgrass – Screw moss","Gs","shrub-steppe"
"155","BGxw1/Gs05","+","Rocky Mountain juniper – Big sagebrush – Bluebunch wheatgrass","Gs","shrub-steppe"
"156","BGxw1/Ro01","+","Selaginella – Bluebunch wheatgrass – Screw moss","Ro","rocky outcrop"
"157","BGxw1/Ro01.1","+","Selaginella – Bluebunch wheatgrass – Screw moss","Ro","rocky outcrop"
"158","BGxw1/Ro01.2","+","Selaginella – Screw moss","Ro","rocky outcrop"
"159","BGxw1/Ro04","+","Big sagebrush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"160","BGxw1/Ro04.1","+","Big sagebrush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"161","BGxw1/Ro04.2","+","Rabbit-brush – Big sagebrush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"162","BGxw1/Rt01","+","Rocktripe – Green map","Rt","talus"
"163","BGxw1/Rt04","+","Saskatoon – Bluebunch wheatgrass","Rt","talus"
"164","BGxw1/Rt05","+","Big sagebrush – Saskatoon – Bluebunch wheatgrass","Rt","talus"
"165","BGxw1/Wm02","+","Water horsetail – Beaked sedge","Wm","wetland marsh"
"166","BGxw1/Wm03","+","Awned sedge","Wm","wetland marsh"
"167","BGxw1/Wm04","+","Common spikerush","Wm","wetland marsh"
"168","BGxw1/Wm05","+","Cattail","Wm","wetland marsh"
"169","BGxw1/Wm06","+","Soft-stemmed bulrush","Wm","wetland marsh"
"170","BGxw1/Wm07","+","Baltic rush","Wm","wetland marsh"
"171","BGxw1/Wm08","+","Three-square bulrush","Wm","wetland marsh"
"172","BGxw1/Wm11","+","Seacoast bulrush","Wm","wetland marsh"
"173","BGxw1/Ws03","+","Bebb's willow – Bluejoint","Ws","wetland swamp"
"174","BGxw2/101","+","Bluebunch wheatgrass – Junegrass – Pussytoes",NA,NA
"175","BGxw2/101a","+","Bluebunch wheatgrass – Junegrass – Pussytoes; Typic phase",NA,NA
"176","BGxw2/101b","+","Bluebunch wheatgrass – Junegrass – Pussytoes; High Elevation phase",NA,NA
"177","BGxw2/101c","+","Bluebunch wheatgrass – Junegrass – Pussytoes; Steep Cool phase",NA,NA
"178","BGxw2/113","+","Fd – Pinegrass – Feather moss",NA,NA
"179","BGxw2/114","+","At – Douglas' maple – Western snowberry",NA,NA
"180","BGxw2/115","+","At – Prairie rose – Western snowberry",NA,NA
"181","BGxw2/Ff01","+","Water birch – Red-osier dogwood – Rose","Ff","fringe fluvial "
"182","BGxw2/Ff01b","+","Water birch – Red-osier dogwood – Rose; Grassland draw phase","Ff","fringe fluvial "
"183","BGxw2/Ff02","+","Snowberry – Prairie rose","Ff","fringe fluvial "
"184","BGxw2/Ga01","+","Saltgrass","Ga","alkaline meadow"
"185","BGxw2/Ga02","+","Nuttall's alkaligrass – Foxtail barley","Ga","alkaline meadow"
"186","BGxw2/Ga03","+","Field sedge","Ga","alkaline meadow"
"187","BGxw2/Gg01","+","Bluebunch wheatgrass – Prairie sagewort","Gg","grassland "
"188","BGxw2/Gg22","+","Spreading needlegrass – Northern bedstraw","Gg","grassland "
"189","BGxw2/Gg22$2.1","+","Kentucky bluegrass – Dandelion","Gg","grassland "
"190","BGxw2/Gg22a","+","Spreading needlegrass – Northern bedstraw; Depression phase","Gg","grassland "
"191","BGxw2/Gg22b","+","Spreading needlegrass – Northern bedstraw; Forest Edge phase","Gg","grassland "
"192","BGxw2/Gg24","+","Short-awned pocupinegrass – Junegrass – Clad lichen","Gg","grassland "
"193","BGxw2/Gg27","+","Needle-and-thread grass – Prairie sagewort","Gg","grassland "
"194","BGxw2/Gs01","+","Big sagebrush – Bluebunch wheatgrass","Gs","shrub-steppe"
"195","BGxw2/Ro04","+","Big sagebrush – Selaginella – Bluebunch wheatgrass","Ro","rocky outcrop"
"196","BGxw2/Rt04","+","Saskatoon – Bluebunch wheatgrass","Rt","talus"
"197","BGxw2/Wm03","+","Awned sedge","Wm","wetland marsh"
"198","BGxw2/Wm04","+","Common spikerush","Wm","wetland marsh"
"199","BGxw2/Wm05","+","Cattail","Wm","wetland marsh"
"200","BGxw2/Wm06","+","Soft-stemmed bulrush","Wm","wetland marsh"
"201","BGxw2/Wm07","+","Baltic rush","Wm","wetland marsh"
"202","BGxw2/Wm09","+","Inflated sedge","Wm","wetland marsh"
"203","BGxw2/Wm12","+","Woolly sedge","Wm","wetland marsh"
"204","BWBSdk/101","+","Sw – Soopolallie – Step moss",NA,NA
"205","BWBSdk/101$6B.1","+","At – Soopolallie – High Bush-cranberry",NA,NA
"206","BWBSdk/101a","+","Sw – Soopolallie – Step moss; Mesic phase",NA,NA
"207","BWBSdk/101b","+","Sw – Soopolallie – Step moss; Subhygric phase",NA,NA
"208","BWBSdk/102","+","Pl – Kinnikinnick – Lingonberry",NA,NA
"209","BWBSdk/102$6B.1","+","At – Soopolallie – Kinnikinnick",NA,NA
"210","BWBSdk/103$6B.1","+","At – Kinnikinnick – Fuzzy-spiked wildrye",NA,NA
"211","BWBSdk/104a","+","Sb – Labrador tea – Step moss; Freely drained phase",NA,NA
"212","BWBSdk/104b","+","Sw – Soopolallie – Step moss; Imperfectly drained phase",NA,NA
"213","BWBSdk/110$6B.1","+","At – Horsetail – Step moss",NA,NA
"214","BWBSdk/Fl01","+","Mountain alder – Common horsetail","Fl","low fluvial bench"
"215","BWBSdk/Fl03","+","Pacific willow – Red-osier dogwood – Horsetail","Fl","low fluvial bench"
"216","BWBSdk/Ga02","+","Nuttall's alkaligrass – Foxtail barley","Ga","alkaline meadow"
"217","BWBSdk/Gg51","+","Slender wildrye – Prairie wormwood","Gg","grassland "
"218","BWBSdk/Ro51","+","Juniper – Saskatoon – Kinnikinnick","Ro","rocky outcrop"
"219","BWBSdk/Wb03","+","Sb – Lingonberry – Peat moss","Wb","wetland bog "
"220","BWBSdk/Wb09","+","Sb – Horsetail – Peat mosses","Wb","wetland bog "
"221","BWBSdk/Wb11","+","Sb – Buckbean – Peat moss","Wb","wetland bog "
"222","BWBSdk/Wf01","+","Water sedge – Beaked sedge","Wf","wetland fen"
"223","BWBSdk/Wf02","+","Scrub birch – Water sedge","Wf","wetland fen"
"224","BWBSdk/Wf05","+","Slender sedge – Common hook moss","Wf","wetland fen"
"225","BWBSdk/Wf07","+","Scrub birch – Buckbean – Shore sedge","Wf","wetland fen"
"226","BWBSdk/Wf08","+","Shore sedge – Buckbean – Hook moss","Wf","wetland fen"
"227","BWBSdk/Wf11","+","Tufted clubrush – Star moss","Wf","wetland fen"
"228","BWBSdk/Wf14","+","Tea-leaved willow – Water sedge – Glow moss","Wf","wetland fen"
"229","BWBSdk/Wm01","+","Beaked sedge – Water sedge","Wm","wetland marsh"
"230","BWBSdk/Wm02","+","Water horsetail – Beaked sedge","Wm","wetland marsh"
"231","BWBSdk/Ws05","+","MacCalla's willow – Beaked sedge","Ws","wetland swamp"
"232","BWBSdk/Ws15","+","SwSb – Labrador tea – Glow moss","Ws","wetland swamp"
"233","BWBSmk/101","+","Sw – Lingonberry – Step moss",NA,NA
"234","BWBSmk/101$6B.1","+","At – Green alder – High bush-cranberry",NA,NA
"235","BWBSmk/101$6B.2","+","EpAt – Sarsaparilla",NA,NA
"236","BWBSmk/102","+","Pl – Kinnikinnick – Lingonberry",NA,NA
"237","BWBSmk/102$6B.1","+","At – Soopolallie – Kinnikinnick",NA,NA
"238","BWBSmk/103$6B.1","+","At – Rose – Fuzzy-spiked wildrye",NA,NA
"239","BWBSmk/104$6B.1","+","At – Labrador tea – Lingonberry",NA,NA
"240","BWBSmk/104a","+","Sb – Labrador tea – Step moss; Freely drained phase",NA,NA
"241","BWBSmk/104b","+","Sb – Labrador tea – Step moss; Imperfectly/poorly drained phase",NA,NA
"242","BWBSmk/110","+","Sw – Currant – Horsetail",NA,NA
"243","BWBSmk/110$6B.1","+","At – Horsetail – Step moss",NA,NA
"244","BWBSmk/Fl03","+","Pacific willow – Red-osier dogwood – Horsetail","Fl","low fluvial bench"
"245","BWBSmk/Fl05","+","Drummond's willow – Bluejoint","Fl","low fluvial bench"
"246","BWBSmk/Fl06","+","Sandbar willow","Fl","low fluvial bench"
"247","BWBSmk/Gb52","+","Prickly rose – Fuzzy-spiked wildrye","Gb","brushland"
"248","BWBSmk/Wb03","+","Sb – Lingonberry – Peat moss","Wb","wetland bog "
"249","BWBSmk/Wb05","+","Sb – Water sedge – Peat moss","Wb","wetland bog "
"250","BWBSmk/Wb06","+","Lt – Water sedge – Fen moss","Wb","wetland bog "
"251","BWBSmk/Wb09","+","Sb – Horsetail – Peat mosses","Wb","wetland bog "
"252","BWBSmk/Wb12","+","Scheuchzeria – Peat moss","Wb","wetland bog "
"253","BWBSmk/Wb14","+","Leatherleaf – Bog-rosemary – Peat moss","Wb","wetland bog "
"254","BWBSmk/Wf01","+","Water sedge – Beaked sedge","Wf","wetland fen"
"255","BWBSmk/Wf02","+","Scrub birch – Water sedge","Wf","wetland fen"
"256","BWBSmk/Wf04","+","Barclay's willow – Water sedge – Glow moss","Wf","wetland fen"
"257","BWBSmk/Wf05","+","Slender sedge – Common hook moss","Wf","wetland fen"
"258","BWBSmk/Wf08","+","Shore sedge – Buckbean – Hook moss","Wf","wetland fen"
"259","BWBSmk/Wf18","+","Lt – Buckbean – Shore sedge","Wf","wetland fen"
"260","BWBSmk/Wm01","+","Beaked sedge – Water sedge","Wm","wetland marsh"
"261","BWBSmk/Wm02","+","Water horsetail – Beaked sedge","Wm","wetland marsh"
"262","BWBSmk/Wm15","+","Bluejoint – Water sedge","Wm","wetland marsh"
"263","BWBSmk/Ws14","+","Mountain alder – Willow – Bluejoint","Ws","wetland swamp"
"264","BWBSmk/Ws15","+","SwSb – Labrador tea – Glow moss","Ws","wetland swamp"
"265","BWBSmw/101","+","Sw – Trailing raspberry – Step moss",NA,NA
"266","BWBSmw/101$6B.1","+","At – Rose – Creamy peavine",NA,NA
"267","BWBSmw/102","+","Pl – Kinnikinnick – Lingonberry",NA,NA
"268","BWBSmw/102$6B.1","+","At – Soopolallie – Kinnikinnick",NA,NA
"269","BWBSmw/103$6B.1","+","At – Rose – Fuzzy-spiked wildrye",NA,NA
"270","BWBSmw/104$6B.1","+","At – Labrador tea – Lingonberry",NA,NA
"271","BWBSmw/110","+","Sw – Oak fern – Sarsaparilla",NA,NA
"272","BWBSmw/110$6B.1","+","At – High bush-cranberry – Oak fern",NA,NA
"273","BWBSmw/111$6B.1","+","Acb – Dogwood – High bush-cranberry",NA,NA
"274","BWBSmw/111$6B.2","+","At – Cow parsnip – Meadowrue",NA,NA
"275","BWBSmw/Gb51","+","Saskatoon – Blue wildrye","Gb","brushland"
"276","BWBSmw/Gg51","+","Slender wildrye – Prairie wormwood","Gg","grassland "
"277","BWBSmw/Wb01","+","Sb – Creeping-snowberry – Sphagnum","Wb","wetland bog "
"278","BWBSmw/Wb03","+","Sb – Lingonberry – Peat moss","Wb","wetland bog "
"279","BWBSmw/Wb05","+","Sb – Water sedge – Peat moss","Wb","wetland bog "
"280","BWBSmw/Wb06","+","Lt – Water sedge – Fen moss","Wb","wetland bog "
"281","BWBSmw/Wb09","+","Sb – Horsetail – Peat mosses","Wb","wetland bog "
"282","BWBSmw/Wf01","+","Water sedge – Beaked sedge","Wf","wetland fen"
"283","BWBSmw/Wf02","+","Scrub birch – Water sedge","Wf","wetland fen"
"284","BWBSmw/Wf18","+","Lt – Buckbean – Shore sedge","Wf","wetland fen"
"285","BWBSmw/Ws15","+","SwSb – Labrador tea – Glow moss","Ws","wetland swamp"
"286","BWBSwk1/101","+","SwBl – Huckleberry – Feather moss",NA,NA
"287","BWBSwk1/101$6B.1","+","At – Birch-leaved spirea – Huckleberry",NA,NA
"288","BWBSwk1/102","+","Pl – Lingonberry – Reindeer lichens",NA,NA
"289","BWBSwk1/102$6B.1","+","At – Kinnikinnick – Fuzzy-spiked wildrye",NA,NA
"290","BWBSwk1/103$6B.1","+","At – Rose – Fuzzy-spiked wildrye",NA,NA
"291","BWBSwk1/104$6B.1","+","At – Labrador tea – Lingonberry",NA,NA
"292","BWBSwk1/110","+","Sw – Currant – Horsetail",NA,NA
"293","BWBSwk1/110$6B.1","+","AcbAt – Cow parsnip",NA,NA
"294","BWBSwk1/110$6B.2","+","At – High bush-cranberry – Oak fern",NA,NA
"295","BWBSwk1/Gb51","+","Saskatoon – Blue wildrye","Gb","brushland"
"296","BWBSwk1/Wb06","+","Lt – Water sedge – Fen moss","Wb","wetland bog "
"297","BWBSwk1/Wb09","+","Sb – Horsetail – Peat mosses","Wb","wetland bog "
"298","BWBSwk1/Wf01","+","Water sedge – Beaked sedge","Wf","wetland fen"
"299","BWBSwk1/Wf02","+","Scrub birch – Water sedge","Wf","wetland fen"
"300","BWBSwk1/Wf14","+","Tea-leaved willow – Water sedge – Glow moss","Wf","wetland fen"
"301","BWBSwk2/101","+","SwBl – Huckleberry – Feather moss",NA,NA
"302","BWBSwk2/101$6B.1","+","At – Sitka alder – High bush-cranberry",NA,NA
