"","SS_NoSpace","chng_type","SiteSeriesLongName","SpecialCode","Special"
"109","CDFmm/Ws58.1","+","CwHw – Slough sedge; Typic variation","",""
"110","CDFmm/Ws58.1","-","CwHw – Slough sedge","",""
"111","CDFmm/Ws60","+","Ss – Crabapple – Slough sedge","SS","salt spray"
"112","CDFmm/Ws60","-","Ss – Pacific crabapple – Slough sedge","",""
"113","CDFmm/Ws61","-","Dr – Slough sedge","",""
"114","CDFmm/Ws62","-","ActAt – Slough sedge","",""
"115","CWHdm1/101a","+","FdcHw – Red Huckleberry – Salal; Typic phase","",""
"116","CWHdm1/101a","-","FdcHw – Red Huckleberry – Salal","",""
"117","CWHdm1/101b","+","FdcHw – Red huckleberry – Salal; Poor phase","",""
"118","CWHdm1/101b","-","FdcHw – Red Huckleberry – Salal","",""
"119","CWHdm1/112a","+","HwCw – Sword fern – Vanilla-leaf; Typic phase","",""
"120","CWHdm1/112a","-","HwCw – Sword fern – Vanilla-leaf","",""
"121","CWHdm1/112b","+","HwCw – Sword fern – Vanilla-leaf; Fluctuating water table phase","FWT","fluctuating water table"
"122","CWHdm1/112b","-","HwCw – Sword fern – Vanilla-leaf","FWT","fluctuating water table"
"123","CWHdm1/Fm53","+","ActDr – Salmonberry – Lily-of-the-Valley","Fm","mid fluvial bench"
"124","CWHdm1/Fm54","+","MbDr – Salmonberry – Sword fern","Fm","mid fluvial bench"
"125","CWHdm1/Fm54","-","MbDr – Salmonberry – Sword fern","Fm","Fm"
"126","CWHdm1/Wb55","+","Plc – Labrador tea – Peat mosses","",""
"127","CWHdm1/Wb55.1","+","Plc – Labrador tea – Peat mosses; Typic variation","",""
"128","CWHdm1/Wb56","+","PlcHw – Salal – Peat mosses","",""
"129","CWHdm1/Ws56","+","SsHw – Skunk cabbage","",""
"130","CWHdm1/Ws56.1","+","SsHw – Skunk cabbage; CwHw variation","",""
"131","CWHdm1/Ws58.1","+","CwHw – Slough sedge; Typic variation","",""
"132","CWHdm1/Ws58.1","-","CwHw – Slough sedge","",""
"133","CWHdm1/Ws60","+","Ss – Crabapple – Slough sedge","SS","salt spray"
"134","CWHdm1/Ws60","-","Ss – Pacific crabapple – Slough sedge","",""
"135","CWHdm1/Ws61","-","Dr – Slough sedge","",""
"136","CWHdm1/Ws62","-","ActAt – Slough sedge","",""
"137","CWHdm2/101a","+","FdcHw – Red huckleberry – Salal; Typic phase","",""
"138","CWHdm2/101a","-","FdcHw – Red huckleberry – Salal","",""
"139","CWHdm2/101b","+","FdcHw – Red huckleberry – Salal; Poor phase","",""
"140","CWHdm2/101b","-","FdcHw – Red huckleberry – Salal","",""
"141","CWHdm2/112.1","+","HwCw – Sword fern – Vanilla-leaf; Salmonberry variation","",""
"142","CWHdm2/112.1","-","HwCw – Sword fern – Vanilla-leaf","",""
"143","CWHdm2/112.2","+","HwCw – Sword fern – Vanilla-leaf; Devil's club variation","",""
"144","CWHdm2/112.2","-","HwCw – Sword fern – Vanilla-leaf","",""
"145","CWHdm2/Fl50","-","Sitka willow – Lily-of-the-Valley","Fl","Fl"
"146","CWHdm2/Fl51","-","Dr – Salmonberry – Horsetail","Fl","Fl"
"147","CWHdm2/Fm53","+","ActDr – Salmonberry – Lily-of-the-Valley","Fm","mid fluvial bench"
"148","CWHdm2/Fm53","-","ActDr – Salmonberry – Lily-of-the-Valley","Fm","Fm"
"149","CWHdm2/Fm54","+","MbDr – Salmonberry – Sword fern","Fm","mid fluvial bench"
"150","CWHdm2/Wb55","+","Plc – Labrador tea – Peat mosses","",""
"151","CWHdm2/Wb55.1","+","Plc – Labrador tea – Peat mosses; Typic variation","",""
"152","CWHdm2/Wb56","+","PlcHw – Salal – Peat mosses","",""
"153","CWHdm2/Ws56","+","SsHw – Skunk cabbage","",""
"154","CWHdm2/Ws56.1","+","SsHw – Skunk cabbage; CwHw variation","",""
"155","CWHdm2/Ws58.1","+","CwHw – Slough sedge; Typic variation","",""
"156","CWHdm2/Ws58.1","-","CwHw – Slough sedge","",""
"157","CWHdm3/113","+","SsCw – Salmonberry – Vine maple","Fh","high fluvial bench"
"158","CWHdm3/113","-","SsCw– Salmonberry – Vine maple","Fh","high fluvial bench"
"159","CWHdm3/Fl50","-","Sitka willow – Lily-of-the-Valley","Fl","Fl"
"160","CWHdm3/Fl51","-","Dr – Salmonberry – Horsetail","Fl","Fl"
"161","CWHdm3/Fm53","+","ActDr – Salmonberry – Lily-of-the-Valley","Fm","mid fluvial bench"
"162","CWHdm3/Fm53","-","ActDr – Salmonberry – Lily-of-the-Valley","Fm","Fm"
"163","CWHdm3/Wb55","+","Plc – Labrador tea – Peat mosses","",""
"164","CWHdm3/Wb55.1","+","Plc – Labrador tea – Peat mosses; Typic variation","",""
"165","CWHdm3/Wb55.2","+","Plc – Labrador tea – Peat mosses; Bog blueberry variation","",""
"166","CWHdm3/Wb56","+","PlcHw – Salal – Peat mosses","",""
"167","CWHdm3/Ws56.1","+","SsHw – Skunk cabbage; CwHw variation","",""
"168","CWHdm3/Ws56.1","-","SsHw – Skunk cabbage","",""
"169","CWHdm3/Ws58.1","+","CwHw – Slough sedge; Typic variation","",""
"170","CWHdm3/Ws58.1","-","CwHw – Slough sedge","",""
"171","CWHds1/101a","+","HwFdc – Prince's pine – Step moss; Typic phase","",""
"172","CWHds1/101a","-","HwFdc – Prince's pine – Step moss","",""
"173","CWHds1/101b","+","HwFdc – Prince's pine – Step moss; Subxeric phase","",""
"174","CWHds1/101b","-","HwFdc – Prince's pine – Step moss","",""
"175","CWHds1/111","+","Hw – Queen's cup","",""
"176","CWHds1/111","-","CwFdc – Devil's club – Sword fern","",""
"177","CWHds1/112","+","CwFdc – Devil's club – Sword fern","",""
"178","CWHds1/112","-","CwSs – Devil's club – Lady fern","Fh","high fluvial bench"
"179","CWHds1/113","+","CwSs – Devil's club – Lady fern","Fh","high fluvial bench"
"180","CWHds1/Fl51","-","Dr – Salmonberry – Horsetail","Fl","Fl"
"181","CWHds1/Fm50","+","ActDr – Salmonberry","Fm","mid fluvial bench"
"182","CWHds1/Fm50.1","+","ActDr – Salmonberry; Salmonberry variation","Fm","mid fluvial bench"
"183","CWHds1/Fm50.2","+","ActDr – Salmonberry; Devil's club variation","Fm","mid fluvial bench"
"184","CWHds1/Fm53","+","ActDr – Salmonberry – Lily-of-the-Valley","Fm","mid fluvial bench"
"185","CWHds1/Fm53","-","ActDr – Salmonberry – Lily-of-the-Valley","Fm","Fm"
"186","CWHds1/Wb51","+","Plc – Crowberry – Peat mosses","",""
"187","CWHds1/Ws56.1","+","SsHw – Skunk cabbage; CwHw variation","",""
"188","CWHds1/Ws56.1","-","SsHw – Skunk cabbage","",""
"189","CWHds2/111","+","Hw – Queen's cup","",""
"190","CWHds2/111","-","SsCw – Devil's club","",""
"191","CWHds2/112","+","SsCw – Devil's club","",""
"192","CWHds2/112","-","CwSs – Devil's club – Lady fern","Fh","high fluvial bench"
"193","CWHds2/113","+","CwSs – Devil's club – Lady fern","Fh","high fluvial bench"
"194","CWHds2/Fm50","+","ActDr – Salmonberry","Fm","mid fluvial bench"
"195","CWHds2/Fm50","-","ActDr – Salmonberry","Fm","Fm"
"196","CWHds2/Fm50.1","+","ActDr – Salmonberry; Salmonberry variation","Fm","mid fluvial bench"
"197","CWHds2/Fm50.1","-","ActDr – Salmonberry","Fm","Fm"
"198","CWHds2/Fm50.2","+","ActDr – Salmonberry; Devil's club variation","Fm","mid fluvial bench"
"199","CWHds2/Fm50.2","-","ActDr – Salmonberry","Fm","Fm"
"200","CWHds2/Wb51","+","Plc – Crowberry – Peat mosses","",""
"201","CWHds2/Ws56.2","+","SsHw – Skunk cabbage; CwSs variation","",""
"202","CWHds2/Ws56.2","-","SsHw – Skunk cabbage","",""
"203","CWHmm1/101a","+","HwBa – Blueberry – Pipecleaner moss; Typic phase","",""
"204","CWHmm1/101a","-","HwBa – Blueberry – Pipecleaner moss","",""
"205","CWHmm1/101b","+","HwBa – Blueberry – Pipecleaner moss; Poor phase","",""
"206","CWHmm1/101b","-","HwBa – Blueberry – Pipecleaner moss","",""
"207","CWHmm1/Fl50","-","Sitka willow – Lily-of-the-Valley","Fl","Fl"
"208","CWHmm1/Fm50","+","ActDr – Salmonberry","Fm","mid fluvial bench"
"209","CWHmm1/Fm50.1","+","ActDr – Salmonberry; Salmonberry variation","Fm","mid fluvial bench"
