SS_NoSpace,SiteSeriesLongName
BGxh2/Ro01,Selaginella – Bluebunch wheatgrass – Screw moss
BGxh2/Ro01.1,Selaginella – Bluebunch wheatgrass – Screw moss
BGxh2/Ro01.2,Selaginella – Screw moss
BGxh2/Ro04,Big sagebrush – Selaginella – Bluebunch wheatgrass
BGxh2/Ro04.1,Big sagebrush – Selaginella – Bluebunch wheatgrass
BGxh2/Ro04.2,Rabbit-brush – Big sagebrush – Selaginella – Bluebunch wheatgrass
BGxh2/Rt05,Big sagebrush – Saskatoon – Bluebunch wheatgrass
BGxh2/Wm02,Water horsetail – Beaked sedge
BGxh2/Wm04,Common spikerush
BGxh2/Wm05,Cattail
BGxh2/Wm06,Soft-stemmed bulrush
BGxh2/Wm08,Three-square bulrush
BGxh2/Wm11,Seacoast bulrush
BGxh3/101,Big sagebrush – Bluebunch wheatgrass
BGxh3/110,Fd – Bluebunch wheatgrass – Step moss
BGxh3/111,Fd – Rocky Mountain juniper – Bluebunch wheatgrass
BGxh3/112,Act – Snowberry – Rose
BGxh3/113,Act(Fd) – Douglas' maple – Snowberry
BGxh3/Ff01,Water birch – Red-osier dogwood – Rose
BGxh3/Ff01a,Water birch – Red-osier dogwood – Rose; Fringe phase
BGxh3/Ff02,Snowberry – Prairie rose
BGxh3/Ff03,Water birch – Rose – Giant wildrye
BGxh3/Fl06,Sandbar willow – Scouring-rush
BGxh3/Gg03,Bluebunch wheatgrass – Selaginella
BGxh3/Gg04,Bluebunch wheatgrass – Junegrass – Pussytoes
BGxh3/Gg25,Sand dropseed – Needle-and-thread grass
BGxh3/Gg27,Needle-and-thread grass – Prairie sagewort
BGxh3/Gs02,Big sagebrush – Bluebunch wheatgrass – Sand dropseed
BGxh3/Gs02$2.1,Bluebunch wheatgrass
BGxh3/Gs02a,Big sagebrush – Bluebunch wheatgrass – Sand dropseed; Cool phase
BGxh3/Gs02b,Big sagebrush – Bluebunch wheatgrass – Sand dropseed; Warm phase
BGxh3/Gs05,Rocky Mountain juniper – Big sagebrush – Bluebunch wheatgrass
BGxh3/Ro04,Big sagebrush – Selaginella – Bluebunch wheatgrass
BGxh3/Rt04,Saskatoon – Bluebunch wheatgrass
BGxh3/Rt04a,Saskatoon – Bluebunch wheatgrass; Cool  phase
