SS_NoSpace,SiteSeriesLongName,SpecialCode,Special
CWHvm2/115,BaHwHm – Hellebore,,
CWHvm2/Wb51,Plc – Crowberry – Peat mosses,,
CWHvm2/Wb53,PlcYc – Tufted clubrush,,
CWHvm2/Wb53.2,PlcYc – Tufted clubrush; Tall shrub variation,,
CWHvm2/Wb53.3,PlcYc – Tufted clubrush; Low shrub variation,,
CWHvm2/Wb55,Plc – Labrador tea – Peat mosses,,
CWHvm2/Wb55.1,Plc – Labrador tea – Peat mosses; Typic variation,,
CWHvm2/Wb58,YcHm – Narrow-leaved cotton-grass – Peat mosses,,
CWHvm2/Ws54,CwHw – Azalea – Skunk cabbage,,
CWHvm2/Ws54.1,CwHw – Azalea – Skunk cabbage; Typic variation,,
CWHvm2/Ws55,YcHm – Skunk cabbage,,
CWHvm3/101,HwBa – Blueberry – Lanky moss,,
CWHvm3/102,PlcHw – Salal – Reindeer lichens,,
CWHvm3/103,CwHw – Salal – Deer fern,,
CWHvm3/104,HwBa – Deer fern – Sword fern,,
CWHvm3/110,HwBa – Wood fern – Foamflower,,
CWHvm3/111,HwCw – Deer fern – Lanky moss,,
CWHvm3/111.1,HwCw – Deer fern – Lanky moss; Deer fern variation,,
CWHvm3/111.2,HwCw – Deer fern – Lanky moss; Salal variation,,
CWHvm3/112,BaHwSs – Devil's club – Salmonberry,,
CWHvm3/112.1,BaHwSs – Devil's club – Salmonberry; Salmonberry variation,,
CWHvm3/112.2,BaHwSs – Devil's club – Salmonberry; Devil's club variation,,
CWHvm3/113,CwHwYc – Goldthread – Peat mosses,,
CWHvm3/114,SsHw – Salmonberry – Devil's club,Fh,high fluvial bench
CWHvm3/Fm50,ActDr – Salmonberry,Fm,mid fluvial bench
CWHvm3/Fm50.2,ActDr – Salmonberry; Devil's club variation,Fm,mid fluvial bench
CWHvm3/Wb51,Plc – Crowberry – Peat mosses,,
CWHvm3/Wb53,PlcYc – Tufted clubrush,,
CWHvm3/Wb53.2,PlcYc – Tufted clubrush; Tall shrub variation,,
CWHvm3/Wb53.3,PlcYc – Tufted clubrush; Low shrub variation,,
CWHvm3/Ws54,CwHw – Azalea – Skunk cabbage,,
CWHvm3/Ws54.1,CwHw – Azalea – Skunk cabbage; Typic variation,,
CWHvm3/Ws56,SsHw – Skunk cabbage,,
CWHvm3/Ws56.3,SsHw – Skunk cabbage; HwSs variation,,
CWHvm3/Ws58,CwHw – Slough sedge,,
CWHvm3/Ws58.1,CwHw – Slough sedge; Typic variation,,
CWHvm3/Ws60,Ss – Crabapple – Slough sedge,SS,salt spray
CWHvm4/101,HwBaYc – Blueberry – Lanky moss,,
CWHvm4/102,YcHm – Crowberry – Reindeer lichens,,
CWHvm4/103,HmBaYc – Salal – Azalea,,
CWHvm4/104,HmYc – Copperbush – Mountain-heaths,SN,late snow
CWHvm4/110,HwBa – Blueberry – Foamflower,,
CWHvm4/111,HmBaYc – Salal – Deer fern,,
CWHvm4/112,HwBa – Devil's club – Oak fern,,
CWHvm4/113,HmYc – Goldthread – Peat mosses,,
CWHvm4/Wb51,Plc – Crowberry – Peat mosses,,
CWHvm4/Wb53,PlcYc – Tufted clubrush,,
CWHvm4/Wb53.2,PlcYc – Tufted clubrush; Tall shrub variation,,
CWHvm4/Wb53.3,PlcYc – Tufted clubrush; Low shrub variation,,
CWHvm4/Wb58,YcHm – Narrow-leaved cotton-grass – Peat mosses,,
CWHvm4/Ws54,CwHw – Azalea – Skunk cabbage,,
CWHvm4/Ws54.1,CwHw – Azalea – Skunk cabbage; Typic variation,,
CWHvm4/Ws55,YcHm – Skunk cabbage,,
CWHvm4/Ws56,SsHw – Skunk cabbage,,
CWHvm4/Ws56.2,SsHw – Skunk cabbage; CwSs variation,,
CWHvm4/Ws56.3,SsHw – Skunk cabbage; HwSs variation,,
CWHwh1/101,HwSs – Lanky moss,,
CWHwh1/101a,HwSs – Lanky moss; Mesic phase,,
CWHwh1/101b,HwSs – Lanky moss; Moister phase,,
CWHwh1/102,CwHw – Salal – Oregon beaked moss,,
CWHwh1/103,Ss – Salal,SS,salt spray
CWHwh1/103.1,Ss – Salal ; typic variation,SS,salt spray
CWHwh1/103.2,Ss – Salal; reedgrass variation,SS,salt spray
CWHwh1/104,SsHw – Oregon beaked moss,SS,salt spray
CWHwh1/105,CwSs – Sword fern,,
CWHwh1/105a,CwSs – Sword fern; Colluvial/morainal phase,,
CWHwh1/105b,CwSs – Sword fern; Limestone phase,,
CWHwh1/110,CwHw – Salal – Deer fern,,
CWHwh1/110a,CwHw – Salal – Deer fern; Podzolic phase,,
CWHwh1/110b,CwHw – Salal – Deer fern; Gleysolic/organic phase,,
CWHwh1/111,CwSs – Foamflower,,
CWHwh1/111a,CwSs – Foamflower; Colluvial/morainal phase,,
CWHwh1/111b,CwSs – Foamflower; Alluvial fan phase,Fh,high fluvial bench
CWHwh1/111c,CwSs – Foamflower; Limestone phase,,
CWHwh1/112,Ss – Lily-of-the-valley,Fh,high fluvial bench
CWHwh1/113,Ss – Trisetum,Fm,mid fluvial bench
CWHwh1/115,CwYc – Salal – Goldthread,,
CWHwh1/116,CwSs – Snake liverwort,,
CWHwh1/117,Ss – Pacific crabapple – Slough sedge,SS,salt spray
CWHwh1/118,CwSs – Skunk cabbage,,
CWHwh1/118a,CwSs – Skunk cabbage; Mineral phase,,
CWHwh1/118b,CwSs – Skunk cabbage; Organic phase,,
CWHwh1/Wb51,Plc – Crowberry – Austin's Peat moss,,
CWHwh1/Wb51.1,Plc – Crowberry – Austin's Peat moss; Tall shrub variation,,
CWHwh1/Wb51.2,Plc – Crowberry – Austin's Peat moss; Wooded variation,,
CWHwh1/Wb53,PlcYc – Tufted clubrush,,
CWHwh1/Wb53.1,PlcYc – Tufted clubrush; Wooded variation,,
CWHwh1/Wb53.2,PlcYc – Tufted clubrush; Tall shrub variation,,
CWHwh2/101,HwSs – Lanky moss,,
CWHwh2/101a,HwSs – Lanky moss; Mesic phase,,
CWHwh2/101b,HwSs – Lanky moss; Drier phase,,
CWHwh2/101c,HwSs – Lanky moss; Moister phase,,
CWHwh2/110,SsYc – Oak fern,,
CWHwh2/111,YcHm – Goldthread,,
CWHwh2/112,SsYc – Hellebore – Snake liverwort,,
CWHwh2/112a,SsYc – Hellebore – Snake liverwort; Hygric phase,Fh,high fluvial bench
CWHwh2/112b,SsYc – Hellebore – Snake liverwort ; Subhydric phase,,
CWHwh2/Wb53,PlcYc – Tufted clubrush,,
CWHwm/101,HwSs – Blueberry – Lanky moss,,
CWHwm/101a,HwSs – Blueberry – Lanky moss; Typic phase,,
CWHwm/101b,HwSs – Blueberry – Lanky moss; Subxeric phase,,
CWHwm/102,YcHm – Crowberry – Reindeer lichens,,
CWHwm/110,HwSs – Wood fern – Oak fern,,
CWHwm/111,HmYc – Azalea – Peat mosses,,
CWHwm/112,SsHw – Devil's club – Wood fern,,
CWHwm/112a,SsHw – Devil's club – Wood fern; Typic phase,,
CWHwm/112b,SsHw – Devil's club – Wood fern; Fluvial phase,Fh,high fluvial bench
CWHwm/113,SsHw – Salmonberry – Devil's club,Fh,high fluvial bench
CWHwm/Fm50,ActDr – Salmonberry,Fm,mid fluvial bench
CWHwm/Fm50.1,ActDr – Salmonberry; Salmonberry variation,Fm,mid fluvial bench
CWHwm/Fm50.2,ActDr – Salmonberry; Devil's club variation,Fm,mid fluvial bench
CWHwm/Wb51,Plc – Crowberry – Peat mosses,,
CWHwm/Wb53,PlcYc – Tufted clubrush,,
CWHwm/Wb53.3,PlcYc – Tufted clubrush; Low shrub variation,,
CWHwm/Wb57,PlcYc – Deer cabbage – Peat mosses,,
CWHwm/Ws55,YcHm – Skunk cabbage,,
CWHwm/Ws56,SsHw – Skunk cabbage,,
CWHwm/Ws56.3,SsHw – Skunk cabbage; HwSs variation,,
CWHwm/Ws60,Ss – Crabapple – Slough sedge,SS,salt spray
CWHws1/101,HwBa – Blueberry – Step moss,,
CWHws1/102,HwPl – Feather moss – Clad lichens,,
CWHws1/103,HwPl – Feather moss,,
CWHws1/110,HwBa – Oak fern – Wood fern,,
CWHws1/111,HwBa – Blueberry – Queen's cup,,
CWHws1/112,CwHw – Devil's club – Enchanter's-nightshade,,
CWHws1/113,SsHw – Salmonberry – Devil's club,Fh,high fluvial bench
CWHws1/Fm50,ActDr – Salmonberry,Fm,mid fluvial bench
CWHws1/Fm50.1,ActDr – Salmonberry; Salmonberry variation,Fm,mid fluvial bench
CWHws1/Wb51,Plc – Crowberry – Peat mosses,,
CWHws1/Wb53,PlcYc – Tufted clubrush,,
CWHws1/Wb53.3,PlcYc – Tufted clubrush; Low shrub variation,,
CWHws1/Ws56,SsHw – Skunk cabbage,,
CWHws1/Ws56.2,SsHw – Skunk cabbage; CwSs variation,,
CWHws2/101,HwBa – Blueberry – Step moss,,
CWHws2/102,HwPl – Feather moss – Clad lichens,,
CWHws2/103,Hw – Blueberry – Step moss,,
CWHws2/110,HwBa – Oak fern – Wood fern,,
CWHws2/111,HwBa – Blueberry – Queen's cup,,
CWHws2/112,HwBa – Devil's club – Oak fern,,
CWHws2/113,BaHw – Salmonberry – Devil's club,Fh,high fluvial bench
CWHws2/114,Bl – Devil's club – Oak fern,FR,frost
CWHws2/Fm50,ActDr – Salmonberry,Fm,mid fluvial bench
CWHws2/Fm50.2,ActDr – Salmonberry; Devil's club variation,Fm,mid fluvial bench
CWHws2/Wb51,Plc – Crowberry – Peat mosses,,
CWHws2/Ws56,SsHw – Skunk cabbage,,
CWHws2/Ws56.2,SsHw – Skunk cabbage; CwSs variation,,
CWHws2/Ws59,HmBl – Skunk cabbage,,
CWHws3/101,HwBa – Blueberry – Step moss,,
CWHws3/102,FdcPlHw – Kinnikinnick,,
CWHws3/103,HwFdc – Azalea – Falsebox,,
CWHws3/110,HwBa – Oak fern – Wood fern,,
CWHws3/111,HwBa – Azalea – Bunchberry,,
CWHws3/112,HwFdc – Devil's club – Oak fern,,
CWHws3/113,SsHw – Salmonberry – Devil's club,Fh,high fluvial bench
CWHws3/Wb51,Plc – Crowberry – Peat mosses,,
CWHws3/Ws56,SsHw – Skunk cabbage,,
CWHws3/Ws56.2,SsHw – Skunk cabbage; CwSs variation,,
CWHws3/Ws58,CwHw – Slough sedge,,
CWHws3/Ws58.1,CwHw – Slough sedge; Typic variation,,
CWHxs/101,FdcHw – Dull Oregon-grape – Falsebox,,
CWHxs/101.1,FdcHw – Dull Oregon-grape – Falsebox; Typic variation,,
CWHxs/101.2,FdcHw – Dull Oregon-grape – Falsebox; Rhododendron variation,,
CWHxs/102,Fdc – Kinnikinnick – Feather moss – Reindeer lichens,,
CWHxs/103,Fdc – Dull Oregon-grape – Feather moss,,
CWHxs/103.1,Fdc – Dull Oregon-grape – Feather moss; Typic variation,,
CWHxs/103.2,Fdc – Dull Oregon-grape – Feather moss; Rhododendron variation,,
CWHxs/110,CwFdc – Vine maple – Dull Oregon-grape,,
CWHxs/111,Hw – Queen's cup,,
CWHxs/112,CwFdc – Vine maple – Foamflower,,
CWHxs/113,CwHw – Vine maple – Dogwood,Fh,high fluvial bench
CWHxs/Wb55,Plc – Labrador tea – Peat mosses,,
CWHxs/Ws56,SsHw – Skunk cabbage,,
CWHxs/Ws56.1,SsHw – Skunk cabbage; CwHw variation,,
ESSFdc1/101,BlSe – Rhododendron – Valerian,,
ESSFdc1/102,BlPl – Huckleberry,,
ESSFdc1/103,BlPl – Falsebox – Grouseberry,,
ESSFdc1/104,Bl – Rhododendron – Grouseberry,,
ESSFdc1/110,BlSe – Rhododendron – Hellebore,,
ESSFdc1/111,Bl – Valerian – Foamflower,,
ESSFdc1/112,Se – Horsetail – Globeflower,,
ESSFdc1/112a,Se – Horsetail – Globeflower; Riparian phase,,
ESSFdc1/112b,Se – Valerian – Horsetail; Swamp phase,,
ESSFdc1/Wb16,Sxw – Trapper's tea – Peat moss,,
ESSFdc1/Ws08,Bl – Sitka valerian – Horsetail,,
ESSFdc1/Ws08.1,Bl – Sitka valerian – Horsetail,,
ESSFdc1/Ws08.2,SxwBl – Horsetail – Canby's Lovage,,
ESSFdc2/101,BlSe – Rhododendron – Valerian,,
ESSFdc2/102,Pl – Juniper – Grouseberry – Clad lichens,,
ESSFdc2/103,Pl – Pinegrass – Grouseberry,IN,insolation
ESSFdc2/104,BlPl – Grouseberry – Clad lichens,,
ESSFdc2/110,SeBl – Trapper's tea – Grouseberry,CA,cold aspects - cold air
ESSFdc2/111,BlSe – Valerian – Globeflower,,
ESSFdc2/112,Se – Horsetail – Valerian,,
ESSFdc2/Wb16,Sxw – Trapper's tea – Peat moss,,
ESSFdc2/Ws08,Bl – Sitka valerian – Horsetail,,
ESSFdc2/Ws08.1,Bl – Sitka valerian – Horsetail,,
ESSFdc3/01,Bl – Rhododendron – Grouseberry,,
ESSFdc3/03,PlSe – Falsebox – Pinegrass,,
ESSFdc3/04,Bl – Grouseberry – Cladonia,,
ESSFdc3/05,Bl – Huckleberry – Feathermoss,,
ESSFdc3/06,Bl – Gooseberry – Oak fern,,
ESSFdc3/07,Bl – Rhododendron – Valerian,,
ESSFdc3/08,Bl – Trapper's tea,,
ESSFdcw/101,Bl – Valerian – Woodrush,,
ESSFdcw/102,BlPa – Grouseberry,,
ESSFdcw/103,Bl – Rhododendron – Grouseberry,,
ESSFdcw/110,Bl – Valerian – Hellebore – Globeflower,,
ESSFdcw/Ws08.2,SeBl – Horsetail – Canby's Lovage,,
ESSFdh1/101,BlBa – Huckleberry – Pipecleaner moss,,
ESSFdh1/102,FdBl – Falsebox – Rock mosses,,
ESSFdh1/103,BlPl – Falsebox – Grouseberry,,
ESSFdh1/104,FdBl – Falsebox – Pinegrass,IN,insolation
ESSFdh1/110,SeBl(Ba) – Oak fern – Bramble,,
ESSFdh1/111,SeBl – Horsetail – Oak fern,,
ESSFdh1/Ws07,Sxw – Horsetail – Leafy moss,,
ESSFdh1/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation,,
ESSFdh1/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation,,
ESSFdk1/101,BlSe – Azalea,,
ESSFdk1/102,PlFd – Juniper – Douglas maple,,
ESSFdk1/103,BlPl – Grouseberry,IN,insolation
ESSFdk1/104,BlPl – Azalea – Grouseberry,,
ESSFdk1/110,BlSe – Azalea – Foamflower,,
ESSFdk1/111,Se – Horsetail – Bluejoint,,
ESSFdk1/111a,Se – Horsetail – Bluejoint; Riparian phase,Fh,high fluvial bench
ESSFdk1/111b,Se – Horsetail – Bluejoint; Swamp phase,,
ESSFdk1/Wb15,Sxw – Labrador tea – Peat moss,,
ESSFdk1/Wb16,Sxw – Trapper’s tea – Peat moss,,
ESSFdk1/Ws08,Bl – Sitka valerian – Common horsetail,,
ESSFdk2/101,BlSe – Azalea – Feathermoss,,
ESSFdk2/102,PlFd – Juniper – Douglas maple,,
ESSFdk2/103,PlBl – Juniper – Showy aster,IN,insolation
ESSFdk2/104,BlPl – Azalea – Grouseberry,,
ESSFdk2/110,BlSe – Azalea – Oak fern,,
ESSFdk2/111,BlSe – Azalea – Foamflower,,
ESSFdk2/112,SeBl – Horsetail – Feathermoss,,
ESSFdk2/112a,SeBl – Horsetail – Feathermoss; Riparian phase,Fh,high fluvial bench
ESSFdk2/112b,SeBl – Horsetail – Feathermoss; Swamp phase,,
ESSFdk2/Wb15,Sxw – Labrador tea – Peat moss,,
ESSFdk2/Ws08,Bl – Sitka valerian – Common horsetail,,
ESSFdkw/101,BlSe – Grouseberry – Leafy liverwort,,
ESSFdkw/101.1,BlSe – Grouseberry – Leafy liverwort,,
ESSFdkw/101.2,BlSe – Rhododendeon – Grouseberry,,
ESSFdkw/102,BlLa – Grouseberry,,
ESSFdkw/103,BlSePa – Grouseberry,,
ESSFdkw/110,BlSe – Grouseberry – Valerian,,
ESSFmc/01,Bl – Huckleberry – Leafy liverwort,,
ESSFmc/01a,Bl – Huckleberry – Leafy liverwort; Medium-textured,,
ESSFmc/01b,Bl – Huckleberry – Leafy liverwort; Fine-textured,,
ESSFmc/02,BlPl – Juniper – Cladonia,,
ESSFmc/03,Bl – Huckleberry – Crowberry,,
ESSFmc/04,Bl – Huckleberry – Heron's-bill,,
ESSFmc/05,Bl – Huckleberry – Thimbleberry,,
ESSFmc/06,Bl – Oak fern – Heron's-bill,,
ESSFmc/07,Bl – Devil's club – Lady fern,,
ESSFmc/08,Bl – Valerian – Sickle moss,SN,late snow
ESSFmc/09,Bl – Horsetail – Glow moss,,
ESSFmc/10,Bl – Horsetail – Leafy moss,,
ESSFmc/11,Pl – Few-flowered sedge – Peat moss,,
ESSFmcw/101,Bl – Huckleberry – (Valerian) – Heron's-bill,,
ESSFmcw/101a,Bl – Huckleberry – (Valerian) – Heron's-bill; Mesic phase,,
ESSFmcw/101b,Bl – Huckleberry – (Valerian) – Heron's-bill; Submesic phase,,
ESSFmcw/102,Bl(Pa) – Crowberry – Heron's-bill,,
ESSFmcw/103,Bl – Mountain-heather – Leafy liverwort,SN,late snow
ESSFmcw/110,Bl – Valerian – Leafy liverwort,,
ESSFmcw/111,Bl – Leatherleaf – Leafy moss,,
ESSFmh/101,BlSe – Rhododendron – Foamflower,,
ESSFmh/102,FdPl – Juniper – Falsebox,,
ESSFmh/103,BlFd – Huckleberry – Falsebox,,
ESSFmh/104,BlPl – Falsebox – Grouseberry,,
ESSFmh/105,BlCwLw – Queen's cup,,
ESSFmh/110,Bl – Rhododendron – Oak fern,,
ESSFmh/111,BlSe – Lady fern – Oak fern,,
ESSFmh/112,SeBl – Horsetail – Arrow–leaved groundsel,,
ESSFmh/112a,SeBl – Horsetail – Arrow–leaved groundsel; Riparian phase,,
ESSFmh/112b,SeBl – Horsetail – Canby's lovage; Swamp phase,,
ESSFmh/Wb16,Sxw – Trapper's tea – Peat moss,,
ESSFmh/Ws08,Bl – Sitka valerian – Horsetail,,
ESSFmh/Ws08.1,Bl – Sitka valerian – Horsetail,,
ESSFmh/Ws08.2,SeBl – Horsetail – Canby's Lovage,,
ESSFmk/01,BlHm – Twistedstalk,,
ESSFmk/02,BlPa – Cladonia,,
ESSFmk/02a,BlPa – Cladonia; Lithic,,
ESSFmk/02b,BlPa – Cladonia; Fluvial,Fh,high fluvial bench
ESSFmk/03,BlHm – Cladonia,,
ESSFmk/04,BlHm – Oak fern,,
ESSFmk/05,Bl – Devil's club – Lady fern,,
ESSFmk/06,Bl – Horsetail – Leafy moss,,
ESSFmk/07,Bl – Lady fern – Horsetail,,
ESSFmkw/101,Bl(Hm) – Huckleberry – (Twistedstalk) – Heron's-bill,,
ESSFmkw/102,BlPa(Hm) – Huckleberry – Clad lichens,,
ESSFmkw/103,BlHm – Mountain-heather – Leafy liverwort,SN,late snow
ESSFmkw/104,BlHm – Huckleberry – Blueberry,,
ESSFmkw/110,Bl(Hm) – Huckleberry – Valerian – Leafy moss,,
ESSFmkw/111,Bl – Valerian – Sitka burnet – Horsetail,,
ESSFmm1/01,Bl – Azalea – Gooseberry,,
ESSFmm1/02,Bl – Huckleberry – Feathermoss,,
ESSFmm1/03,BlPl – Cladina,,
ESSFmm1/04,Bl – Azalea – Rhododendron,,
ESSFmm1/05,Bl – Oak fern – Bramble,,
ESSFmm1/06,Bl – Devil's club – Lady fern,,
ESSFmm1/07,Bl – Labrador tea – Horsetail,,
ESSFmm3/101,Bl – Azalea – Bramble,,
ESSFmm3/102,BlFd – Juniper – Clad lichen,,
ESSFmm3/103,Bl – Huckleberry – Clad lichen,,
ESSFmm3/104,Bl – Azalea – Feathermoss,,
ESSFmm3/110,BlSe – Azalea – Oak fern,,
ESSFmm3/111,BlSe – Valerian – Leafy liverwort,,
ESSFmm3/112,Se – Horsetail – Valerian,,
ESSFmv1/01,Bl – Rhododendron – Feathermoss,,
ESSFmv1/02,Pl – Huckleberry – Cladonia,,
ESSFmv1/03,Bl – Huckleberry – Feathermoss,,
ESSFmv1/04,Bl – Huckleberry – Gooseberry,,
ESSFmv1/05,Bl – Horsetail – Glow moss,,
ESSFmv2/01,Bl – Rhododendron – Feathermoss,,
ESSFmv2/02,Bl – Lingonberry,,
ESSFmv2/03,BlSb – Labrador tea,CA,cold aspects - cold air
ESSFmv2/04,Bl – Oak fern – Knight's plume,,
ESSFmv2/05,Bl – Devil's club – Rhododendron,,
ESSFmv2/06,Bl – Alder – Horsetail,,
ESSFmv3/01,Bl – Rhododendron – Feathermoss,,
ESSFmv3/02,BlPl – Crowberry – Cladina,,
ESSFmv3/03,BlSb – Labrador tea,CA,cold aspects - cold air
ESSFmv3/04,Bl – Oak fern – Knight's plume,,
ESSFmv3/05,Bl – Devil's club – Rhododendron,,
ESSFmv3/06,Sxw – Huckleberry – High bush-cranberry,,
ESSFmv3/07,Bl – Horsetail – Feathermoss,,
ESSFmv3/08,BlPl – Rhododendron,,
ESSFmv4/01,Bl – Rhododendron – Feathermoss,,
ESSFmv4/02,BlPl – Crowberry – Cladina,,
ESSFmv4/03,BlSb – Labrador tea,CA,cold aspects - cold air
ESSFmv4/04,Bl – Rhododendron – Horsetail,,
ESSFmv4/05,Bl – Alder – Horsetail,,
ESSFmw/01,BlBa – Rhododendron,,
ESSFmw/02,BlPl – Juniper – Racomitrium,,
ESSFmw/03,Fd – Falsebox – Pinegrass,,
ESSFmw/04,Bl – Huckleberry – Falsebox,,
ESSFmw/05,BlBa – Azalea – Pipecleaner moss,,
ESSFmw/06,Bl – Gooseberry – Valerian,,
ESSFmw/07,BlBa – Oak fern – Lady fern,,
ESSFmw/08,Bl – Gooseberry – Horsetail,,
ESSFmw1/101,BlBa – Rhododendron – Bramble,,
ESSFmw1/102,PlBl – Grouseberry – Rock mosses,,
ESSFmw1/102.1,PlBl – Grouseberry – Rock mosses,,
ESSFmw1/102.2,Bl – Huckleberry – Rock mosses,,
ESSFmw1/103,BlPl – Falsebox – Grouseberry,,
ESSFmw1/104,FdPl – Falsebox – Pinegrass,IN,insolation
ESSFmw1/105,BlBa – Huckleberry – Pipecleaner moss,,
ESSFmw1/110,Bl – Valerian – Foamflower,CAS,cold aspects - cold air
ESSFmw1/111,Se – Horsetail – Valerian,,
ESSFmw1/Ws08,Bl – Sitka valerian – Horsetail,,
ESSFmw1/Ws08.1,Bl – Sitka valerian – Horsetail,,
ESSFvc/01,BlHm – Rhododendron – Oak fern,,
ESSFvc/02,BlHm – Rhododendron – Leafy liverwort,,
ESSFvc/03,BlHm – Rhododendron – Pipecleaner moss,,
ESSFvc/04,BlHm – Devil's club – Lady fern,,
ESSFvc/05,BlHm – Horsetail,,
ESSFwc2/01,Bl – Azalea – Oak fern,,
ESSFwc2/02,Pl – Huckleberry – Cladonia,,
ESSFwc2/03,Bl – Huckleberry – Arnica,,
ESSFwc2/04,Bl – Rhododendron – Heron's-bill,,
ESSFwc2/05,Bl – Azalea – Feathermoss,,
ESSFwc2/06,Bl – Valerian – Oak fern,,
ESSFwc2/07,Bl – Devil's club – Lady fern,,
ESSFwc2/08,Bl – Horsetail – Sphagnum,,
ESSFwc2/09,Pl – Dwarf blueberry – Sphagnum,,
ESSFwc4/101,Bl – Rhododendron – Oak fern,,
ESSFwc4/102,BlPa – Huckleberry – Clad lichen,,
ESSFwc4/103,Bl – Rhododendron – Huckleberry – Heron's-bill,,
ESSFwc4/103a,Bl – Rhododendron – Huckleberry – Heron's-bill; Subxeric phase,,
ESSFwc4/103b,Bl – Rhododendron – Huckleberry – Heron's-bill; Submesic phase,,
ESSFwc4/110,BlSe – Lady fern – Oak fern,,
ESSFwc4/111,Bl – Valerian – Foamflower,,
ESSFwc4/112,Se – Horsetail – Valerian,,
ESSFwc4/112a,Se – Horsetail – Valerian; Riparian phase,Fh,high fluvial bench
ESSFwc4/112b,Se – Valerian – Horsetail; Swamp phase,,
ESSFwc7/101,Bl – Rhododendron – Oak fern,,
ESSFwc7/102,Bl – Huckleberry – Rock mosses,,
ESSFwc7/103,Bl – Rhododendron – Bramble – Heron's-bill mosses,,
ESSFwc7/110,Bl – Twistedstalks – Leafy mosses,,
ESSFwc7/111,Bl – Valerian – Horsetail,,
ESSFwcw/101,Bl – Rhododendron – Valerian,,
ESSFwcw/102,BlPa – Huckleberry – Clad lichen,,
ESSFwcw/103,Bl – Rhododendron – Woodrush,,
ESSFwcw/104,Bl – Mountain-heather,SN,late snow
ESSFwcw/104.1,Bl – Mountain-heather – Woodrush,SN,late snow
ESSFwcw/104.2,Bl – Mountain-heather – Partridge-foot,SN,late snow
ESSFwcw/104.3,Bl – Mountain-heather – Mountain sagewort,SN,late snow
ESSFwcw/110,Bl – Valerian – Hellebore – Globeflower,,
ESSFwcw/Ws08.2,SeBl – Horsetail – Canby's Lovage,,
ESSFwh1/101,BlHw – Rhododendron – Foamflower,,
ESSFwh1/102,Bl – Huckleberry – Rock moss,,
ESSFwh1/103,BlFd – Huckleberry – Falsebox,IN,insolation
ESSFwh1/104,BlHw – Huckleberry – Pipecleaner moss,,
ESSFwh1/110,Se – Devil's club – Lady fern,,
ESSFwh1/110.1,Se – Devil's club – Lady fern,,
ESSFwh1/110.2,Se – Lady fern – Oak fern,,
ESSFwh1/111,SeBl – Horsetail – Canby's lovage,,
ESSFwh1/111a,SeBl – Horsetail – Canby's lovage; Riparian phase,Fh,high fluvial bench
ESSFwh1/111b,SeBl – Horsetail – Canby's lovage; Swamp phase,,
ESSFwh1/Ws08.1,Bl – Sitka valerian – Horsetail,,
ESSFwh1/Ws08.2,SxwBl – Horsetail – Canby's Lovage,,
ESSFwh2/101,BlHw – Rhododendron – Foamflower,,
ESSFwh2/102,Bl – Huckleberry – Rock moss,,
ESSFwh2/103,Bl – Huckleberry – Falsebox,IN,insolation
ESSFwh2/104,BlHw – Huckleberry – Pipecleaner moss,,
ESSFwh2/110,BlSe – Azalea – Oak fern,,
ESSFwh2/111,Se – Devil's club – Lady fern,,
ESSFwh2/112,SeBl – Horsetail – Canby's lovage,,
ESSFwh2/112a,SeBl – Horsetail – Canby's lovage; Riparian phase,Fh,high fluvial bench
ESSFwh2/112b,SeBl – Horsetail – Canby's lovage; Swamp phase,,
ESSFwh2/Ws08.1,Bl – Sitka valerian – Horsetail,,
ESSFwh2/Ws08.2,SxwBl – Horsetail – Canby's Lovage,,
ESSFwh3/101,BlHw – Rhododendron – Foamflower,,
ESSFwh3/102,BlFd – Bear-grass – Rock moss,,
ESSFwh3/103,BlPl – Huckleberry – Bear-grass,IN,insolation
ESSFwh3/104,Bl – Rhododendron – Bear-grass – Pipecleaner moss,,
ESSFwh3/104.1,Bl – Rhododendron – Bear-grass – Pipecleaner moss,,
ESSFwh3/104.2,Bl – Rhododendron – Pipecleaner moss,,
ESSFwh3/110,Bl – Rhododendron – Oak fern,,
ESSFwh3/111,Se – Devil's club – Lady fern,,
ESSFwh3/112,SeBl – Horsetail – Canby's lovage,,
ESSFwh3/112a,SeBl – Horsetail – Canby's lovage; Riparian phase,Fh,high fluvial bench
ESSFwh3/112b,SeBl – Horsetail – Canby's lovage; Swamp phase,,
ESSFwh3/Ws08.1,Bl – Sitka valerian – Horsetail,,
ESSFwh3/Ws08.2,SxwBl – Horsetail – Canby's Lovage,,
ESSFwk1/01,Bl – Oak fern – Brachythecium,,
ESSFwk1/02,Bl – Huckleberry – Feathermoss,,
ESSFwk1/03,Bl – Oak fern – Knight's plume,,
ESSFwk1/04,Bl – Twinberry – Lady fern,CA,cold aspects - cold air
ESSFwk1/05,Bl – Devil's club – Lady fern,,
ESSFwk1/06,Bl – Horsetail – Sphagnum,CA,cold aspects - cold air
ESSFwk1/07,Bl – Lady fern – Horsetail,,
ESSFwk2/01,Bl – Oak fern – Knight's plume,,
ESSFwk2/02,Bl – Oak fern – Sarsaparilla,,
ESSFwk2/03,Bl – Oak fern – Bluebells,,
