Retire,SS_class,Source,Zone,SubzoneGroup,Subzone,BGC_Label,BGC,BGCName,ZoneName,SubzoneName,VariantName,General Location,OldSubzoneLabel,DataSet,State,Notes
,,BGCv11,ESSF,ESSF_wet,ESSFwcw,ESSFwcw,ESSFwcw,Wet Cold Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Cold Woodland,,Wet Cold Woodland,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwh,ESSFwh 1,ESSFwh1,Columbia Wet Hot ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Hot,Columbia,Wet Hot,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwh,ESSFwh 2,ESSFwh2,St Mary Wet Hot ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Hot,St Mary,Wet Hot,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwh,ESSFwh 3,ESSFwh3,Salmo Wet Hot ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Hot,Salmo,Wet Hot,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwk,ESSFwk 1,ESSFwk1,Cariboo Wet Cool ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Cool,Cariboo,Wet Cool,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwk,ESSFwk 2,ESSFwk2,Misinchinka Wet Cool ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Cool,Misinchinka,Wet Cool,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwm,ESSFwm 1,ESSFwm1,Fernie Wet Mild ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Mild,Fernie,Wet Mild,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwm,ESSFwm 2,ESSFwm2,Purcell Wet Mild ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Mild,Purcell,Wet Mild,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwm,ESSFwm 3,ESSFwm3,Ymir Wet Mild ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Mild,Ymir,Wet Mild,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwm,ESSFwm 4,ESSFwm4,Moyie Wet Mild ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Mild,Moyie,Wet Mild,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwmp,ESSFwmp,ESSFwmp,Wet Mild Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Mild Parkland,,Wet Mild Parkland,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwmw,ESSFwmw,ESSFwmw,Wet Mild Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Mild Woodland,,Wet Mild Woodland,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwv,ESSFwv,ESSFwv,Wet Very Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Very Cold,,Wet Very Cold,,BC,BC,
,no,BGCv11,ESSF,ESSF_wet,ESSFwvp,ESSFwvp,ESSFwvp,Wet Very Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Very Cold Parkland,,Wet Very Cold Parkland,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFxc,ESSFxc 1,ESSFxc1,Similkameen Very Dry Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Cold,Similkameen,Very Dry Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFxc,ESSFxc 2,ESSFxc2,Thompson Very Dry Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Cold,Thompson,Very Dry Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFxc,ESSFxc 3,ESSFxc3,Pavillion Very Dry Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Cold,Pavillion,Very Dry Cold,,BC,BC,
,no,BGCv11,ESSF,ESSF_dry,ESSFxcp,ESSFxcp,ESSFxcp,Very Dry Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Cold Parkland,,Very Dry Cold Parkland,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFxcw,ESSFxcw,ESSFxcw,Very Dry Cold Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Cold Woodland,,Very Dry Cold Woodland,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFxv,ESSFxv 1,ESSFxv1,West Chilcotin Very Dry Very Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Very Cold,West Chilcotin,Very Dry Very Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFxv,ESSFxv 2,ESSFxv2,Big Creek Very Dry Very Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Very Cold,Big Creek,Very Dry Very Cold,,BC,BC,
,no,BGCv11,ESSF,ESSF_dry,ESSFxvp,ESSFxvp,ESSFxvp,Very Dry Very Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Very Cold Parkland,,Very Dry Very Cold Parkland,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFxvw,ESSFxvw,ESSFxvw,Very Dry Very Cold Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Very Cold Woodland,,Very Dry Very Cold Woodland,,BC,BC,
,,BGCv11,ICH,ICH_dry,ICHdk,ICH dk,ICHdk,Dry Cool ICH,Interior Cedar  –  Hemlock,Dry Cool,,Dry Cool,,BC,BC,
,,BGCv11,ICH,ICH_dry,ICHdm,ICH dm,ICHdm,Dry Mild ICH,Interior Cedar  –  Hemlock,Dry Mild,,Dry Mild,,BC,BC,
,,BGCv11,ICH,ICH_dry,ICHdw,ICH dw 1,ICHdw1,West Kootenay Dry Warm ICH,Interior Cedar  –  Hemlock,Dry Warm,West Kootenay,Dry Warm,,BC,BC,
,,BGCv11,ICH,ICH_dry,ICHdw,ICH dw 3,ICHdw3,North Thompson Dry Warm ICH,Interior Cedar  –  Hemlock,Dry Warm,North Thompson,Dry Warm,,BC,BC,
,,BGCv11,ICH,ICH_dry,ICHdw,ICH dw 4,ICHdw4,Shuswap Dry Warm ICH,Interior Cedar  –  Hemlock,Dry Warm,Shuswap,Dry Warm,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmc,ICH mc 1,ICHmc1,Nass Moist Cold ICH,Interior Cedar  –  Hemlock,Moist Cold,Nass,Moist Cold,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmca,ICH mc 1a,ICHmc1a,Nass Moist Cold ICH,Interior Cedar  –  Hemlock,Moist Cold,Nass,Moist Cold,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmc,ICH mc 2,ICHmc2,Hazelton Moist Cold ICH,Interior Cedar  –  Hemlock,Moist Cold,Hazelton,Moist Cold,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmk,ICH mk 1,ICHmk1,Okanagan Moist Cool ICH,Interior Cedar  –  Hemlock,Moist Cool,Okanagan,Moist Cool,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmk,ICH mk 2,ICHmk2,Thompson Moist Cool ICH,Interior Cedar  –  Hemlock,Moist Cool,Thompson,Moist Cool,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmk,ICH mk 3,ICHmk3,Horsefly Moist Cool ICH,Interior Cedar  –  Hemlock,Moist Cool,Horsefly,Moist Cool,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmk,ICH mk 4,ICHmk4,Kootenay Moist Cool ICH,Interior Cedar  –  Hemlock,Moist Cool,Kootenay,Moist Cool,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmk,ICH mk 5,ICHmk5,Kootenay Moist Cool ICH,Interior Cedar  –  Hemlock,Moist Cool,Kootenay,Moist Cool,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmm,ICH mm,ICHmm,Moist Mild ICH,Interior Cedar  –  Hemlock,Moist Mild,,Moist Mild,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmw,ICH mw 1,ICHmw1,Kinbasket Moist Warm ICH,Interior Cedar  –  Hemlock,Moist Warm,Kinbasket,Moist Warm,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmw,ICH mw 2,ICHmw2,Shuswap Moist Warm ICH,Interior Cedar  –  Hemlock,Moist Warm,Shuswap,Moist Warm,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmw,ICH mw 3,ICHmw3,Thompson Moist Warm ICH,Interior Cedar  –  Hemlock,Moist Warm,Thompson,Moist Warm,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmw,ICH mw 4,ICHmw4,Ymir Moist Warm ICH,Interior Cedar  –  Hemlock,Moist Warm,Ymir,Moist Warm,,BC,BC,
,,BGCv11,IDF,IDF_meso,IDFdm,IDF dm 1,IDFdm1,Kettle Dry Mild IDF,Interior Douglas-fir,Dry Mild,Kettle,Dry Mild,,BC,BC,
,,BGCv11,IDF,IDF_meso,IDFdm,IDF dm 2,IDFdm2,Kootenay Dry Mild IDF,Interior Douglas-fir,Dry Mild,Kootenay,Dry Mild,,BC,BC,
,,BGCv11,IDF,IDF,IDFdw,IDF dw,IDFdw,Dry Warm IDF,Interior Douglas-fir,Dry Warm,,Dry Warm,,BC,BC,
,,BGCv11,IDF,ICH_dry,IDFmw,IDF mw 2,IDFmw2,Thompson Moist Warm IDF,Interior Douglas-fir,Moist Warm,Thompson,Moist Warm,,BC,BC,
,,BGCv11,IDF,IDF_meso,IDFww,IDF ww,IDFww,Wet Warm IDF,Interior Douglas-fir,Wet Warm,,Wet Warm,,BC,BC,
,,BGCv11,IDF,IDF_hot,IDFxc,IDF xc,IDFxc,Very Dry Cold IDF,Interior Douglas-fir,Very Dry Cold,,Very Dry Cold,,BC,BC,
,,BGCv11,IDF,IDF_hot,IDFxh,IDF xh 1,IDFxh1,Okanagan Very Dry Hot IDF,Interior Douglas-fir,Very Dry Hot,Okanagan,Very Dry Hot,,BC,BC,
,,BGCv11,IDF,IDF_hot,IDFxh,IDF xh 2,IDFxh2,Thompson Very Dry Hot IDF,Interior Douglas-fir,Very Dry Hot,Thompson,Very Dry Hot,,BC,BC,
,,BGCv11,IDF,IDF_hot,IDFxk,IDF xk,IDFxk,Very Dry Cool IDF,Interior Douglas-fir,Very Dry Cool,,Very Dry Cool,,BC,BC,
,,BGCv11,IDF,IDF_hot,IDFxm,IDF xm,IDFxm,Very Dry Mild IDF,Interior Douglas-fir,Very Dry Mild,,Very Dry Mild,,BC,BC,
,,BGCv11,IDF,IDF_hot,IDFxw,IDF xw,IDFxw,Very Dry Warm IDF,Interior Douglas-fir,Very Dry Warm,,,IDF xw,BC,BC,
,,BGCv11,IDF,IDF_hot,IDFxx,IDF xx 2,IDFxx2,Kootenay Very Dry Very Hot  IDF,Interior Douglas-fir,Very Dry Very Hot ,Kootenay,Very Dry Very Hot,,BC,BC,
,,BGCv11,IMA,IMA,IMAun,IMA un,IMAun,Undifferentiated IMA,Interior Mountain-heather Alpine,Undifferentiated,,Undifferentiated,,BC,BC,
,,BGCv11,IMA,IMA,IMAunp,IMA unp,IMAunp,Undifferentiated and Parkland IMA,Interior Mountain-heather Alpine,Undifferentiated and Parkland,,Undifferentiated and Parkland,,BC,BC,
,,BGCv11,MH,MH_maritime,MHmm,MH  mm 1,MHmm1,Windward Moist Maritime MH,Mountain Hemlock,Moist Maritime,Windward,Moist Maritime,,BC,BC,
,,BGCv11,MH,MH_submaritme,MHmm,MH  mm 2,MHmm2,Leeward Moist Maritime MH,Mountain Hemlock,Moist Maritime,Leeward,Moist Maritime,,BC,BC,
,no,BGCv11,MH,MH_maritime,MHmmp,MH  mmp,MHmmp,Moist Maritime Parkland MH,Mountain Hemlock,Moist Maritime Parkland,,Moist Maritime Parkland,,BC,BC,
,no,BGCv11,MH,MH_submaritme,MHun,MH  un,MHun,Undifferentiated MH,Mountain Hemlock,Undifferentiated,,Undifferentiated,,BC,BC,
,,BGCv11,MH,MH_submaritme,MHunp,MH  unp,MHunp,Undifferentiated Parkland MH,Mountain Hemlock,Undifferentiated Parkland,,Undifferentiated parkland,,BC,BC,
,,BGCv11,MH,MH_maritime,MHwh,MH  wh,MHwh,Wet Hypermaritime MH,Mountain Hemlock,Wet Hypermaritime,,Wet Hypermaritime,,BC,BC,
,,BGCv11,MH,MH_maritime,MHwhp,MH  whp,MHwhp,Wet Hypermaritime Parkland MH,Mountain Hemlock,Wet Hypermaritime Parkland,,Wet Hypermaritime Parkland,,BC,BC,
,,BGCv11,MS,MS_meso,MSdc,MS  dc 1,MSdc1,Cayoosh Dry Cold MS,Montane Spruce,Dry Cold,Cayoosh,Dry Cold,,BC,BC,
,,BGCv11,MS,MS_meso,MSdc,MS  dc 2,MSdc2,Tatlayoko Dry Cold MS,Montane Spruce,Dry Cold,Tatlayoko,Dry Cold,,BC,BC,
,,BGCv11,MS,MS_meso,MSdc,MS  dc 3,MSdc3,Tyaughton Dry Cold MS,Montane Spruce,Dry Cold,Tyaughton,Dry Cold,,BC,BC,
,,BGCv11,MS,MS_meso,MSdk,MS  dk,MSdk,Dry Cool MS,Montane Spruce,Dry Cool,,Dry Cool,,BC,BC,
,,BGCv11,MS,MS_meso,MSdm,MS  dm 1,MSdm1,Okanagan Dry Mild MS,Montane Spruce,Dry Mild,Okanagan,Dry Mild,,BC,BC,
,,BGCv11,MS,MS_meso,MSdm,MS  dm 2,MSdm2,Cascade Dry Mild MS,Montane Spruce,Dry Mild,Cascade,Dry Mild,,BC,BC,
,,BGCv11,MS,MS_meso,MSdm,MS  dm 3,MSdm3,North Thompson Dry Mild MS,Montane Spruce,Dry Mild,North Thompson,Dry Mild,,BC,BC,
,,BGCv11,MS,MS_meso,MSdv,MS  dv,MSdv,Dry Very Cold MS,Montane Spruce,Dry Very Cold,,Dry Very Cold,,BC,BC,
,no,BGCv11,BAFA,BAFA,BAFAun,BAFAun,BAFAun,Undifferentiated BAFA,Boreal Altai Fescue Alpine,Undifferentiated,,Undifferentiated,,BC,BC,
,no,BGCv11,BAFA,BAFA,BAFAunp,BAFAunp,BAFAunp,Undifferentiated and Parkland BAFA,Boreal Altai Fescue Alpine,Undifferentiated and Parkland,,Undifferentiated and Parkland,,BC,BC,
,,BGCv11,BG,BG,BGxh,BG  xh 1,BGxh1,Okanagan Very Dry Hot BG,Bunchgrass,Very Dry Hot,Okanagan,Very Dry Hot,,BC,BC,
,,BGCv11,BG,BG,BGxh,BG  xh 2,BGxh2,Thompson Very Dry Hot BG,Bunchgrass,Very Dry Hot,Thompson,Very Dry Hot,,BC,BC,
,,BGCv11,BG,BG,BGxh,BG  xh 3,BGxh3,Fraser Very Dry Hot BG,Bunchgrass,Very Dry Hot,Fraser,Very Dry Hot,,BC,BC,
,,BGCv11,BG,BG,BGxw,BG  xw 1,BGxw1,Nicola Very Dry Warm BG,Bunchgrass,Very Dry Warm,Nicola,Very Dry Warm,,BC,BC,
,,BGCv11,BG,BG,BGxw,BG  xw 2,BGxw2,Alkali Very Dry Warm BG,Bunchgrass,Very Dry Warm,Alkali,Very Dry Warm,,BC,BC,
,,BGCv11,BWBS,BWBS_meso,BWBSdk,BWBSdk,BWBSdk,Dry Cool BWBS,Boreal White and Black Spruce,Dry Cool,,Dry Cool,,BC,BC,
,,BGCv11,BWBS,BWBS_meso,BWBSmk,BWBSmk,BWBSmk,Moist Cool BWBS,Boreal White and Black Spruce,Moist Cool,,Moist Cool,,BC,BC,
,,BGCv11,BWBS,BWBS_warm,BWBSmw,BWBSmw,BWBSmw,Moist Warm BWBS,Boreal White and Black Spruce,Moist Warm,,Moist Warm,,BC,BC,
,no,BGCv11,BWBS,BWBS_cold,BWBSvk,BWBSvk,BWBSvk,Very Wet Cool BWBS,Boreal White and Black Spruce,Very Wet Cool,,Very Wet Cool,,BC,BC,
,,BGCv11,BWBS,BWBS_cold,BWBSwk,BWBSwk 1,BWBSwk1,Murray Wet Cool BWBS,Boreal White and Black Spruce,Wet Cool,Murray,Wet Cool,,BC,BC,
,,BGCv11,BWBS,BWBS_cold,BWBSwk,BWBSwk 2,BWBSwk2,Graham Wet Cool BWBS,Boreal White and Black Spruce,Wet Cool,Graham,Wet Cool,,BC,BC,
,,BGCv11,BWBS,BWBS_cold,BWBSwk,BWBSwk 3,BWBSwk3,Kledo Wet Cool BWBS,Boreal White and Black Spruce,Wet Cool,Kledo,Wet Cool,,BC,BC,
,,BGCv11,CDF,CDF,CDFmm,CDF mm,CDFmm,Moist Maritime CDF,Coastal Douglas-fir,Moist Maritime,,Moist Maritime,,BC,BC,
,no,BGCv11,CMA,CMA,CMAun,CMA un,CMAun,Undifferentiated CMA,Coastal Mountain-heather Alpine,Undifferentiated,,Undifferentiated,,BC,BC,
,no,BGCv11,CMA,CMA,CMAunp,CMA unp,CMAunp,Undifferentiated and Parkland CMA,Coastal Mountain-heather Alpine,Undifferentiated and Parkland,,Undifferentiated and Parkland,,BC,BC,
,no,BGCv11,CMA,CMA,CMAwh,CMA wh,CMAwh,Wet Hypermaritime CMA,Coastal Mountain-heather Alpine,Wet Hypermaritime,,Wet Hypermaritime,,BC,BC,
,,BGCv11,CWH,CWH_hypermaritime,CWHvh,CWH vh 3,CWHvh3,Haida Gwaii Very Wet Hypermaritime CWH,Coastal Western Hemlock,Very Wet Hypermaritime,Haida Gwaii,Very Wet Hypermaritime,,BC,BC,
,,BGCv11,CWH,CWH_meso,CWHwh,CWH wh 1,CWHwh1,Submontane Wet Hypermaritime CWH,Coastal Western Hemlock,Wet Hypermaritime,Submontane,Wet Hypermaritime,,BC,BC,
,,BGCv11,CWH,CWH_hypermaritime,CWHwh,CWH wh 2,CWHwh2,Montane Wet Hypermaritime CWH,Coastal Western Hemlock,Wet Hypermaritime,Montane,Wet Hypermaritime,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdc,ESSFdc 1,ESSFdc1,Okanagan Dry Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cold,Okanagan,Dry Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdc,ESSFdc 2,ESSFdc2,Cascade Dry Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cold,Cascade,Dry Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdc,ESSFdc 3,ESSFdc3,North Thompson Dry Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cold,North Thompson,Dry Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdcp,ESSFdcp,ESSFdcp,Dry Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cold Parkland,,Dry Cold Parkland,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdcw,ESSFdcw,ESSFdcw,Dry Cold Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cold Woodland,,Dry Cold Woodland,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdk,ESSFdk 1,ESSFdk1,Elk Dry Cool ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cool,Elk,Dry Cool,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdk,ESSFdk 2,ESSFdk2,Columbia Dry Cool ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cool,Columbia,Dry Cool,,BC,BC,
,no,BGCv11,ESSF,ESSF_dry,ESSFdkp,ESSFdkp,ESSFdkp,Dry Cool Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cool Parkland,,Dry Cool Parkland,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdkw,ESSFdkw,ESSFdkw,Dry Cool Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cool Woodland,,Dry Cool Woodland,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdv,ESSFdv 1,ESSFdv1,Cayoosh Dry Very Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Very Cold,Cayoosh,Dry Very Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFdv,ESSFdv 2,ESSFdv2,Tyaughton Dry Very Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Very Cold,Tyaughton,Dry Very Cold,,BC,BC,
,no,BGCv11,ESSF,ESSF_dry,ESSFdvp,ESSFdvp,ESSFdvp,Dry Very Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Very Cold Parkland,,Dry Very Cold Parkland,,BC,BC,
,no,BGCv11,ESSF,ESSF_dry,ESSFdvw,ESSFdvw,ESSFdvw,Dry Very Cold Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Very Cold Woodland,,Dry Very Cold Woodland,,BC,BC,
,,BGCv11,ESSF,ESSF_meso,ESSFmc,ESSFmc,ESSFmc,Moist Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Cold,,Moist Cold,,BC,BC,
