"","Source","Zone","SubzoneGroup","Subzone","BGC","BGCName","ZoneName","SubzoneName","VariantName","General.Location","OldSubzoneLabel","DataSet","State","Notes"
"172","BGCv11","ICH","ICH_meso","ICHmw","ICHmw5","Granby Moist Warm ICH","Interior Cedar  –  Hemlock","Moist Warm","Granby","","","BC","BC",""
"173","BGCv11","ICH","ICH_wet","ICHvc","ICHvc","Very Wet Cold ICH","Interior Cedar  –  Hemlock","Very Wet Cold","","","","BC","BC",""
"174","BGCv11","ICH","ICH_wet","ICHvk","ICHvk1","Columbia Very Wet Cool ICH","Interior Cedar  –  Hemlock","Very Wet Cool","Columbia","","","BC","BC",""
"175","BGCv11","ICH","ICH_wet","ICHvk","ICHvk2","Slim Very Wet Cool ICH","Interior Cedar  –  Hemlock","Very Wet Cool","Slim","","","BC","BC",""
"176","BGCv11","ICH","ICH_wet","ICHwc","ICHwc","Wet Cold ICH","Interior Cedar  –  Hemlock","Wet Cold","","","","BC","BC",""
"177","BGCv11","ICH","ICH_wet","ICHwk","ICHwk1","Shuswap Wet Cool ICH","Interior Cedar  –  Hemlock","Wet Cool","Shuswap","","","BC","BC",""
"178","BGCv11","ICH","ICH_wet","ICHwk","ICHwk2","Quesnel Wet Cool ICH","Interior Cedar  –  Hemlock","Wet Cool","Quesnel","","","BC","BC",""
"179","BGCv11","ICH","ICH_wet","ICHwk","ICHwk3","Goat Wet Cool ICH","Interior Cedar  –  Hemlock","Wet Cool","Goat","","","BC","BC",""
"180","BGCv11","ICH","ICH_wet","ICHwk","ICHwk4","Cariboo Wet Cool ICH","Interior Cedar  –  Hemlock","Wet Cool","Cariboo","","","BC","BC",""
"181","BGCv11","ICH","ICH_dry","ICHxw","ICHxw","Very Dry Warm ICH","Interior Cedar  –  Hemlock","Very Dry Warm","","","","BC","BC",""
"182","BGCv11","ICH","ICH_dry","ICHxwa","ICHxwa","Very Dry Warm ICH","Interior Cedar  –  Hemlock","Very Dry Warm","","","","BC","BC",""
"183","BGCv11","IDF","IDF_cool","IDFdc","IDFdc","Dry Cold IDF","Interior Douglas-fir","Dry Cold","","","","BC","BC",""
"184","BGCv11","IDF","IDF_cool","IDFdk","IDFdk1","Thompson Dry Cool IDF","Interior Douglas-fir","Dry Cool","Thompson","","","BC","BC",""
"185","BGCv11","IDF","IDF_cool","IDFdk","IDFdk2","Cascade Dry Cool IDF","Interior Douglas-fir","Dry Cool","Cascade","","","BC","BC",""
"186","BGCv11","IDF","IDF_cool","IDFdk","IDFdk3","Fraser Dry Cool IDF","Interior Douglas-fir","Dry Cool","Fraser","","","BC","BC",""
"187","BGCv11","IDF","IDF_cool","IDFdk","IDFdk4","Chilcotin Dry Cool IDF","Interior Douglas-fir","Dry Cool","Chilcotin","","","BC","BC",""
"188","BGCv11","IDF","IDF_cool","IDFdk","IDFdk5","Columbia Dry Cool IDF","Interior Douglas-fir","Dry Cool","Columbia","","","BC","BC",""
"189","BGCv11","ESSF","ESSF_meso","ESSFmvp","ESSFmvp","Moist Very Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Moist Very Cold Parkland","","","","BC","BC",""
"190","BGCv11","ESSF","ESSF_meso","ESSFmw","ESSFmw","Moist Warm ESSF","Engelmann Spruce  –  Subalpine Fir","Moist Warm","","","","BC","BC",""
"191","BGCv11","ESSF","ESSF_meso","ESSFmw","ESSFmw1","Cascade Moist Warm ESSF","Engelmann Spruce  –  Subalpine Fir","Moist Warm","Cascade","","","BC","BC",""
"192","BGCv11","ESSF","ESSF_meso","ESSFmw","ESSFmw2","Stein Moist Warm ESSF","Engelmann Spruce  –  Subalpine Fir","Moist Warm","Stein","","","BC","BC",""
"193","BGCv11","ESSF","ESSF_meso","ESSFmwp","ESSFmwp","Moist Warm Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Moist Warm Parkland","","","","BC","BC",""
"194","BGCv11","ESSF","ESSF_meso","ESSFmww","ESSFmww","Moist Warm Woodland ESSF","Engelmann Spruce  –  Subalpine Fir","Moist Warm Woodland","","","","BC","BC",""
"195","BGCv11","ESSF","ESSF_meso","ESSFun","ESSFun","Undifferentiated ESSF","Engelmann Spruce  –  Subalpine Fir","Undifferentiated","","","","BC","BC",""
"196","BGCv11","ESSF","ESSF_meso","ESSFunp","ESSFunp","Undifferentiated Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Undifferentiated Parkland","","","","BC","BC",""
"197","BGCv11","ESSF","ESSF_wet","ESSFvc","ESSFvc","Very Wet Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Very Wet Cold","","","","BC","BC",""
"198","BGCv11","ESSF","ESSF_wet","ESSFvcp","ESSFvcp","Very Wet Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Wet Cold Parkland","","","","BC","BC",""
"199","BGCv11","ESSF","ESSF_wet","ESSFvcw","ESSFvcw","Very Wet Cold Woodland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Wet Cold Woodland","","","","BC","BC",""
"200","BGCv11","ESSF","ESSF_wet","ESSFwc","ESSFwc2","Monashee Wet Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Cold","Monashee","","","BC","BC",""
"201","BGCv11","ESSF","ESSF_wet","ESSFwc","ESSFwc3","Cariboo Wet Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Cold","Cariboo","","","BC","BC",""
"202","BGCv11","ESSF","ESSF_wet","ESSFwc","ESSFwc4","Selkirk Wet Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Cold","Selkirk","","","BC","BC",""
"203","BGCv11","ESSF","ESSF_wet","ESSFwcp","ESSFwcp","Wet Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Cold Parkland","","","","BC","BC",""
"204","BGCv11","ESSF","ESSF_wet","ESSFwcw","ESSFwcw","Wet Cold Woodland ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Cold Woodland","","","","BC","BC",""
"205","BGCv11","ESSF","ESSF_wet","ESSFwh","ESSFwh1","Columbia Wet Hot ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Hot","Columbia","","","BC","BC",""
"206","BGCv11","ESSF","ESSF_wet","ESSFwh","ESSFwh2","St Mary Wet Hot ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Hot","St Mary","","","BC","BC",""
"207","BGCv11","ESSF","ESSF_wet","ESSFwh","ESSFwh3","Salmo Wet Hot ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Hot","Salmo","","","BC","BC",""
"208","BGCv11","ESSF","ESSF_wet","ESSFwk","ESSFwk1","Cariboo Wet Cool ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Cool","Cariboo","","","BC","BC",""
"209","BGCv11","ESSF","ESSF_wet","ESSFwk","ESSFwk2","Misinchinka Wet Cool ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Cool","Misinchinka","","","BC","BC",""
"210","BGCv11","ESSF","ESSF_wet","ESSFwm","ESSFwm1","Fernie Wet Mild ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Mild","Fernie","","","BC","BC",""
"211","BGCv11","ESSF","ESSF_wet","ESSFwm","ESSFwm2","Purcell Wet Mild ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Mild","Purcell","","","BC","BC",""
"212","BGCv11","ESSF","ESSF_wet","ESSFwm","ESSFwm3","Ymir Wet Mild ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Mild","Ymir","","","BC","BC",""
"213","BGCv11","ESSF","ESSF_wet","ESSFwm","ESSFwm4","Moyie Wet Mild ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Mild","Moyie","","","BC","BC",""
"214","BGCv11","ESSF","ESSF_wet","ESSFwmp","ESSFwmp","Wet Mild Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Mild Parkland","","","","BC","BC",""
"215","BGCv11","ESSF","ESSF_wet","ESSFwmw","ESSFwmw","Wet Mild Woodland ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Mild Woodland","","","","BC","BC",""
"216","BGCv11","ESSF","ESSF_wet","ESSFwv","ESSFwv","Wet Very Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Very Cold","","","","BC","BC",""
"217","BGCv11","ESSF","ESSF_wet","ESSFwvp","ESSFwvp","Wet Very Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Very Cold Parkland","","","","BC","BC",""
"218","BGCv11","ESSF","ESSF_dry","ESSFxc","ESSFxc1","Similkameen Very Dry Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Cold","Similkameen","","","BC","BC",""
"219","BGCv11","ESSF","ESSF_dry","ESSFxc","ESSFxc2","Thompson Very Dry Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Cold","Thompson","","","BC","BC",""
"220","BGCv11","ESSF","ESSF_dry","ESSFxc","ESSFxc3","Pavillion Very Dry Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Cold","Pavillion","","","BC","BC",""
"221","BGCv11","ESSF","ESSF_dry","ESSFxcp","ESSFxcp","Very Dry Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Cold Parkland","","","","BC","BC",""
"222","BGCv11","ESSF","ESSF_dry","ESSFxcw","ESSFxcw","Very Dry Cold Woodland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Cold Woodland","","","","BC","BC",""
"223","BGCv11","ESSF","ESSF_dry","ESSFxv","ESSFxv1","West Chilcotin Very Dry Very Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Very Cold","West Chilcotin","","","BC","BC",""
"224","BGCv11","ESSF","ESSF_dry","ESSFxv","ESSFxv2","Big Creek Very Dry Very Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Very Cold","Big Creek","","","BC","BC",""
"225","BGCv11","ESSF","ESSF_dry","ESSFxvp","ESSFxvp","Very Dry Very Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Very Cold Parkland","","","","BC","BC",""
"226","BGCv11","ESSF","ESSF_dry","ESSFxvw","ESSFxvw","Very Dry Very Cold Woodland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Very Cold Woodland","","","","BC","BC",""
"227","BGCv11","ICH","ICH_dry","ICHdk","ICHdk","Dry Cool ICH","Interior Cedar  –  Hemlock","Dry Cool","","","","BC","BC",""
"228","BGCv11","ICH","ICH_dry","ICHdm","ICHdm","Dry Mild ICH","Interior Cedar  –  Hemlock","Dry Mild","","","","BC","BC",""
"229","BGCv11","ICH","ICH_dry","ICHdw","ICHdw1","West Kootenay Dry Warm ICH","Interior Cedar  –  Hemlock","Dry Warm","West Kootenay","","","BC","BC",""
"230","BGCv11","ICH","ICH_dry","ICHdw","ICHdw3","North Thompson Dry Warm ICH","Interior Cedar  –  Hemlock","Dry Warm","North Thompson","","","BC","BC",""
"231","BGCv11","ICH","ICH_dry","ICHdw","ICHdw4","Shuswap Dry Warm ICH","Interior Cedar  –  Hemlock","Dry Warm","Shuswap","","","BC","BC",""
"232","BGCv11","ICH","ICH_meso","ICHmc","ICHmc1","Nass Moist Cold ICH","Interior Cedar  –  Hemlock","Moist Cold","Nass","","","BC","BC",""
"233","BGCv11","ICH","ICH_meso","ICHmca","ICHmc1a","Nass Moist Cold ICH","Interior Cedar  –  Hemlock","Moist Cold","Nass","","","BC","BC",""
"234","BGCv11","ICH","ICH_meso","ICHmc","ICHmc2","Hazelton Moist Cold ICH","Interior Cedar  –  Hemlock","Moist Cold","Hazelton","","","BC","BC",""
"235","BGCv11","ICH","ICH_meso","ICHmk","ICHmk1","Okanagan Moist Cool ICH","Interior Cedar  –  Hemlock","Moist Cool","Okanagan","","","BC","BC",""
"236","BGCv11","ICH","ICH_meso","ICHmk","ICHmk2","Thompson Moist Cool ICH","Interior Cedar  –  Hemlock","Moist Cool","Thompson","","","BC","BC",""
"237","BGCv11","ICH","ICH_meso","ICHmk","ICHmk3","Horsefly Moist Cool ICH","Interior Cedar  –  Hemlock","Moist Cool","Horsefly","","","BC","BC",""
"238","BGCv11","ICH","ICH_meso","ICHmk","ICHmk4","Kootenay Moist Cool ICH","Interior Cedar  –  Hemlock","Moist Cool","Kootenay","","","BC","BC",""
"239","BGCv11","ICH","ICH_meso","ICHmk","ICHmk5","Kootenay Moist Cool ICH","Interior Cedar  –  Hemlock","Moist Cool","Kootenay","","","BC","BC",""
"240","BGCv11","ICH","ICH_meso","ICHmm","ICHmm","Moist Mild ICH","Interior Cedar  –  Hemlock","Moist Mild","","","","BC","BC",""
"241","BGCv11","ICH","ICH_meso","ICHmw","ICHmw1","Kinbasket Moist Warm ICH","Interior Cedar  –  Hemlock","Moist Warm","Kinbasket","","","BC","BC",""
"242","BGCv11","ICH","ICH_meso","ICHmw","ICHmw2","Shuswap Moist Warm ICH","Interior Cedar  –  Hemlock","Moist Warm","Shuswap","","","BC","BC",""
"243","BGCv11","ICH","ICH_meso","ICHmw","ICHmw3","Thompson Moist Warm ICH","Interior Cedar  –  Hemlock","Moist Warm","Thompson","","","BC","BC",""
"244","BGCv11","ICH","ICH_meso","ICHmw","ICHmw4","Ymir Moist Warm ICH","Interior Cedar  –  Hemlock","Moist Warm","Ymir","","","BC","BC",""
"245","BGCv11","IDF","IDF_meso","IDFdm","IDFdm1","Kettle Dry Mild IDF","Interior Douglas-fir","Dry Mild","Kettle","","","BC","BC",""
"246","BGCv11","IDF","IDF_meso","IDFdm","IDFdm2","Kootenay Dry Mild IDF","Interior Douglas-fir","Dry Mild","Kootenay","","","BC","BC",""
"247","BGCv11","IDF","IDF","IDFdw","IDFdw","Dry Warm IDF","Interior Douglas-fir","Dry Warm","","","","BC","BC",""
"248","BGCv11","IDF","ICH_dry","IDFmw","IDFmw2","Thompson Moist Warm IDF","Interior Douglas-fir","Moist Warm","Thompson","","","BC","BC",""
"249","BGCv11","IDF","IDF_meso","IDFww","IDFww","Wet Warm IDF","Interior Douglas-fir","Wet Warm","","","","BC","BC",""
"250","BGCv11","IDF","IDF_hot","IDFxc","IDFxc","Very Dry Cold IDF","Interior Douglas-fir","Very Dry Cold","","","","BC","BC",""
"251","BGCv11","IDF","IDF_hot","IDFxh","IDFxh1","Okanagan Very Dry Hot IDF","Interior Douglas-fir","Very Dry Hot","Okanagan","","","BC","BC",""
"252","BGCv11","IDF","IDF_hot","IDFxh","IDFxh2","Thompson Very Dry Hot IDF","Interior Douglas-fir","Very Dry Hot","Thompson","","","BC","BC",""
"253","BGCv11","IDF","IDF_hot","IDFxk","IDFxk","Very Dry Cool IDF","Interior Douglas-fir","Very Dry Cool","","","","BC","BC",""
"254","BGCv11","IDF","IDF_hot","IDFxm","IDFxm","Very Dry Mild IDF","Interior Douglas-fir","Very Dry Mild","","","","BC","BC",""
"255","BGCv11","IDF","IDF_hot","IDFxx","IDFxx2","Kootenay Very Dry Very Hot  IDF","Interior Douglas-fir","Very Dry Very Hot ","Kootenay","","","BC","BC",""
"256","BGCv11","IMA","IMA","IMAun","IMAun","Undifferentiated IMA","Interior Mountain-heather Alpine","Undifferentiated","","","","BC","BC",""
"257","BGCv11","IMA","IMA","IMAunp","IMAunp","Undifferentiated and Parkland IMA","Interior Mountain-heather Alpine","Undifferentiated and Parkland","","","","BC","BC",""
"258","BGCv11","MH","MH_maritime","MHmm","MHmm1","Windward Moist Maritime MH","Mountain Hemlock","Moist Maritime","Windward","","","BC","BC",""
"259","BGCv11","MH","MH_submaritme","MHmm","MHmm2","Leeward Moist Maritime MH","Mountain Hemlock","Moist Maritime","Leeward","","","BC","BC",""
"260","BGCv11","MH","MH_maritime","MHmmp","MHmmp","Moist Maritime Parkland MH","Mountain Hemlock","Moist Maritime Parkland","","","","BC","BC",""
"261","BGCv11","MH","MH_submaritme","MHun","MHun","Undifferentiated MH","Mountain Hemlock","Undifferentiated","","","","BC","BC",""
"262","BGCv11","MH","MH_submaritme","MHunp","MHunp","Undifferentiated Parkland MH","Mountain Hemlock","Undifferentiated Parkland","","","","BC","BC",""
"263","BGCv11","MH","MH_maritime","MHwh","MHwh","Wet Hypermaritime MH","Mountain Hemlock","Wet Hypermaritime","","","","BC","BC",""
"264","BGCv11","MH","MH_maritime","MHwhp","MHwhp","Wet Hypermaritime Parkland MH","Mountain Hemlock","Wet Hypermaritime Parkland","","","","BC","BC",""
"265","BGCv11","MS","MS_meso","MSdc","MSdc1","Cayoosh Dry Cold MS","Montane Spruce","Dry Cold","Cayoosh","","","BC","BC",""
"266","BGCv11","MS","MS_meso","MSdc","MSdc2","Tatlayoko Dry Cold MS","Montane Spruce","Dry Cold","Tatlayoko","","","BC","BC",""
"267","BGCv11","MS","MS_meso","MSdc","MSdc3","Tyaughton Dry Cold MS","Montane Spruce","Dry Cold","Tyaughton","","","BC","BC",""
"268","BGCv11","MS","MS_meso","MSdk","MSdk","Dry Cool MS","Montane Spruce","Dry Cool","","","","BC","BC",""
"269","BGCv11","MS","MS_meso","MSdm","MSdm1","Okanagan Dry Mild MS","Montane Spruce","Dry Mild","Okanagan","","","BC","BC",""
"270","BGCv11","MS","MS_meso","MSdm","MSdm2","Cascade Dry Mild MS","Montane Spruce","Dry Mild","Cascade","","","BC","BC",""
"271","BGCv11","MS","MS_meso","MSdm","MSdm3","North Thompson Dry Mild MS","Montane Spruce","Dry Mild","North Thompson","","","BC","BC",""
"272","BGCv11","MS","MS_meso","MSdv","MSdv","Dry Very Cold MS","Montane Spruce","Dry Very Cold","","","","BC","BC",""
"273","BGCv11","BAFA","BAFA","BAFAun","BAFAun","Undifferentiated BAFA","Boreal Altai Fescue Alpine","Undifferentiated","","","","BC","BC",""
"274","BGCv11","BAFA","BAFA","BAFAunp","BAFAunp","Undifferentiated and Parkland BAFA","Boreal Altai Fescue Alpine","Undifferentiated and Parkland","","","","BC","BC",""
"275","BGCv11","BG","BG","BGxh","BGxh1","Okanagan Very Dry Hot BG","Bunchgrass","Very Dry Hot","Okanagan","","","BC","BC",""
"276","BGCv11","BG","BG","BGxh","BGxh2","Thompson Very Dry Hot BG","Bunchgrass","Very Dry Hot","Thompson","","","BC","BC",""
"277","BGCv11","BG","BG","BGxh","BGxh3","Fraser Very Dry Hot BG","Bunchgrass","Very Dry Hot","Fraser","","","BC","BC",""
"278","BGCv11","BG","BG","BGxw","BGxw1","Nicola Very Dry Warm BG","Bunchgrass","Very Dry Warm","Nicola","","","BC","BC",""
"279","BGCv11","BG","BG","BGxw","BGxw2","Alkali Very Dry Warm BG","Bunchgrass","Very Dry Warm","Alkali","","","BC","BC",""
"280","BGCv11","BWBS","BWBS_meso","BWBSdk","BWBSdk","Dry Cool BWBS","Boreal White and Black Spruce","Dry Cool","","","","BC","BC",""
"281","BGCv11","BWBS","BWBS_meso","BWBSmk","BWBSmk","Moist Cool BWBS","Boreal White and Black Spruce","Moist Cool","","","","BC","BC",""
"282","BGCv11","BWBS","BWBS_warm","BWBSmw","BWBSmw","Moist Warm BWBS","Boreal White and Black Spruce","Moist Warm","","","","BC","BC",""
"283","BGCv11","BWBS","BWBS_cold","BWBSvk","BWBSvk","Very Wet Cool BWBS","Boreal White and Black Spruce","Very Wet Cool","","","","BC","BC",""
"284","BGCv11","BWBS","BWBS_cold","BWBSwk","BWBSwk1","Murray Wet Cool BWBS","Boreal White and Black Spruce","Wet Cool","Murray","","","BC","BC",""
"285","BGCv11","BWBS","BWBS_cold","BWBSwk","BWBSwk2","Graham Wet Cool BWBS","Boreal White and Black Spruce","Wet Cool","Graham","","","BC","BC",""
"286","BGCv11","BWBS","BWBS_cold","BWBSwk","BWBSwk3","Kledo Wet Cool BWBS","Boreal White and Black Spruce","Wet Cool","Kledo","","","BC","BC",""
"287","BGCv11","CDF","CDF","CDFmm","CDFmm","Moist Maritime CDF","Coastal Douglas-fir","Moist Maritime","","","","BC","BC",""
"288","BGCv11","CMA","CMA","CMAun","CMAun","Undifferentiated CMA","Coastal Mountain-heather Alpine","Undifferentiated","","","","BC","BC",""
"289","BGCv11","CMA","CMA","CMAunp","CMAunp","Undifferentiated and Parkland CMA","Coastal Mountain-heather Alpine","Undifferentiated and Parkland","","","","BC","BC",""
"290","BGCv11","CMA","CMA","CMAwh","CMAwh","Wet Hypermaritime CMA","Coastal Mountain-heather Alpine","Wet Hypermaritime","","","","BC","BC",""
"291","BGCv11","CWH","CWH_hypermaritime","CWHvh","CWHvh3","Haida Gwaii Very Wet Hypermaritime CWH","Coastal Western Hemlock","Very Wet Hypermaritime","Haida Gwaii","","","BC","BC",""
"292","BGCv11","CWH","CWH_meso","CWHwh","CWHwh1","Submontane Wet Hypermaritime CWH","Coastal Western Hemlock","Wet Hypermaritime","Submontane","","","BC","BC",""
"293","BGCv11","CWH","CWH_hypermaritime","CWHwh","CWHwh2","Montane Wet Hypermaritime CWH","Coastal Western Hemlock","Wet Hypermaritime","Montane","","","BC","BC",""
"294","BGCv11","ESSF","ESSF_dry","ESSFdc","ESSFdc1","Okanagan Dry Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Dry Cold","Okanagan","","","BC","BC",""
"295","BGCv11","ESSF","ESSF_dry","ESSFdc","ESSFdc2","Cascade Dry Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Dry Cold","Cascade","","","BC","BC",""
"296","BGCv11","ESSF","ESSF_dry","ESSFdc","ESSFdc3","North Thompson Dry Cold ESSF","Engelmann Spruce  –  Subalpine Fir","Dry Cold","North Thompson","","","BC","BC",""
"297","BGCv11","ESSF","ESSF_dry","ESSFdcp","ESSFdcp","Dry Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Dry Cold Parkland","","","","BC","BC",""
"298","BGCv11","ESSF","ESSF_dry","ESSFdcw","ESSFdcw","Dry Cold Woodland ESSF","Engelmann Spruce  –  Subalpine Fir","Dry Cold Woodland","","","","BC","BC",""
"299","BGCv11","ESSF","ESSF_dry","ESSFdk","ESSFdk1","Elk Dry Cool ESSF","Engelmann Spruce  –  Subalpine Fir","Dry Cool","Elk","","","BC","BC",""
