BGCv12(2021),BGCv9(2014),CHANGED = FALSE,Historic Mgmt (if different),Interim Mgmt (if no field guide),Field Guide Source (newest; official),New Field Guide,BGC Introduced Date,BGC Retired Date,Appraisal year
ICHvk2,ICHvk2,TRUE,,,LMH 51,,,,
ICHwc,ICHwc,TRUE,,,LMH 26,,,,
ICHwk1,ICHwk1,TRUE,,,LMH 20 (NEL) LMH 23 (KAM),,,,
ICHwk2,ICHwk2,TRUE,,,LMH 39,,,,
ICHwk3,ICHwk3,TRUE,,,LMH 39,,,,
ICHwk4,ICHwk4,TRUE,,,LMH 39,,,,
ICHxm1,IDFmw1,FALSE,IDFmw1,,LMH 75,2021,2021,,
ICHxw,ICHxw,TRUE,ICHxw/ICHdw ,,LMH 70,2016,1990s,,
ICHxwa,IDFun,FALSE,ICHxw/ICHdw ,,LMH 70,2016,2016,,
IDFdc,IDFdc,TRUE,,IDF dk 2,LMH 23 (as IDFdk2),,2006,,
IDFdh,IDFxh4,FALSE,IDFxh4,,LMH 75,2021,2003,,
IDFdk1,IDFdk1,TRUE,,,LMH76,2021,1990s,,
IDFdk2,IDFdk2,TRUE,,,LMH76,2021,1990s,,
IDFdk3,IDFdk3,TRUE,,,LMH 39,,,,
IDFdk4,IDFdk4,TRUE,,,LMH 39,,,,
IDFdk5,IDFdk5,TRUE,IDFdm2,,LMH 71,2018,2007,,
IDFdm1,IDFdm1,TRUE,,,LMH 75,2021,1990s,,
IDFdm2,IDFdm2,TRUE,,,LMH 71,2018,1990s,,
IDFdw,IDFdw,TRUE,,,LMH 39,,,,
IDFmw2,IDFmw2,TRUE,,,LMH 23,,,,
IDFww,IDFww,TRUE,,,LMH 28,,,,
IDFww1,IDFww1,TRUE,,IDF ww,LMH 28 (as IDFww),,2006,,
IDFww2,IDFww2,TRUE,,IDF ww,LMH 28 (as IDFww),,2006,,
IDFxc,IDFxc,TRUE,,IDF xh 2,LMH23 (as IDFxh2),,2006,,
IDFxh1,IDFxh1,TRUE,,,LMH76,2021,,,
IDFxh2,IDFxh2,TRUE,,,LMH76,2021,,,
IDFxk,IDFxk,TRUE,IDFun,,LMH 71,2018,2007,,
IDFxm,IDFxm,TRUE,,,LMH 39 (and sup 3),,,,
IDFxw,IDFxw,TRUE,,,LMH 39,,,,
IDFxx1,PPxh3,FALSE,PPdh1,,LMH 75,2021,1990s,,
IDFxx2,PPdh2,FALSE,PPdh2,,LMH 71,2018,2018,,
IMAun,IMAun,TRUE,AT,,NBEC - See TR068,,,,
MHmm1,MHmm1,TRUE,,,LMH 28,,,,
MHmm2,MHmm2,TRUE,,,LMH 28,,,,
MHmmp,MHmmp,TRUE,,,LMH 28,,,,
MHun,MHun,TRUE,,,contact regional ecologist,,,,
MHunp,MHunp,TRUE,,,LMH 28,,,,
MHwh,MHwh,TRUE,,,LMH 68,2014,2014,,
MHwh1,MHwh1,TRUE,,,LMH 28 (as MHwh),,,,
MHwhp,MHwhp,TRUE,,,LMH 68,2014,2014,,
MSdc1,MSdc1,TRUE,,MS  dc,LMH 23 (as MSdc),,2008,,
MSdc2,MSdc2,TRUE,MS  dc,,LMH 39,,2008,,
MSdc3,MSdc3,TRUE,,MS  dc,LMH 23 (as MSdc),,2008,,
MSdk,MSdk,TRUE,MS  dk,,LMH 71,2018,2018,,
MSdm1,MSdm1,TRUE,,,LMH 75,2021,1990s,,
MSdm2,MSdm2,TRUE,,,LMH76,2021,1990s,,
MSdm3,MSdm2,FALSE,,MS  dm 2,LMH 23 (as MSdm2),,2006,,
MSdv,MSdv,TRUE,,,LMH 39,,,,
MSdw,MSdk1,FALSE,MS  dk,,LMH 71,2018,2018,,
MSxk1,MSxk1,TRUE,,MSxk,LMH76,2021,2006,,
MSxk2,MSxk2,TRUE,,MSxk,LMH76,2021,2006,,
MSxk3,MSxk3,TRUE,,MSxk,LMH 23 (KAM) LMH 39 (CAR) as MSxk,,2006,,
MSxv,MSxv,TRUE,,,LMH 39,,,,
PPxh1,PPxh1,TRUE,,,LMH76,2021,1990s,,
PPxh2,PPxh2,TRUE,,,LMH76,2021,1990s,,
SBPSdc,SBPSdc,TRUE,,,LMH 39,,,,
SBPSmc,SBPSmc,TRUE,,,LMH 24 (PG) LMH 26 (PR) LMH 39 (CAR),,,,
SBPSmk,SBPSmk,TRUE,,,LMH 39,,,,
SBPSxc,SBPSxc,TRUE,,,LMH 39,,,,
SBSdh1,SBSdh1,TRUE,,SBS dh,Draft guide (2007) as SBSdh; available at https://www.for.gov.bc.ca/hre/becweb/Downloads/Downloads_SubzoneReports/SBSdh1.pdf,,2008,,
SBSdh2,SBSdh2,TRUE,,SBS dh,Draft guide (2007) as SBSdh (see SBSdh1),,2008,,
SBSdk,SBSdk,TRUE,,,LMH 24 (PG) LMH 26 (PR) ,,,,
SBSdw1,SBSdw1,TRUE,,,LMH 39 (CAR) LMH 51 (PG),,,,
SBSdw2,SBSdw2,TRUE,,,LMH 24 (PG)  LMH 39 (CAR),,,,
SBSdw3,SBSdw3,TRUE,,,LMH 24,,,,
SBSmc1,SBSmc1,TRUE,,,LMH 39,,,,
SBSmc2,SBSmc2,TRUE,,,LMH 24 (PG) LMH 26 (PR) LMH 39 (CAR),,,,
SBSmc3,SBSmc3,TRUE,,,LMH 24,,,,
SBSmh,SBSmh,TRUE,,,LMH 39 (CAR) LMH 51 (PG),,,,
SBSmk1,SBSmk1,TRUE,,,LMH 24,,,,
SBSmk2,SBSmk2,TRUE,,,LMH 54,,,,
SBSmm,SBSmm,TRUE,,,LMH 23,,,,
SBSmw,SBSmw,TRUE,,,LMH 39 (sup 2) LMH 51 (PG),,,,
SBSun,SBSmc2,FALSE,,SBS mc 2,LMH 26 (as SBSmc2),,2018,,
SBSvk,SBSvk,TRUE,,,LMH 51,,,,
SBSwk1,SBSwk1,TRUE,,,LMH 39 (CAR) LMH 51 (PG),,,,
SBSwk2,SBSwk2,TRUE,,,LMH 54,,,,
SBSwk3,SBSwk3,TRUE,,,LMH 54,,,,
SWBmk,SWBmk,TRUE,,,LMH 54,,,,
SWBmks,SWBmks,TRUE,,SWB mk,LMH 54 (as SWBmk),,2003,,
SWBvk,SWBvk,TRUE,,,LMH 26,,,,
SWBvks,SWBvks,TRUE,,SWB vk,LMH 26 (as SWBvk),,2003,,
,PPxh3,FALSE,PPdh1,,,,2007,2021,
,CWHvm3,FALSE,CWHvm3,CWHvm2,LMH 28 (as CWHvm2),,,2016,
,MHwh2,FALSE,,,,,,2014,
,MSmw1,FALSE,ESSFmw,,,,2006,2021,
,MSmw2,FALSE,ESSFmw,,,,2006,2021,
,IDFxh4,FALSE,IDFxh4,,LMH 25 Supplement 1 (2005),,,2021,
,IDFmw1,FALSE,IDFmw1,,,,,2021,
,MSmw1,FALSE,ESSFwm,,,,2006,,
,ICHdw2,FALSE,ICHdw2,,LMH 25 Supplement 1 (2005),,,2016,
,IDFun,FALSE,,,,,,2016,
