"","SS_NoSpace","SiteSeriesLongName","SpecialCode","Special"
"54","BWBSmk/Wf18","Lt – Buckbean – Shore sedge","",""
"55","BWBSmk/Ws15","SwSb – Labrador tea – Glow moss","",""
"56","BWBSmw/101","Sw – Trailing raspberry – Step moss","",""
"57","BWBSmw/102","Pl – Kinnikinnick – Lingonberry","",""
"58","BWBSmw/103","SwPl – Soopolallie – Fuzzy-spiked wildrye","IN","insolation"
"59","BWBSmw/104","Sb – Labrador tea – Step moss","CA","cold aspects - cold air"
"60","BWBSmw/110","Sw – Oak fern – Sarsaparilla","",""
"61","BWBSmw/111","Sw – Currant – Horsetail","Fh","high fluvial bench"
"62","BWBSmw/112","AcbSw – Mountain alder – Dogwood","Fm","mid fluvial bench"
"63","BWBSmw/Fm20","Balsam Poplar – Spruce – Mountain alder – Dogwood","Fm","mid fluvial bench"
"64","BWBSmw/Wb01","Sb – Creeping-snowberry – Sphagnum","",""
"65","BWBSmw/Wb03","Sb – Lingonberry – Peat moss","",""
"66","BWBSmw/Wb05","Sb – Water sedge – Peat moss","",""
"67","BWBSmw/Wb06","Lt – Water sedge – Fen moss","",""
"68","BWBSmw/Wb09","Sb – Common horsetail – Peat moss","",""
"69","BWBSmw/Wf18","Lt – Buckbean – Shore sedge","",""
"70","BWBSmw/Ws15","SwSb – Labrador tea – Glow moss","",""
"71","BWBSwk1/101","SwBl – Huckleberry – Feathermoss","",""
"72","BWBSwk1/102","Pl – Lingonberry – Reindeer lichen","",""
"73","BWBSwk1/103","SwPl – Soopollalie – Showy aster","IN","insolation"
"74","BWBSwk1/104","Sb – Huckleberry – Lingonberry","CA","cold aspects - cold air"
"75","BWBSwk1/110","Sw – Currant – Horsetail","",""
"76","BWBSwk1/111","Sb – Horsetail – Step moss","CA","cold aspects - cold air"
"77","BWBSwk1/Wb06","Lt – Water sedge – Fen moss","",""
"78","BWBSwk1/Wb09","Sb – Common horsetail – Peat moss","",""
"79","BWBSwk2/101","SwBl – Huckleberry – Feathermoss","",""
"80","BWBSwk2/102","Pl – Lingonberry – Reindeer lichen","",""
"81","BWBSwk2/103","SwPl – Soopolallie – Fuzzy-spiked wildrye","IN","insolation"
"82","BWBSwk2/104","Sb – Huckleberry – Lingonberry","CA","cold aspects - cold air"
"83","BWBSwk2/110","Sw – Currant – Bluebells","",""
"84","BWBSwk2/111","Sw – Currant – Horsetail","Fh","high fluvial bench"
"85","BWBSwk3/101","SwBl – Huckleberry – Feathermoss","",""
"86","BWBSwk3/102","Pl – Crowberry – Lingonberry","",""
"87","BWBSwk3/103","Sb – Huckleberry – Lingonberry","CA","cold aspects - cold air"
"88","BWBSwk3/110","Sw – Currant – Horsetail","",""
"89","BWBSwk3/111","Sb – Horsetail – Step moss","",""
"90","CDFmm/101","Fdc – Salal – Dull Oregon-grape","",""
"91","CDFmm/102","FdcRa – Heron's-bill mosses – Rock mosses","",""
"92","CDFmm/102.1","FdcRa – Heron's-bill mosses – Rock mosses; Typic variation","",""
"93","CDFmm/102.2","FdcRa – Heron's-bill mosses – Rock mosses; Selaginella variation","",""
"94","CDFmm/104","FdcRa – Salal","",""
"95","CDFmm/105","FdcRa – Oceanspray – Oniongrass","",""
"96","CDFmm/110","CwFdc – Dull Oregon-grape – Sword fern","",""
"97","CDFmm/111","FdcHw – Red huckleberry – Salal","",""
"98","CDFmm/112","CwBg – Sword fern – Foamflower","",""
"99","CDFmm/112a","CwBg – Sword fern – Foamflower; Typic phase","",""
"100","CDFmm/112b","CwBg – Sword fern – Foamflower; Fluctuating water table phase","FWT","fluctuating water table"
"101","CDFmm/Fm53","ActDr – Salmonberry – Lily-of-the-Valley","Fm","mid fluvial bench"
"102","CDFmm/Fm54","MbDr – Salmonberry – Sword fern","Fm","mid fluvial bench"
"103","CDFmm/Wb55","Plc – Labrador tea – Peat mosses","",""
"104","CDFmm/Wb55.1","Plc – Labrador tea – Peat mosses; Typic variation","",""
"105","CDFmm/Wb55.2","Plc – Labrador tea – Peat mosses; Bog blueberry variation","",""
"106","CDFmm/Wb56","PlcHw – Salal – Peat mosses","",""
"107","CDFmm/Ws53","Cw – Osoberry – Skunk cabbage","",""
"108","CDFmm/Ws57","CwHw – Skunk cabbage","",""
"109","CDFmm/Ws58","CwHw – Slough sedge","",""
"110","CDFmm/Ws58.1","CwHw – Slough sedge; Typic variation","",""
"111","CDFmm/Ws60","Ss – Crabapple – Slough sedge","SS","salt spray"
"112","CWHdm1/101","FdcHw – Red huckleberry – Salal","",""
"113","CWHdm1/101a","FdcHw – Red Huckleberry – Salal; Typic phase","",""
"114","CWHdm1/101b","FdcHw – Red huckleberry – Salal; Poor phase","",""
"115","CWHdm1/102","FdcRa – Heron's-bill mosses – Rock mosses","",""
"116","CWHdm1/103","FdcHw – Salal – Step moss","",""
"117","CWHdm1/104","FdCw – Dull Oregon-grape – Baldhip rose","",""
"118","CWHdm1/110","FdcHwCw – Sword fern","",""
"119","CWHdm1/111","CwHw – Deer fern – Sword fern","",""
"120","CWHdm1/112","HwCw – Sword fern – Vanilla-leaf","",""
"121","CWHdm1/112a","HwCw – Sword fern – Vanilla-leaf; Typic phase","",""
"122","CWHdm1/112b","HwCw – Sword fern – Vanilla-leaf; Fluctuating water table phase","FWT","fluctuating water table"
"123","CWHdm1/113","HwCw – Salmonberry – Sword fern","Fh","high fluvial bench"
"124","CWHdm1/Fm53","ActDr – Salmonberry – Lily-of-the-Valley","Fm","mid fluvial bench"
"125","CWHdm1/Fm54","MbDr – Salmonberry – Sword fern","Fm","mid fluvial bench"
"126","CWHdm1/Wb55","Plc – Labrador tea – Peat mosses","",""
"127","CWHdm1/Wb55.1","Plc – Labrador tea – Peat mosses; Typic variation","",""
"128","CWHdm1/Wb56","PlcHw – Salal – Peat mosses","",""
"129","CWHdm1/Ws56","SsHw – Skunk cabbage","",""
"130","CWHdm1/Ws56.1","SsHw – Skunk cabbage; CwHw variation","",""
"131","CWHdm1/Ws57","CwHw – Skunk cabbage","",""
"132","CWHdm1/Ws58","CwHw – Slough sedge","",""
"133","CWHdm1/Ws58.1","CwHw – Slough sedge; Typic variation","",""
"134","CWHdm1/Ws60","Ss – Crabapple – Slough sedge","SS","salt spray"
"135","CWHdm2/101","FdcHw – Red huckleberry – Salal","",""
"136","CWHdm2/101a","FdcHw – Red huckleberry – Salal; Typic phase","",""
"137","CWHdm2/101b","FdcHw – Red huckleberry – Salal; Poor phase","",""
"138","CWHdm2/102","PlcFdc – Rock mosses – Clad lichens","",""
"139","CWHdm2/103","FdcPlc – Salal – Step moss","",""
"140","CWHdm2/104","FdcHw – Salal – Step moss","",""
"141","CWHdm2/105","FdcHwCw – Sword fern","",""
"142","CWHdm2/110","HwFdc – Sword fern – Vanilla-leaf","",""
"143","CWHdm2/111","CwHw – Salal – Deer fern","",""
"144","CWHdm2/112","HwCw – Sword fern – Vanilla-leaf","",""
"145","CWHdm2/112.1","HwCw – Sword fern – Vanilla-leaf; Salmonberry variation","",""
"146","CWHdm2/112.2","HwCw – Sword fern – Vanilla-leaf; Devil's club variation","",""
"147","CWHdm2/113","HwCw – Salmonberry – Sword fern","Fh","high fluvial bench"
"148","CWHdm2/Fm53","ActDr – Salmonberry – Lily-of-the-Valley","Fm","mid fluvial bench"
"149","CWHdm2/Fm54","MbDr – Salmonberry – Sword fern","Fm","mid fluvial bench"
"150","CWHdm2/Wb55","Plc – Labrador tea – Peat mosses","",""
"151","CWHdm2/Wb55.1","Plc – Labrador tea – Peat mosses; Typic variation","",""
"152","CWHdm2/Wb56","PlcHw – Salal – Peat mosses","",""
"153","CWHdm2/Ws56","SsHw – Skunk cabbage","",""
"154","CWHdm2/Ws56.1","SsHw – Skunk cabbage; CwHw variation","",""
"155","CWHdm2/Ws57","CwHw – Skunk cabbage","",""
"156","CWHdm2/Ws58","CwHw – Slough sedge","",""
"157","CWHdm2/Ws58.1","CwHw – Slough sedge; Typic variation","",""
"158","CWHdm3/101","FdcHw – Red huckleberry – Salal","",""
"159","CWHdm3/102","PlcFdc – Rock mosses – Clad lichens","",""
"160","CWHdm3/103","FdcHw – Salal – Step moss","",""
"161","CWHdm3/104","FdcCw – Vine maple – Sword fern","",""
"162","CWHdm3/110","FdcHwCw – Sword fern","",""
"163","CWHdm3/111","CwFdc – Deer fern – Sword fern","",""
"164","CWHdm3/112","HwCw – Vine maple – Sword fern","",""
"165","CWHdm3/113","SsCw – Salmonberry – Vine maple","Fh","high fluvial bench"
"166","CWHdm3/Fm53","ActDr – Salmonberry – Lily-of-the-Valley","Fm","mid fluvial bench"
"167","CWHdm3/Wb55","Plc – Labrador tea – Peat mosses","",""
"168","CWHdm3/Wb55.1","Plc – Labrador tea – Peat mosses; Typic variation","",""
"169","CWHdm3/Wb55.2","Plc – Labrador tea – Peat mosses; Bog blueberry variation","",""
"170","CWHdm3/Wb56","PlcHw – Salal – Peat mosses","",""
"171","CWHdm3/Ws56","SsHw – Skunk cabbage","",""
"172","CWHdm3/Ws56.1","SsHw – Skunk cabbage; CwHw variation","",""
"173","CWHdm3/Ws58","CwHw – Slough sedge","",""
"174","CWHdm3/Ws58.1","CwHw – Slough sedge; Typic variation","",""
"175","CWHds1/101","HwFdc – Prince's pine – Step moss","",""
"176","CWHds1/101a","HwFdc – Prince's pine – Step moss; Typic phase","",""
"177","CWHds1/101b","HwFdc – Prince's pine – Step moss; Subxeric phase","",""
"178","CWHds1/102","FdcPl – Rock mosses","",""
"179","CWHds1/103","Fdc – Orange honeysuckle – Tall Oregon-grape","IN","insolation"
"180","CWHds1/104","Fdc – Orange honeysuckle – Cat's-tail moss","IN","insolation"
"181","CWHds1/110","CwFdc – Sword fern – Foamflower","",""
"182","CWHds1/111","Hw – Queen's cup","",""
"183","CWHds1/112","CwFdc – Devil's club – Sword fern","",""
"184","CWHds1/113","CwSs – Devil's club – Lady fern","Fh","high fluvial bench"
"185","CWHds1/Fm50","ActDr – Salmonberry","Fm","mid fluvial bench"
"186","CWHds1/Fm50.1","ActDr – Salmonberry; Salmonberry variation","Fm","mid fluvial bench"
"187","CWHds1/Fm50.2","ActDr – Salmonberry; Devil's club variation","Fm","mid fluvial bench"
"188","CWHds1/Fm53","ActDr – Salmonberry – Lily-of-the-Valley","Fm","mid fluvial bench"
"189","CWHds1/Wb51","Plc – Crowberry – Peat mosses","",""
"190","CWHds1/Ws56","SsHw – Skunk cabbage","",""
"191","CWHds1/Ws56.1","SsHw – Skunk cabbage; CwHw variation","",""
"192","CWHds2/101","HwFdc – Prince's pine – Step moss","",""
"193","CWHds2/102","FdcPlHw – Kinnikinnick","",""
"194","CWHds2/103","HwFdc – Twinflower – Cat's-tail moss","",""
"195","CWHds2/104","FdcCw – Douglas' maple – Cat's-tail moss","IN","insolation"
"196","CWHds2/110","HwCwFdc – Oak fern","",""
"197","CWHds2/111","Hw – Queen's cup","",""
"198","CWHds2/112","SsCw – Devil's club","",""
"199","CWHds2/113","CwSs – Devil's club – Lady fern","Fh","high fluvial bench"
"200","CWHds2/Fm50","ActDr – Salmonberry","Fm","mid fluvial bench"
"201","CWHds2/Fm50.1","ActDr – Salmonberry; Salmonberry variation","Fm","mid fluvial bench"
"202","CWHds2/Fm50.2","ActDr – Salmonberry; Devil's club variation","Fm","mid fluvial bench"
"203","CWHds2/Wb51","Plc – Crowberry – Peat mosses","",""
"204","CWHds2/Ws56","SsHw – Skunk cabbage","",""
"205","CWHds2/Ws56.2","SsHw – Skunk cabbage; CwSs variation","",""
"206","CWHmm1/101","HwBa – Blueberry – Pipecleaner moss","",""
"207","CWHmm1/101a","HwBa – Blueberry – Pipecleaner moss; Typic phase","",""
"208","CWHmm1/101b","HwBa – Blueberry – Pipecleaner moss; Poor phase","",""
"209","CWHmm1/102","FdcPlc – Salal – Rock mosses","",""
"210","CWHmm1/103","FdcHw – Salal – Prince's pine","",""
"211","CWHmm1/104","HwFdc – Vanilla-leaf – Twinflower","",""
"212","CWHmm1/110","HwFdc – Sword fern – Vanilla-leaf","",""
"213","CWHmm1/111","HwBa – Blueberry – Deer fern","",""
"214","CWHmm1/112","HwCw – Devil's club – Vanilla-leaf","",""
"215","CWHmm1/113","HwCw – Salmonberry – Sword fern","Fh","high fluvial bench"
"216","CWHmm1/Fm50","ActDr – Salmonberry","Fm","mid fluvial bench"
"217","CWHmm1/Fm50.1","ActDr – Salmonberry; Salmonberry variation","Fm","mid fluvial bench"
"218","CWHmm1/Fm50.2","ActDr – Salmonberry; Devil's club variation","Fm","mid fluvial bench"
"219","CWHmm1/Wb51","Plc – Crowberry – Peat mosses","",""
"220","CWHmm1/Wb55","Plc – Labrador tea – Peat mosses","",""
"221","CWHmm1/Wb55.1","Plc – Labrador tea – Peat mosses; Typic variation","",""
"222","CWHmm1/Ws54","CwHw – Azalea – Skunk cabbage","",""
"223","CWHmm1/Ws54.1","CwHw – Azalea – Skunk cabbage; Typic variation","",""
"224","CWHmm1/Ws56","SsHw – Skunk cabbage","",""
"225","CWHmm1/Ws56.1","SsHw – Skunk cabbage; CwHw variation","",""
"226","CWHmm2/101","HwBa – Blueberry – Pipecleaner moss","",""
"227","CWHmm2/101a","HwBa – Blueberry – Pipecleaner moss; Typic phase","",""
"228","CWHmm2/101b","HwBa – Blueberry – Pipecleaner moss; Poor phase","",""
"229","CWHmm2/102","HwFdc – Salal – Rock mosses","",""
"230","CWHmm2/103","FdcHwYc – Salal – Prince's pine","",""
"231","CWHmm2/110","HwBa – Blueberry – Vanilla-leaf","",""
"232","CWHmm2/111","HmBaYc – Deer fern – Lanky moss","",""
"233","CWHmm2/112","HwBa – Blueberry – Foamflower","",""
"234","CWHmm2/113","BaHw – Devil's club – Lady fern","",""
"235","CWHmm2/Wb51","Plc – Crowberry – Peat mosses","",""
"236","CWHmm2/Wb57","PlcYc – Deer cabbage – Peat mosses","",""
"237","CWHmm2/Ws55","YcHm – Skunk cabbage","",""
"238","CWHmm2/Ws58","CwHw – Slough sedge","",""
"239","CWHmm2/Ws58.1","CwHw – Slough sedge; Typic variation","",""
"240","CWHms3/101","HwBa – Blueberry – Queen's cup","",""
"241","CWHms3/102","FdcPlHw – Feather moss – Rock mosses","",""
"242","CWHms3/103","HwFdc – Huckleberry – Falsebox","",""
"243","CWHms3/104","HwFdc – Falsebox – Twinflower","IN","insolation"
"244","CWHms3/110","CwFdc – Sword fern – Foamflower","",""
"245","CWHms3/111","HwBa – Azalea – Queen's cup","",""
"246","CWHms3/112","BaHw – Devil's club – Oak fern","",""
"247","CWHms3/113","BaHw – Salmonberry – Devil's club","Fh","high fluvial bench"
"248","CWHms3/Fm50","ActDr – Salmonberry","Fm","mid fluvial bench"
"249","CWHms3/Fm50.1","ActDr – Salmonberry; Salmonberry variation","Fm","mid fluvial bench"
"250","CWHms3/Wb51","Plc – Crowberry – Peat mosses","",""
"251","CWHms3/Ws56","SsHw – Skunk cabbage","",""
"252","CWHms3/Ws56.1","SsHw – Skunk cabbage; CwHw variation","",""
"253","CWHms4/101","HwBa – Blueberry – Queen's cup","",""
"254","CWHms4/102","HwPl – Feather moss – Clad lichens","",""
"255","CWHms4/103","HwFdcBa – Blueberry","",""
"256","CWHms4/104","FdcHw – Falsebox – Twinflower","IN","insolation"
"257","CWHms4/105","HwFdc – Blueberry – Falsebox","IN","insolation"
"258","CWHms4/110","HwBa – Foamflower","",""
"259","CWHms4/111","HwBa – Azalea – Queen's cup","",""
"260","CWHms4/112","HwBa – Devil's club – Oak fern","",""
"261","CWHms4/Wb51","Plc – Crowberry – Peat mosses","",""
"262","CWHms4/Ws55","YcHm – Skunk cabbage","",""
"263","CWHms5/101","HwBa – Blueberry – Queen's cup","",""
"264","CWHms5/101.1","HwBa – Blueberry – Queen's cup; Typic variation","",""
"265","CWHms5/101.2","HwBa – Blueberry – Queen's cup; Fd variation","",""
"266","CWHms5/102","FdcPlHw – Kinnikinnick","",""
"267","CWHms5/103","HwFdc – Huckleberry – Falsebox","",""
"268","CWHms5/103.1","HwFdc – Huckleberry – Falsebox; Typic variation","",""
"269","CWHms5/103.2","HwFdc – Huckleberry – Falsebox; Rhododendron variation","",""
"270","CWHms5/110","BaCwFdc – Foamflower","",""
"271","CWHms5/111","HwCw – Azalea – Queen's cup","",""
"272","CWHms5/112","CwHw – Devil's club – Lady fern","",""
"273","CWHms5/113","CwSs – Devil's club – Lady fern","Fh","high fluvial bench"
"274","CWHms5/Fm50","ActDr – Salmonberry","Fm","mid fluvial bench"
"275","CWHms5/Fm50.1","ActDr – Salmonberry; Salmonberry variation","Fm","mid fluvial bench"
"276","CWHms5/Fm50.2","ActDr – Salmonberry; Devil's club variation","Fm","mid fluvial bench"
"277","CWHms5/Wb51","Plc – Crowberry – Peat mosses","",""
"278","CWHms5/Ws56","SsHw – Skunk cabbage","",""
"279","CWHms5/Ws56.1","SsHw – Skunk cabbage; CwHw variation","",""
"280","CWHvh1/101","CwHw – Salal – Deer fern","",""
"281","CWHvh1/102","PlcYc – Salal – Reindeer lichens","",""
"282","CWHvh1/103","CwHw – Salal – Evergreen huckleberry","",""
"283","CWHvh1/104","HwBa – Deer fern – Oregon beaked moss","",""
"284","CWHvh1/105","HwBa – Deer fern – Sword fern","",""
"285","CWHvh1/110","HwBa – Salmonberry – Foamflower","",""
"286","CWHvh1/111","SsHw – Salmonberry – Lily-of-the-valley","Fh","high fluvial bench"
"287","CWHvh1/112","CwYc – Salal – Deer fern – Peat mosses","",""
"288","CWHvh1/120","Ss – Salal – Beaked mosses","SS","salt spray"
"289","CWHvh1/120.1","Ss – Salal – Beaked mosses; Salal variation","SS","salt spray"
"290","CWHvh1/120.2","Ss – Salal – Beaked mosses; Reedgrass variation","SS","salt spray"
"291","CWHvh1/121","Ss – Salmonberry – Sword fern","SS","salt spray"
"292","CWHvh1/Fm54","MbDr – Salmonberry – Sword fern","Fm","mid fluvial bench"
"293","CWHvh1/Wb51","Plc – Crowberry – Peat mosses","",""
"294","CWHvh1/Wb53","PlcYc – Tufted clubrush","",""
"295","CWHvh1/Wb53.2","PlcYc – Tufted clubrush; Tall shrub variation","",""
"296","CWHvh1/Wb53.3","PlcYc – Tufted clubrush; Low shrub variation","",""
"297","CWHvh1/Ws54","CwHw – Azalea – Skunk cabbage","",""
"298","CWHvh1/Ws54.1","CwHw – Azalea – Skunk cabbage; Typic variation","",""
"299","CWHvh1/Ws56","SsHw – Skunk cabbage","",""
"300","CWHvh1/Ws56.2","SsHw – Skunk cabbage; CwSs variation","",""
"301","CWHvh1/Ws58","CwHw – Slough sedge","",""
"302","CWHvh1/Ws58.1","CwHw – Slough sedge; Typic variation","",""
"303","CWHvh1/Ws60","Ss – Crabapple – Slough sedge","SS","salt spray"
"304","CWHvh2/101","CwHw – Salal – Deer fern","",""
"305","CWHvh2/102","PlcYc – Salal – Crowberry","",""
"306","CWHvh2/103","CwHw – Salal – Labrador tea","",""
"307","CWHvh2/104","HwBa – Deer fern – Lanky moss","",""
"308","CWHvh2/105","HwBa – Deer fern – Sword fern","",""
"309","CWHvh2/110","HwBa – Deer fern – Foamflower","",""
"310","CWHvh2/111","BaHwSs – Devil's club – Salmonberry","",""
"311","CWHvh2/112","SsHw – Salmonberry – Lily-of-the-valley","Fh","high fluvial bench"
"312","CWHvh2/113","CwYc – Salal – Deer fern – Peat mosses","",""
"313","CWHvh2/120","Ss – Salal – Beaked mosses","",""
"314","CWHvh2/120.1","Ss – Salal – Beaked mosses; Salal variation","SS","salt spray"
"315","CWHvh2/120.2","Ss – Salal – Beaked mosses; Reedgrass variation","SS","salt spray"
"316","CWHvh2/Fm54","MbDr – Salmonberry – Sword fern","Fm","mid fluvial bench"
"317","CWHvh2/Wb51","Plc – Crowberry – Peat mosses","",""
"318","CWHvh2/Wb53","PlcYc – Tufted clubrush","",""
"319","CWHvh2/Wb53.2","PlcYc – Tufted clubrush; Tall shrub variation","",""
"320","CWHvh2/Wb53.3","PlcYc – Tufted clubrush; Low shrub variation","",""
"321","CWHvh2/Wb57","PlcYc – Deer cabbage – Peat mosses","",""
"322","CWHvh2/Ws54","CwHw – Azalea – Skunk cabbage","",""
"323","CWHvh2/Ws54.1","CwHw – Azalea – Skunk cabbage; Typic variation","",""
"324","CWHvh2/Ws54.2","CwHw – Azalea – Skunk cabbage; Yc variation","",""
"325","CWHvh2/Ws55","YcHm – Skunk cabbage","",""
"326","CWHvh2/Ws56","SsHw – Skunk cabbage","",""
"327","CWHvh2/Ws56.2","SsHw – Skunk cabbage; CwSs variation","",""
"328","CWHvh2/Ws56.3","SsHw – Skunk cabbage; HwSs variation","",""
"329","CWHvh2/Ws58","CwHw – Slough sedge","",""
"330","CWHvh2/Ws58.1","CwHw – Slough sedge; Typic variation","",""
"331","CWHvh2/Ws58.2","CwHw – Slough sedge; Yc variation","",""
"332","CWHvh2/Ws60","Ss – Crabapple – Slough sedge","SS","salt spray"
"333","CWHvh3/101","CwHw – Salal  – Deer fern","",""
"334","CWHvh3/101a","CwHw – Salal  – Deer fern; Mineral phase","",""
"335","CWHvh3/101b","CwHw – Salal  – Deer fern; Lithic phase","",""
"336","CWHvh3/101c","CwHw – Salal  – Deer fern; Peaty phase","",""
"337","CWHvh3/102","PlcYc – Crowberry – Rock moss","",""
"338","CWHvh3/103","Ss – Salal","SS","salt spray"
"339","CWHvh3/103.1","Ss – Salal; typic variation","SS","salt spray"
"340","CWHvh3/103.2","Ss – Salal; reedgrass variation","SS","salt spray"
"341","CWHvh3/104","SsHw – Oregon beaked moss","SS","salt spray"
"342","CWHvh3/105","HwSs – Lanky moss","",""
"343","CWHvh3/105a","HwSs – Lanky moss; Mineral phase","",""
"344","CWHvh3/105b","HwSs – Lanky moss; Lithic phase","",""
"345","CWHvh3/106","CwSs – Sword fern","",""
"346","CWHvh3/106a","CwSs – Sword fern; Mineral phase","",""
"347","CWHvh3/106b","CwSs – Sword fern; Lithic phase","",""
"348","CWHvh3/106c","CwSs – Sword fern; Limestone phase","",""
"349","CWHvh3/110","CwSs – Foamflower","",""
"350","CWHvh3/110a","CwSs – Foamflower; Colluvial/morainal phase","",""
"351","CWHvh3/110b","CwSs – Foamflower; Alluvial fan phase","Fh","high fluvial bench"
"352","CWHvh3/110c","CwSs – Foamflower; Limestone phase","",""
"353","CWHvh3/111","Ss – False lily-of-the-Valley","Fh","high fluvial bench"
"354","CWHvh3/112","Ss – Trisetum","Fm","mid fluvial bench"
"355","CWHvh3/114","CwSs – Devil’s club","",""
"356","CWHvh3/115","CwYc – Salal – Goldthread","",""
"357","CWHvh3/116","Ss – Pacific crabapple – Slough sedge","SS","salt spray"
"358","CWHvh3/117","CwSs – Skunk cabbage","",""
"359","CWHvh3/117a","CwSs – Skunk cabbage; Mineral phase","",""
"360","CWHvh3/117b","CwSs – Skunk cabbage; Organic phase","",""
"361","CWHvh3/Wb53","PlcYc – Tufted clubrush","",""
"362","CWHvh3/Wb53.1","PlcYc – Tufted clubrush; Wooded variation","",""
"363","CWHvh3/Wb53.2","PlcYc – Tufted clubrush; Tall shrub variation","",""
"364","CWHvh3/Wb54","Yc – Tufted clubrush – Tufted hairgrass","",""
"365","CWHvh3/Ws58","CwYc – Slough sedge","",""
"366","CWHvm1/101","HwBa – Blueberry – Lanky moss","",""
"367","CWHvm1/102","PlcHw – Salal – Reindeer lichens","",""
"368","CWHvm1/103","CwHw – Salal – Deer fern","",""
