"","grp","chng_type","Source","BGC","SS_NoSpace","Edatopic"
"41",6545,"-","BECv13","ESSFun1","ESSFun1/m","A0"
"42",6546,"-","BECv13","ESSFun1","ESSFun1/m","A1"
"43",6547,"-","BECv13","ESSFun1","ESSFun1/m","A2"
"44",6551,"-","BECv13","ESSFun1","ESSFun1/m","A6"
"45",6552,"-","BECv13","ESSFun1","ESSFun1/m","A7"
"46",6553,"-","BECv13","ESSFun1","ESSFun1/m","B0"
"47",6554,"-","BECv13","ESSFun1","ESSFun1/m","B1"
"48",6555,"-","BECv13","ESSFun1","ESSFun1/m","B2"
"49",6559,"-","BECv13","ESSFun1","ESSFun1/m","B6"
"50",6560,"-","BECv13","ESSFun1","ESSFun1/m","B7"
"51",6561,"-","BECv13","ESSFun1","ESSFun1/m","C0"
"52",6562,"-","BECv13","ESSFun1","ESSFun1/m","C1"
"53",6563,"-","BECv13","ESSFun1","ESSFun1/m","C2"
"54",6567,"-","BECv13","ESSFun1","ESSFun1/m","C6"
"55",6568,"-","BECv13","ESSFun1","ESSFun1/m","C7"
"56",6569,"-","BECv13","ESSFun1","ESSFun1/m","D0"
"57",6570,"-","BECv13","ESSFun1","ESSFun1/m","D1"
"58",6571,"-","BECv13","ESSFun1","ESSFun1/m","D2"
"59",6575,"-","BECv13","ESSFun1","ESSFun1/m","D6"
"60",6576,"-","BECv13","ESSFun1","ESSFun1/m","D7"
"61",6577,"-","BECv13","ESSFun1","ESSFun1/m","E0"
"62",6578,"-","BECv13","ESSFun1","ESSFun1/m","E1"
"63",6579,"-","BECv13","ESSFun1","ESSFun1/m","E2"
"64",6583,"-","BECv13","ESSFun1","ESSFun1/m","E6"
"65",6584,"-","BECv13","ESSFun1","ESSFun1/m","E7"
"66",6588,"-","BECv13","ESSFun1","ESSFun1/x","A3"
"67",6589,"-","BECv13","ESSFun1","ESSFun1/x","A4"
"68",6590,"-","BECv13","ESSFun1","ESSFun1/x","A5"
"69",6591,"-","BECv13","ESSFun1","ESSFun1/x","A6"
"70",6592,"-","BECv13","ESSFun1","ESSFun1/x","A7"
"71",6596,"-","BECv13","ESSFun1","ESSFun1/x","B3"
"72",6597,"-","BECv13","ESSFun1","ESSFun1/x","B4"
"73",6598,"-","BECv13","ESSFun1","ESSFun1/x","B5"
"74",6599,"-","BECv13","ESSFun1","ESSFun1/x","B6"
"75",6600,"-","BECv13","ESSFun1","ESSFun1/x","B7"
"76",6604,"-","BECv13","ESSFun1","ESSFun1/x","C3"
"77",6605,"-","BECv13","ESSFun1","ESSFun1/x","C4"
"78",6606,"-","BECv13","ESSFun1","ESSFun1/x","C5"
"79",6607,"-","BECv13","ESSFun1","ESSFun1/x","C6"
"80",6608,"-","BECv13","ESSFun1","ESSFun1/x","C7"
"81",6612,"-","BECv13","ESSFun1","ESSFun1/x","D3"
"82",6613,"-","BECv13","ESSFun1","ESSFun1/x","D4"
"83",6614,"-","BECv13","ESSFun1","ESSFun1/x","D5"
"84",6615,"-","BECv13","ESSFun1","ESSFun1/x","D6"
"85",6616,"-","BECv13","ESSFun1","ESSFun1/x","D7"
"86",6620,"-","BECv13","ESSFun1","ESSFun1/x","E3"
"87",6621,"-","BECv13","ESSFun1","ESSFun1/x","E4"
"88",6622,"-","BECv13","ESSFun1","ESSFun1/x","E5"
"89",6623,"-","BECv13","ESSFun1","ESSFun1/x","E6"
"90",6624,"-","BECv13","ESSFun1","ESSFun1/x","E7"
"91",6625,"-","BECv13","ESSFun2","ESSFun2/h","A0"
"92",6626,"-","BECv13","ESSFun2","ESSFun2/h","A1"
"93",6627,"-","BECv13","ESSFun2","ESSFun2/h","A2"
"94",6628,"-","BECv13","ESSFun2","ESSFun2/h","A3"
"95",6629,"-","BECv13","ESSFun2","ESSFun2/h","A4"
"96",6630,"-","BECv13","ESSFun2","ESSFun2/h","A5"
"97",6633,"-","BECv13","ESSFun2","ESSFun2/h","B0"
"98",6634,"-","BECv13","ESSFun2","ESSFun2/h","B1"
"99",6635,"-","BECv13","ESSFun2","ESSFun2/h","B2"
"100",6636,"-","BECv13","ESSFun2","ESSFun2/h","B3"
"101",6637,"-","BECv13","ESSFun2","ESSFun2/h","B4"
"102",6638,"-","BECv13","ESSFun2","ESSFun2/h","B5"
"103",6641,"-","BECv13","ESSFun2","ESSFun2/h","C0"
"104",6642,"-","BECv13","ESSFun2","ESSFun2/h","C1"
"105",6643,"-","BECv13","ESSFun2","ESSFun2/h","C2"
"106",6644,"-","BECv13","ESSFun2","ESSFun2/h","C3"
"107",6645,"-","BECv13","ESSFun2","ESSFun2/h","C4"
"108",6646,"-","BECv13","ESSFun2","ESSFun2/h","C5"
"109",6649,"-","BECv13","ESSFun2","ESSFun2/h","D0"
"110",6650,"-","BECv13","ESSFun2","ESSFun2/h","D1"
"111",6651,"-","BECv13","ESSFun2","ESSFun2/h","D2"
"112",6652,"-","BECv13","ESSFun2","ESSFun2/h","D3"
"113",6653,"-","BECv13","ESSFun2","ESSFun2/h","D4"
"114",6654,"-","BECv13","ESSFun2","ESSFun2/h","D5"
"115",6657,"-","BECv13","ESSFun2","ESSFun2/h","E0"
"116",6658,"-","BECv13","ESSFun2","ESSFun2/h","E1"
"117",6659,"-","BECv13","ESSFun2","ESSFun2/h","E2"
"118",6660,"-","BECv13","ESSFun2","ESSFun2/h","E3"
"119",6661,"-","BECv13","ESSFun2","ESSFun2/h","E4"
"120",6662,"-","BECv13","ESSFun2","ESSFun2/h","E5"
"121",6665,"-","BECv13","ESSFun2","ESSFun2/m","A0"
"122",6666,"-","BECv13","ESSFun2","ESSFun2/m","A1"
"123",6667,"-","BECv13","ESSFun2","ESSFun2/m","A2"
"124",6671,"-","BECv13","ESSFun2","ESSFun2/m","A6"
"125",6672,"-","BECv13","ESSFun2","ESSFun2/m","A7"
"126",6673,"-","BECv13","ESSFun2","ESSFun2/m","B0"
"127",6674,"-","BECv13","ESSFun2","ESSFun2/m","B1"
"128",6675,"-","BECv13","ESSFun2","ESSFun2/m","B2"
"129",6679,"-","BECv13","ESSFun2","ESSFun2/m","B6"
"130",6680,"-","BECv13","ESSFun2","ESSFun2/m","B7"
"131",6681,"-","BECv13","ESSFun2","ESSFun2/m","C0"
"132",6682,"-","BECv13","ESSFun2","ESSFun2/m","C1"
"133",6683,"-","BECv13","ESSFun2","ESSFun2/m","C2"
"134",6687,"-","BECv13","ESSFun2","ESSFun2/m","C6"
"135",6688,"-","BECv13","ESSFun2","ESSFun2/m","C7"
"136",6689,"-","BECv13","ESSFun2","ESSFun2/m","D0"
"137",6690,"-","BECv13","ESSFun2","ESSFun2/m","D1"
"138",6691,"-","BECv13","ESSFun2","ESSFun2/m","D2"
"139",6695,"-","BECv13","ESSFun2","ESSFun2/m","D6"
"140",6696,"-","BECv13","ESSFun2","ESSFun2/m","D7"
"141",6697,"-","BECv13","ESSFun2","ESSFun2/m","E0"
"142",6698,"-","BECv13","ESSFun2","ESSFun2/m","E1"
"143",6699,"-","BECv13","ESSFun2","ESSFun2/m","E2"
"144",6703,"-","BECv13","ESSFun2","ESSFun2/m","E6"
"145",6704,"-","BECv13","ESSFun2","ESSFun2/m","E7"
"146",6708,"-","BECv13","ESSFun2","ESSFun2/x","A3"
"147",6709,"-","BECv13","ESSFun2","ESSFun2/x","A4"
"148",6710,"-","BECv13","ESSFun2","ESSFun2/x","A5"
"149",6711,"-","BECv13","ESSFun2","ESSFun2/x","A6"
"150",6712,"-","BECv13","ESSFun2","ESSFun2/x","A7"
"151",6716,"-","BECv13","ESSFun2","ESSFun2/x","B3"
"152",6717,"-","BECv13","ESSFun2","ESSFun2/x","B4"
"153",6718,"-","BECv13","ESSFun2","ESSFun2/x","B5"
"154",6719,"-","BECv13","ESSFun2","ESSFun2/x","B6"
"155",6720,"-","BECv13","ESSFun2","ESSFun2/x","B7"
"156",6724,"-","BECv13","ESSFun2","ESSFun2/x","C3"
"157",6725,"-","BECv13","ESSFun2","ESSFun2/x","C4"
"158",6726,"-","BECv13","ESSFun2","ESSFun2/x","C5"
"159",6727,"-","BECv13","ESSFun2","ESSFun2/x","C6"
"160",6728,"-","BECv13","ESSFun2","ESSFun2/x","C7"
"161",6732,"-","BECv13","ESSFun2","ESSFun2/x","D3"
"162",6733,"-","BECv13","ESSFun2","ESSFun2/x","D4"
"163",6734,"-","BECv13","ESSFun2","ESSFun2/x","D5"
"164",6735,"-","BECv13","ESSFun2","ESSFun2/x","D6"
"165",6736,"-","BECv13","ESSFun2","ESSFun2/x","D7"
"166",6740,"-","BECv13","ESSFun2","ESSFun2/x","E3"
"167",6741,"-","BECv13","ESSFun2","ESSFun2/x","E4"
"168",6742,"-","BECv13","ESSFun2","ESSFun2/x","E5"
"169",6743,"-","BECv13","ESSFun2","ESSFun2/x","E6"
"170",6744,"-","BECv13","ESSFun2","ESSFun2/x","E7"
"171",9618,"-","BECv13","ICHun1","ICHun1/h","A0"
"172",9619,"-","BECv13","ICHun1","ICHun1/h","A1"
"173",9620,"-","BECv13","ICHun1","ICHun1/h","A2"
"174",9621,"-","BECv13","ICHun1","ICHun1/h","A3"
"175",9622,"-","BECv13","ICHun1","ICHun1/h","A4"
"176",9623,"-","BECv13","ICHun1","ICHun1/h","A5"
"177",9626,"-","BECv13","ICHun1","ICHun1/h","B0"
"178",9627,"-","BECv13","ICHun1","ICHun1/h","B1"
"179",9628,"-","BECv13","ICHun1","ICHun1/h","B2"
"180",9629,"-","BECv13","ICHun1","ICHun1/h","B3"
"181",9630,"-","BECv13","ICHun1","ICHun1/h","B4"
"182",9631,"-","BECv13","ICHun1","ICHun1/h","B5"
"183",9634,"-","BECv13","ICHun1","ICHun1/h","C0"
"184",9635,"-","BECv13","ICHun1","ICHun1/h","C1"
"185",9636,"-","BECv13","ICHun1","ICHun1/h","C2"
"186",9637,"-","BECv13","ICHun1","ICHun1/h","C3"
"187",9638,"-","BECv13","ICHun1","ICHun1/h","C4"
"188",9639,"-","BECv13","ICHun1","ICHun1/h","C5"
"189",9642,"-","BECv13","ICHun1","ICHun1/h","D0"
"190",9643,"-","BECv13","ICHun1","ICHun1/h","D1"
"191",9644,"-","BECv13","ICHun1","ICHun1/h","D2"
"192",9645,"-","BECv13","ICHun1","ICHun1/h","D3"
"193",9646,"-","BECv13","ICHun1","ICHun1/h","D4"
"194",9647,"-","BECv13","ICHun1","ICHun1/h","D5"
"195",9650,"-","BECv13","ICHun1","ICHun1/h","E0"
"196",9651,"-","BECv13","ICHun1","ICHun1/h","E1"
"197",9652,"-","BECv13","ICHun1","ICHun1/h","E2"
"198",9653,"-","BECv13","ICHun1","ICHun1/h","E3"
"199",9654,"-","BECv13","ICHun1","ICHun1/h","E4"
"200",9655,"-","BECv13","ICHun1","ICHun1/h","E5"
"201",9658,"-","BECv13","ICHun1","ICHun1/m","A0"
"202",9659,"-","BECv13","ICHun1","ICHun1/m","A1"
"203",9660,"-","BECv13","ICHun1","ICHun1/m","A2"
"204",9664,"-","BECv13","ICHun1","ICHun1/m","A6"
"205",9665,"-","BECv13","ICHun1","ICHun1/m","A7"
"206",9666,"-","BECv13","ICHun1","ICHun1/m","B0"
"207",9667,"-","BECv13","ICHun1","ICHun1/m","B1"
"208",9668,"-","BECv13","ICHun1","ICHun1/m","B2"
"209",9672,"-","BECv13","ICHun1","ICHun1/m","B6"
"210",9673,"-","BECv13","ICHun1","ICHun1/m","B7"
"211",9674,"-","BECv13","ICHun1","ICHun1/m","C0"
"212",9675,"-","BECv13","ICHun1","ICHun1/m","C1"
"213",9676,"-","BECv13","ICHun1","ICHun1/m","C2"
"214",9680,"-","BECv13","ICHun1","ICHun1/m","C6"
"215",9681,"-","BECv13","ICHun1","ICHun1/m","C7"
"216",9682,"-","BECv13","ICHun1","ICHun1/m","D0"
"217",9683,"-","BECv13","ICHun1","ICHun1/m","D1"
"218",9684,"-","BECv13","ICHun1","ICHun1/m","D2"
"219",9688,"-","BECv13","ICHun1","ICHun1/m","D6"
"220",9689,"-","BECv13","ICHun1","ICHun1/m","D7"
"221",9690,"-","BECv13","ICHun1","ICHun1/m","E0"
"222",9691,"-","BECv13","ICHun1","ICHun1/m","E1"
"223",9692,"-","BECv13","ICHun1","ICHun1/m","E2"
"224",9696,"-","BECv13","ICHun1","ICHun1/m","E6"
"225",9697,"-","BECv13","ICHun1","ICHun1/m","E7"
"226",9701,"-","BECv13","ICHun1","ICHun1/x","A3"
"227",9702,"-","BECv13","ICHun1","ICHun1/x","A4"
"228",9703,"-","BECv13","ICHun1","ICHun1/x","A5"
"229",9704,"-","BECv13","ICHun1","ICHun1/x","A6"
"230",9705,"-","BECv13","ICHun1","ICHun1/x","A7"
"231",9709,"-","BECv13","ICHun1","ICHun1/x","B3"
"232",9710,"-","BECv13","ICHun1","ICHun1/x","B4"
"233",9711,"-","BECv13","ICHun1","ICHun1/x","B5"
"234",9712,"-","BECv13","ICHun1","ICHun1/x","B6"
"235",9713,"-","BECv13","ICHun1","ICHun1/x","B7"
"236",9717,"-","BECv13","ICHun1","ICHun1/x","C3"
"237",9718,"-","BECv13","ICHun1","ICHun1/x","C4"
"238",9719,"-","BECv13","ICHun1","ICHun1/x","C5"
"239",9720,"-","BECv13","ICHun1","ICHun1/x","C6"
"240",9721,"-","BECv13","ICHun1","ICHun1/x","C7"
"241",9725,"-","BECv13","ICHun1","ICHun1/x","D3"
"242",9726,"-","BECv13","ICHun1","ICHun1/x","D4"
"243",9727,"-","BECv13","ICHun1","ICHun1/x","D5"
"244",9728,"-","BECv13","ICHun1","ICHun1/x","D6"
"245",9729,"-","BECv13","ICHun1","ICHun1/x","D7"
"246",9733,"-","BECv13","ICHun1","ICHun1/x","E3"
"247",9734,"-","BECv13","ICHun1","ICHun1/x","E4"
"248",9735,"-","BECv13","ICHun1","ICHun1/x","E5"
"249",9736,"-","BECv13","ICHun1","ICHun1/x","E6"
"250",9737,"-","BECv13","ICHun1","ICHun1/x","E7"
"251",13874,"-","BECv13","MSun1","MSun1/h","A0"
"252",13875,"-","BECv13","MSun1","MSun1/h","A1"
"253",13876,"-","BECv13","MSun1","MSun1/h","A2"
"254",13877,"-","BECv13","MSun1","MSun1/h","A3"
"255",13878,"-","BECv13","MSun1","MSun1/h","A4"
"256",13879,"-","BECv13","MSun1","MSun1/h","A5"
"257",13882,"-","BECv13","MSun1","MSun1/h","B0"
"258",13883,"-","BECv13","MSun1","MSun1/h","B1"
"259",13884,"-","BECv13","MSun1","MSun1/h","B2"
"260",13885,"-","BECv13","MSun1","MSun1/h","B3"
"261",13886,"-","BECv13","MSun1","MSun1/h","B4"
"262",13887,"-","BECv13","MSun1","MSun1/h","B5"
"263",13890,"-","BECv13","MSun1","MSun1/h","C0"
"264",13891,"-","BECv13","MSun1","MSun1/h","C1"
"265",13892,"-","BECv13","MSun1","MSun1/h","C2"
"266",13893,"-","BECv13","MSun1","MSun1/h","C3"
"267",13894,"-","BECv13","MSun1","MSun1/h","C4"
"268",13895,"-","BECv13","MSun1","MSun1/h","C5"
"269",13898,"-","BECv13","MSun1","MSun1/h","D0"
"270",13899,"-","BECv13","MSun1","MSun1/h","D1"
"271",13900,"-","BECv13","MSun1","MSun1/h","D2"
"272",13901,"-","BECv13","MSun1","MSun1/h","D3"
"273",13902,"-","BECv13","MSun1","MSun1/h","D4"
"274",13903,"-","BECv13","MSun1","MSun1/h","D5"
"275",13906,"-","BECv13","MSun1","MSun1/h","E0"
"276",13907,"-","BECv13","MSun1","MSun1/h","E1"
"277",13908,"-","BECv13","MSun1","MSun1/h","E2"
"278",13909,"-","BECv13","MSun1","MSun1/h","E3"
"279",13910,"-","BECv13","MSun1","MSun1/h","E4"
"280",13911,"-","BECv13","MSun1","MSun1/h","E5"
"281",13914,"-","BECv13","MSun1","MSun1/m","A0"
"282",13915,"-","BECv13","MSun1","MSun1/m","A1"
"283",13916,"-","BECv13","MSun1","MSun1/m","A2"
"284",13920,"-","BECv13","MSun1","MSun1/m","A6"
"285",13921,"-","BECv13","MSun1","MSun1/m","A7"
"286",13922,"-","BECv13","MSun1","MSun1/m","B0"
"287",13923,"-","BECv13","MSun1","MSun1/m","B1"
"288",13924,"-","BECv13","MSun1","MSun1/m","B2"
"289",13928,"-","BECv13","MSun1","MSun1/m","B6"
"290",13929,"-","BECv13","MSun1","MSun1/m","B7"
"291",13930,"-","BECv13","MSun1","MSun1/m","C0"
"292",13931,"-","BECv13","MSun1","MSun1/m","C1"
"293",13932,"-","BECv13","MSun1","MSun1/m","C2"
"294",13936,"-","BECv13","MSun1","MSun1/m","C6"
"295",13937,"-","BECv13","MSun1","MSun1/m","C7"
"296",13938,"-","BECv13","MSun1","MSun1/m","D0"
"297",13939,"-","BECv13","MSun1","MSun1/m","D1"
"298",13940,"-","BECv13","MSun1","MSun1/m","D2"
"299",13944,"-","BECv13","MSun1","MSun1/m","D6"
"300",13945,"-","BECv13","MSun1","MSun1/m","D7"
"301",13946,"-","BECv13","MSun1","MSun1/m","E0"
"302",13947,"-","BECv13","MSun1","MSun1/m","E1"
"303",13948,"-","BECv13","MSun1","MSun1/m","E2"
"304",13952,"-","BECv13","MSun1","MSun1/m","E6"
"305",13953,"-","BECv13","MSun1","MSun1/m","E7"
"306",13957,"-","BECv13","MSun1","MSun1/x","A3"
"307",13958,"-","BECv13","MSun1","MSun1/x","A4"
"308",13959,"-","BECv13","MSun1","MSun1/x","A5"
"309",13960,"-","BECv13","MSun1","MSun1/x","A6"
"310",13961,"-","BECv13","MSun1","MSun1/x","A7"
"311",13965,"-","BECv13","MSun1","MSun1/x","B3"
"312",13966,"-","BECv13","MSun1","MSun1/x","B4"
"313",13967,"-","BECv13","MSun1","MSun1/x","B5"
"314",13968,"-","BECv13","MSun1","MSun1/x","B6"
"315",13969,"-","BECv13","MSun1","MSun1/x","B7"
"316",13973,"-","BECv13","MSun1","MSun1/x","C3"
"317",13974,"-","BECv13","MSun1","MSun1/x","C4"
"318",13975,"-","BECv13","MSun1","MSun1/x","C5"
"319",13976,"-","BECv13","MSun1","MSun1/x","C6"
"320",13977,"-","BECv13","MSun1","MSun1/x","C7"
"321",13981,"-","BECv13","MSun1","MSun1/x","D3"
"322",13982,"-","BECv13","MSun1","MSun1/x","D4"
"323",13983,"-","BECv13","MSun1","MSun1/x","D5"
"324",13984,"-","BECv13","MSun1","MSun1/x","D6"
"325",13985,"-","BECv13","MSun1","MSun1/x","D7"
"326",13989,"-","BECv13","MSun1","MSun1/x","E3"
"327",13990,"-","BECv13","MSun1","MSun1/x","E4"
"328",13991,"-","BECv13","MSun1","MSun1/x","E5"
"329",13992,"-","BECv13","MSun1","MSun1/x","E6"
"330",13993,"-","BECv13","MSun1","MSun1/x","E7"
