bgc,ss_nospace,sppsplit,spp,suitability,newsuit,mod,outrange,Zone
CWHvh3,CWHvh3/106c,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110,Dr,Dr,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110,Hw,Hw,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110,Ss,Ss,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110,Yc,Yc,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110a,Dr,Dr,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110a,Hw,Hw,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110a,Ss,Ss,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110a,Yc,Yc,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110a,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110b,Dr,Dr,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110b,Hw,Hw,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110b,Ss,Ss,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110b,Yc,Yc,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110b,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110c,Dr,Dr,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110c,Hw,Hw,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110c,Ss,Ss,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110c,Yc,Yc,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/110c,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/111,Dr,Dr,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/111,Hw,Hw,2,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/111,Ss,Ss,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/111,Cw,Cw,,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/112,Dr,Dr,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/112,Hw,Hw,3,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/112,Ss,Ss,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/112,Cw,Cw,,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/113,Dr,Dr,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/113,Ss,Ss,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/113,Hw,Hw,,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/114,Dr,Dr,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/114,Hw,Hw,2,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/114,Ss,Ss,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/114,Yc,Yc,3,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/114,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/115,Dr,Dr,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/115,Hw,Hw,1,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/115,Plc,Pl,2,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/115,Yc,Yc,1,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/115,Cw,Cw,,1,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/115,Hm,Hm,,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/116,Dr,Dr,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/116,Hw,Hw,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/116,Ss,Ss,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/116,Cw,Cw,,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117,Dr,Dr,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117,Hw,Hw,3,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117,Plc,Pl,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117,Ss,Ss,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117,Yc,Yc,,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117,Cw,Cw,,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117a,Dr,Dr,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117a,Hw,Hw,3,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117a,Plc,Pl,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117a,Ss,Ss,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117a,Yc,Yc,,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117a,Cw,Cw,,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117b,Dr,Dr,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117b,Hw,Hw,3,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117b,Plc,Pl,3,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117b,Ss,Ss,2,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117b,Yc,Yc,,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/117b,Cw,Cw,,2,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/Wb53,Plc,Pl,2,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/Wb53,Hm,Hm,,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/Wb53,Yc,Yc,,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/Wb53,Hw,Hw,,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/Wb53,Cw,Cw,,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/Wb54,Plc,Pl,2,4,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/Wb54,Hm,Hm,,5,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/Wb54,Yc,Yc,,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/Wb54,Hw,Hw,,5,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/Wb54,Cw,Cw,,5,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/Ws58,Cw,Cw,,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/Ws58,Yc,Yc,,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/Ws58,Hw,Hw,,3,SCS/HAK,FALSE,CWH
CWHvh3,CWHvh3/Ws58,Plc,Pl ,,3,SCS/HAK,FALSE,CWH
CWHwh1,CWHwh1/101,Dr,Dr,2,,,FALSE,CWH
CWHwh1,CWHwh1/101,Hw,Hw,1,,,FALSE,CWH
CWHwh1,CWHwh1/101,Ss,Ss,1,,,FALSE,CWH
CWHwh1,CWHwh1/101a,Dr,Dr,2,,,FALSE,CWH
CWHwh1,CWHwh1/101a,Hw,Hw,1,,,FALSE,CWH
CWHwh1,CWHwh1/101a,Ss,Ss,1,,,FALSE,CWH
CWHwh1,CWHwh1/101b,Dr,Dr,2,,,FALSE,CWH
CWHwh1,CWHwh1/101b,Hw,Hw,1,,,FALSE,CWH
CWHwh1,CWHwh1/101b,Ss,Ss,1,,,FALSE,CWH
CWHwh1,CWHwh1/102,Dr,Dr,3,,,FALSE,CWH
CWHwh1,CWHwh1/102,Hw,Hw,1,,,FALSE,CWH
CWHwh1,CWHwh1/102,Plc,Pl,3,,,FALSE,CWH
CWHwh1,CWHwh1/102,Ss,Ss,2,,,FALSE,CWH
CWHwh1,CWHwh1/103,Cw,Cw,3,,,FALSE,CWH
CWHwh1,CWHwh1/103,Dr,Dr,3,,,FALSE,CWH
CWHwh1,CWHwh1/103,Hw,Hw,3,,,FALSE,CWH
CWHwh1,CWHwh1/103,Ss,Ss,1,,,FALSE,CWH
CWHwh1,CWHwh1/104,Dr,Dr,3,,,FALSE,CWH
CWHwh1,CWHwh1/104,Hw,Hw,3,,,FALSE,CWH
CWHwh1,CWHwh1/104,Ss,Ss,1,,,FALSE,CWH
CWHwh1,CWHwh1/105,Dr,Dr,2,,,FALSE,CWH
CWHwh1,CWHwh1/105,Hw,Hw,2,,,FALSE,CWH
CWHwh1,CWHwh1/105,Ss,Ss,1,,,FALSE,CWH
CWHwh1,CWHwh1/105a,Dr,Dr,2,,,FALSE,CWH
CWHwh1,CWHwh1/105a,Hw,Hw,2,,,FALSE,CWH
CWHwh1,CWHwh1/105a,Ss,Ss,1,,,FALSE,CWH
CWHwh1,CWHwh1/105b,Dr,Dr,2,,,FALSE,CWH
CWHwh1,CWHwh1/105b,Hw,Hw,2,,,FALSE,CWH
CWHwh1,CWHwh1/105b,Ss,Ss,1,,,FALSE,CWH
CWHwh1,CWHwh1/110,Dr,Dr,3,,,FALSE,CWH
CWHwh1,CWHwh1/110,Hw,Hw,1,,,FALSE,CWH
CWHwh1,CWHwh1/110,Plc,Pl,3,,,FALSE,CWH
CWHwh1,CWHwh1/110,Ss,Ss,3,,,FALSE,CWH
CWHwh1,CWHwh1/110a,Dr,Dr,3,,,FALSE,CWH
CWHwh1,CWHwh1/110a,Hw,Hw,1,,,FALSE,CWH
CWHwh1,CWHwh1/110a,Plc,Pl,3,,,FALSE,CWH
CWHwh1,CWHwh1/110a,Ss,Ss,3,,,FALSE,CWH
CWHwh1,CWHwh1/110b,Dr,Dr,3,,,FALSE,CWH
CWHwh1,CWHwh1/110b,Hw,Hw,1,,,FALSE,CWH
CWHwh1,CWHwh1/110b,Plc,Pl,3,,,FALSE,CWH
CWHwh1,CWHwh1/110b,Ss,Ss,3,,,FALSE,CWH
CWHwh1,CWHwh1/111,Dr,Dr,2,,,FALSE,CWH
CWHwh1,CWHwh1/111,Hw,Hw,2,,,FALSE,CWH
CWHwh1,CWHwh1/111,Ss,Ss,1,,,FALSE,CWH
CWHwh1,CWHwh1/111a,Dr,Dr,2,,,FALSE,CWH
CWHwh1,CWHwh1/111a,Hw,Hw,2,,,FALSE,CWH
CWHwh1,CWHwh1/111a,Ss,Ss,1,,,FALSE,CWH
CWHwh1,CWHwh1/111b,Dr,Dr,2,,,FALSE,CWH
CWHwh1,CWHwh1/111b,Hw,Hw,2,,,FALSE,CWH
CWHwh1,CWHwh1/111b,Ss,Ss,1,,,FALSE,CWH
CWHwh1,CWHwh1/111c,Dr,Dr,2,,,FALSE,CWH
CWHwh1,CWHwh1/111c,Hw,Hw,2,,,FALSE,CWH
CWHwh1,CWHwh1/111c,Ss,Ss,1,,,FALSE,CWH
CWHwh1,CWHwh1/112,Dr,Dr,1,,,FALSE,CWH
CWHwh1,CWHwh1/112,Hw,Hw,2,,,FALSE,CWH
CWHwh1,CWHwh1/112,Ss,Ss,1,,,FALSE,CWH
CWHwh1,CWHwh1/113,Dr,Dr,1,,,FALSE,CWH
CWHwh1,CWHwh1/113,Hw,Hw,3,,,FALSE,CWH
CWHwh1,CWHwh1/113,Ss,Ss,1,,,FALSE,CWH
CWHwh1,CWHwh1/114,Dr,Dr,1,,,FALSE,CWH
CWHwh1,CWHwh1/114,Ss,Ss,3,,,FALSE,CWH
CWHwh1,CWHwh1/115,Dr,Dr,3,,,FALSE,CWH
CWHwh1,CWHwh1/115,Hm,Hm,3,,,FALSE,CWH
CWHwh1,CWHwh1/115,Hw,Hw,2,,,FALSE,CWH
CWHwh1,CWHwh1/115,Plc,Pl,3,,,FALSE,CWH
CWHwh1,CWHwh1/115,Yc,Yc,2,,,FALSE,CWH
CWHwh1,CWHwh1/116,Dr,Dr,2,,,FALSE,CWH
CWHwh1,CWHwh1/116,Hw,Hw,2,,,FALSE,CWH
CWHwh1,CWHwh1/116,Ss,Ss,1,,,FALSE,CWH
CWHwh1,CWHwh1/117,Dr,Dr,3,,,FALSE,CWH
CWHwh1,CWHwh1/117,Hw,Hw,3,,,FALSE,CWH
CWHwh1,CWHwh1/117,Ss,Ss,2,,,FALSE,CWH
CWHwh1,CWHwh1/118,Dr,Dr,3,,,FALSE,CWH
CWHwh1,CWHwh1/118,Hw,Hw,3,,,FALSE,CWH
CWHwh1,CWHwh1/118,Plc,Pl,3,,,FALSE,CWH
CWHwh1,CWHwh1/118,Ss,Ss,2,,,FALSE,CWH
CWHwh1,CWHwh1/118,Yc,Yc,3,,,FALSE,CWH
CWHwh1,CWHwh1/118a,Dr,Dr,3,,,FALSE,CWH
CWHwh1,CWHwh1/118a,Hw,Hw,3,,,FALSE,CWH
CWHwh1,CWHwh1/118a,Plc,Pl,3,,,FALSE,CWH
CWHwh1,CWHwh1/118a,Ss,Ss,2,,,FALSE,CWH
CWHwh1,CWHwh1/118a,Yc,Yc,5,,,FALSE,CWH
CWHwh1,CWHwh1/118b,Dr,Dr,3,,,FALSE,CWH
CWHwh1,CWHwh1/118b,Hw,Hw,3,,,FALSE,CWH
CWHwh1,CWHwh1/118b,Plc,Pl,3,,,FALSE,CWH
CWHwh1,CWHwh1/118b,Ss,Ss,3,,,FALSE,CWH
CWHwh1,CWHwh1/118b,Yc,Yc,3,,,FALSE,CWH
CWHwh1,CWHwh1/Wb51,Plc,Pl,2,,,FALSE,CWH
CWHwh1,CWHwh1/Wb51,Yc,Yc,3,,,FALSE,CWH
CWHwh2,CWHwh2/101,Hm,Hm,3,,,FALSE,CWH
CWHwh2,CWHwh2/101,Hw,Hw,1,,,FALSE,CWH
CWHwh2,CWHwh2/101,Ss,Ss,2,,,FALSE,CWH
CWHwh2,CWHwh2/101,Yc,Yc,1,,,FALSE,CWH
CWHwh2,CWHwh2/101a,Hm,Hm,3,,,FALSE,CWH
CWHwh2,CWHwh2/101a,Hw,Hw,1,,,FALSE,CWH
CWHwh2,CWHwh2/101a,Ss,Ss,2,,,FALSE,CWH
CWHwh2,CWHwh2/101a,Yc,Yc,1,,,FALSE,CWH
CWHwh2,CWHwh2/101b,Hm,Hm,3,,,FALSE,CWH
CWHwh2,CWHwh2/101b,Hw,Hw,1,,,FALSE,CWH
CWHwh2,CWHwh2/101b,Ss,Ss,2,,,FALSE,CWH
CWHwh2,CWHwh2/101b,Yc,Yc,1,,,FALSE,CWH
CWHwh2,CWHwh2/101c,Hm,Hm,3,,,FALSE,CWH
CWHwh2,CWHwh2/101c,Hw,Hw,1,,,FALSE,CWH
CWHwh2,CWHwh2/101c,Ss,Ss,2,,,FALSE,CWH
CWHwh2,CWHwh2/101c,Yc,Yc,1,,,FALSE,CWH
CWHwh2,CWHwh2/110,Hm,Hm,3,,,FALSE,CWH
CWHwh2,CWHwh2/110,Hw,Hw,1,,,FALSE,CWH
CWHwh2,CWHwh2/110,Ss,Ss,2,,,FALSE,CWH
CWHwh2,CWHwh2/110,Yc,Yc,1,,,FALSE,CWH
CWHwh2,CWHwh2/111,Hm,Hm,2,,,FALSE,CWH
CWHwh2,CWHwh2/111,Hw,Hw,2,,,FALSE,CWH
CWHwh2,CWHwh2/111,Ss,Ss,3,,,FALSE,CWH
CWHwh2,CWHwh2/112,Hm,Hm,3,,,FALSE,CWH
CWHwh2,CWHwh2/112,Hw,Hw,2,,,FALSE,CWH
CWHwh2,CWHwh2/112,Ss,Ss,2,,,FALSE,CWH
CWHwh2,CWHwh2/112,Yc,Yc,1,,,FALSE,CWH
CWHwh2,CWHwh2/112a,Hm,Hm,3,,,FALSE,CWH
CWHwh2,CWHwh2/112a,Hw,Hw,2,,,FALSE,CWH
CWHwh2,CWHwh2/112a,Ss,Ss,2,,,FALSE,CWH
CWHwh2,CWHwh2/112a,Yc,Yc,1,,,FALSE,CWH
CWHwh2,CWHwh2/112b,Hm,Hm,3,,,FALSE,CWH
CWHwh2,CWHwh2/112b,Hw,Hw,2,,,FALSE,CWH
CWHwh2,CWHwh2/112b,Ss,Ss,2,,,FALSE,CWH
CWHwh2,CWHwh2/112b,Yc,Yc,1,,,FALSE,CWH
ESSFun1,ESSFun1/h,Bl,Bl,2,,,FALSE,ESSF
ESSFun1,ESSFun1/m,Bl,Bl,1,,,FALSE,ESSF
ESSFun1,ESSFun1/x,Bl,Bl,1,,,FALSE,ESSF
ESSFunp,ESSFunp/00,Bl,Bl,3,,,FALSE,ESSF
MHwh,MHwh/101,Hm,Hm,1,1,SAS-HAK,FALSE,MH
MHwh,MHwh/101,Yc,Yc,1,1,SAS-HAK,FALSE,MH
MHwh,MHwh/101,Hw,Hw,2,2,SAS-HAK,FALSE,MH
MHwh,MHwh/101,Ss,Ss,2,2,SAS-HAK,FALSE,MH
MHwh,MHwh/101,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/101a,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/101b,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/101c,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/102,Hm,Hm,2,2,SAS-HAK,FALSE,MH
MHwh,MHwh/102,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/102,Plc,Pl,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/102,Yc,Yc,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/110,Hm,Hm,1,1,SAS-HAK,FALSE,MH
MHwh,MHwh/110,Yc,Yc,1,1,SAS-HAK,FALSE,MH
MHwh,MHwh/110,Ss,Ss,2,2,SAS-HAK,FALSE,MH
MHwh,MHwh/110,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/110,Hw,Hw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Hm,Hm,1,1,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Yc,Yc,1,1,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Ss,Ss,2,2,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/111,Hw,Hw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/Wb53,Cw,Cw,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/Wb53,Hm,Hm,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/Wb53,Plc,Pl,3,3,SAS-HAK,FALSE,MH
MHwh,MHwh/Wb53,Yc,Yc,3,3,SAS-HAK,FALSE,MH
MHwhp,MHwhp/00,Hm,Hm,3,3,BG,FALSE,MH
