"","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","expert_update","mod","outrange"
"6019","ESSFmm3","ESSFmm3/101","Pli",3,"Pl",3,NA,NA,FALSE
"6020","ESSFmm3","ESSFmm3/101","Sxw",1,"Sx",1,NA,NA,FALSE
"6021","ESSFmm3","ESSFmm3/102","Bl",3,"Bl",3,NA,NA,FALSE
"6022","ESSFmm3","ESSFmm3/102","Fdi",2,"Fd",2,NA,NA,FALSE
"6023","ESSFmm3","ESSFmm3/102","Pa",3,"Pa",3,NA,NA,FALSE
"6024","ESSFmm3","ESSFmm3/102","Pli",2,"Pl",2,NA,NA,FALSE
"6025","ESSFmm3","ESSFmm3/102","Sxw",2,"Sx",2,NA,NA,FALSE
"6026","ESSFmm3","ESSFmm3/103","Bl",2,"Bl",2,NA,NA,FALSE
"6027","ESSFmm3","ESSFmm3/103","Fdi",2,"Fd",2,NA,NA,FALSE
"6028","ESSFmm3","ESSFmm3/103","Pa",3,"Pa",3,NA,NA,FALSE
"6029","ESSFmm3","ESSFmm3/103","Pli",2,"Pl",2,NA,NA,FALSE
"6030","ESSFmm3","ESSFmm3/103","Sxw",1,"Sx",1,NA,NA,FALSE
"6031","ESSFmm3","ESSFmm3/104","Bl",2,"Bl",2,NA,NA,FALSE
"6032","ESSFmm3","ESSFmm3/104","Pa",3,"Pa",3,NA,NA,FALSE
"6033","ESSFmm3","ESSFmm3/104","Pli",3,"Pl",3,NA,NA,FALSE
"6034","ESSFmm3","ESSFmm3/104","Sxw",1,"Sx",1,NA,NA,FALSE
"6035","ESSFmm3","ESSFmm3/110","Bl",2,"Bl",2,NA,NA,FALSE
"6036","ESSFmm3","ESSFmm3/110","Sxw",1,"Sx",1,NA,NA,FALSE
"6037","ESSFmm3","ESSFmm3/111","Bl",2,"Bl",2,NA,NA,FALSE
"6038","ESSFmm3","ESSFmm3/111","Sxw",1,"Sx",1,NA,NA,FALSE
"6039","ESSFmm3","ESSFmm3/112","Bl",2,"Bl",2,NA,NA,FALSE
"6040","ESSFmm3","ESSFmm3/112","Sxw",2,"Sx",2,NA,NA,FALSE
"6355","ESSFvc","ESSFvc/01","Bl",1,"Bl",1,NA,NA,FALSE
"6356","ESSFvc","ESSFvc/01","Hm",2,"Hm",2,NA,NA,FALSE
"6357","ESSFvc","ESSFvc/01","Se",1,"Sx",1,NA,NA,FALSE
"6358","ESSFvc","ESSFvc/02","Bl",2,"Bl",2,NA,NA,FALSE
"6359","ESSFvc","ESSFvc/02","Hm",3,"Hm",3,NA,NA,FALSE
"6360","ESSFvc","ESSFvc/02","Pli",4,"Pl",4,NA,NA,FALSE
"6361","ESSFvc","ESSFvc/02","Se",2,"Sx",2,NA,NA,FALSE
"6362","ESSFvc","ESSFvc/03","Bl",1,"Bl",1,NA,NA,FALSE
"6363","ESSFvc","ESSFvc/03","Hm",2,"Hm",2,NA,NA,FALSE
"6364","ESSFvc","ESSFvc/03","Se",1,"Sx",1,NA,NA,FALSE
"6365","ESSFvc","ESSFvc/04","Bl",1,"Bl",1,NA,NA,FALSE
"6366","ESSFvc","ESSFvc/04","Hm",2,"Hm",2,NA,NA,FALSE
"6367","ESSFvc","ESSFvc/04","Se",1,"Sx",1,NA,NA,FALSE
"6368","ESSFvc","ESSFvc/05","Bl",1,"Bl",1,NA,NA,FALSE
"6369","ESSFvc","ESSFvc/05","Hm",2,"Hm",2,NA,NA,FALSE
"6370","ESSFvc","ESSFvc/05","Se",1,"Sx",1,NA,NA,FALSE
"6375","ESSFvcw","ESSFvcw/01","Bl",2,"Bl",2,NA,NA,FALSE
"6376","ESSFvcw","ESSFvcw/01","Hm",3,"Hm",3,NA,NA,FALSE
"6377","ESSFvcw","ESSFvcw/01","Se",2,"Sx",2,NA,NA,FALSE
"6378","ESSFvcw","ESSFvcw/02","Bl",3,"Bl",3,NA,NA,FALSE
"6379","ESSFvcw","ESSFvcw/02","Hm",3,"Hm",3,NA,NA,FALSE
"6380","ESSFvcw","ESSFvcw/02","Pli",5,"Pl",5,NA,NA,FALSE
"6381","ESSFvcw","ESSFvcw/02","Se",3,"Sx",3,NA,NA,FALSE
"6382","ESSFvcw","ESSFvcw/03","Bl",2,"Bl",2,NA,NA,FALSE
"6383","ESSFvcw","ESSFvcw/03","Hm",3,"Hm",3,NA,NA,FALSE
"6384","ESSFvcw","ESSFvcw/03","Se",2,"Sx",2,NA,NA,FALSE
"6385","ESSFvcw","ESSFvcw/04","Bl",2,"Bl",2,NA,NA,FALSE
"6386","ESSFvcw","ESSFvcw/04","Hm",3,"Hm",3,NA,NA,FALSE
"6387","ESSFvcw","ESSFvcw/04","Se",2,"Sx",2,NA,NA,FALSE
"6388","ESSFvcw","ESSFvcw/05","Bl",2,"Bl",2,NA,NA,FALSE
"6389","ESSFvcw","ESSFvcw/05","Hm",3,"Hm",3,NA,NA,FALSE
"6390","ESSFvcw","ESSFvcw/05","Se",2,"Sx",2,NA,NA,FALSE
"6491","ESSFwcw","ESSFwcw/101","Bl",1,"Bl",1,NA,NA,FALSE
"6492","ESSFwcw","ESSFwcw/101","Pa",3,"Pa",3,NA,NA,FALSE
"6493","ESSFwcw","ESSFwcw/101","Se",2,"Sx",2,NA,NA,FALSE
"6494","ESSFwcw","ESSFwcw/102","Bl",3,"Bl",3,NA,NA,FALSE
"6495","ESSFwcw","ESSFwcw/102","La",3,"La",3,NA,NA,FALSE
"6496","ESSFwcw","ESSFwcw/102","Pa",2,"Pa",2,NA,NA,FALSE
"6497","ESSFwcw","ESSFwcw/102","Pli",3,"Pl",3,NA,NA,FALSE
"6498","ESSFwcw","ESSFwcw/102","Se",3,"Sx",3,NA,NA,FALSE
"6499","ESSFwcw","ESSFwcw/103","Bl",1,"Bl",1,NA,NA,FALSE
"6500","ESSFwcw","ESSFwcw/103","La",3,"La",3,NA,NA,FALSE
"6501","ESSFwcw","ESSFwcw/103","Pa",2,"Pa",2,NA,NA,FALSE
"6502","ESSFwcw","ESSFwcw/103","Se",2,"Sx",2,NA,NA,FALSE
"6503","ESSFwcw","ESSFwcw/104","Bl",1,"Bl",1,NA,NA,FALSE
"6504","ESSFwcw","ESSFwcw/104","La",3,"La",3,NA,NA,FALSE
"6505","ESSFwcw","ESSFwcw/104","Pa",3,"Pa",3,NA,NA,FALSE
"6506","ESSFwcw","ESSFwcw/104","Se",2,"Sx",2,NA,NA,FALSE
"6507","ESSFwcw","ESSFwcw/110","Bl",1,"Bl",1,NA,NA,FALSE
"6508","ESSFwcw","ESSFwcw/110","Se",2,"Sx",2,NA,NA,FALSE
"6531","ESSFwh1","ESSFwh1/101","Act",3,"Ac",3,NA,NA,FALSE
"6532","ESSFwh1","ESSFwh1/101","At",3,"At",3,NA,NA,FALSE
"6533","ESSFwh1","ESSFwh1/101","Bl",2,"Bl",2,NA,NA,FALSE
"6534","ESSFwh1","ESSFwh1/101","Cw",2,"Cw",2,NA,NA,FALSE
"6535","ESSFwh1","ESSFwh1/101","Fdi",3,"Fd",3,NA,NA,FALSE
"6536","ESSFwh1","ESSFwh1/101","Hw",1,"Hw",1,NA,NA,FALSE
"6537","ESSFwh1","ESSFwh1/101","Lw",3,"Lw",3,NA,NA,FALSE
"6538","ESSFwh1","ESSFwh1/101","Pli",3,"Pl",3,NA,NA,FALSE
"6539","ESSFwh1","ESSFwh1/101","Pw",4,"Pw",4,NA,NA,FALSE
"6540","ESSFwh1","ESSFwh1/101","Se",1,"Sx",1,NA,NA,FALSE
"6541","ESSFwh1","ESSFwh1/102","Bl",3,"Bl",3,NA,NA,FALSE
"6542","ESSFwh1","ESSFwh1/102","Fdi",3,"Fd",3,NA,NA,FALSE
"6543","ESSFwh1","ESSFwh1/102","Pa",3,"Pa",3,NA,NA,FALSE
"6544","ESSFwh1","ESSFwh1/102","Pli",3,"Pl",3,NA,NA,FALSE
"6545","ESSFwh1","ESSFwh1/102","Se",2,"Sx",2,NA,NA,FALSE
"6546","ESSFwh1","ESSFwh1/103","Bl",2,"Bl",2,NA,NA,FALSE
"6547","ESSFwh1","ESSFwh1/103","Cw",3,"Cw",3,NA,NA,FALSE
"6548","ESSFwh1","ESSFwh1/103","Fdi",1,"Fd",1,NA,NA,FALSE
"6549","ESSFwh1","ESSFwh1/103","Lw",2,"Lw",2,NA,NA,FALSE
"6550","ESSFwh1","ESSFwh1/103","Pa",3,"Pa",3,NA,NA,FALSE
"6551","ESSFwh1","ESSFwh1/103","Pli",2,"Pl",2,NA,NA,FALSE
"6552","ESSFwh1","ESSFwh1/103","Pw",3,"Pw",3,NA,NA,FALSE
"6553","ESSFwh1","ESSFwh1/103","Se",2,"Sx",2,NA,NA,FALSE
"6554","ESSFwh1","ESSFwh1/104","Bl",2,"Bl",2,NA,NA,FALSE
"6555","ESSFwh1","ESSFwh1/104","Cw",3,"Cw",3,NA,NA,FALSE
"6556","ESSFwh1","ESSFwh1/104","Fdi",2,"Fd",2,NA,NA,FALSE
"6557","ESSFwh1","ESSFwh1/104","Hw",1,"Hw",1,NA,NA,FALSE
"6558","ESSFwh1","ESSFwh1/104","Lw",2,"Lw",2,NA,NA,FALSE
"6559","ESSFwh1","ESSFwh1/104","Pa",3,"Pa",3,NA,NA,FALSE
"6560","ESSFwh1","ESSFwh1/104","Pli",3,"Pl",3,NA,NA,FALSE
"6561","ESSFwh1","ESSFwh1/104","Pw",3,"Pw",3,NA,NA,FALSE
"6562","ESSFwh1","ESSFwh1/104","Se",2,"Sx",2,NA,NA,FALSE
"6563","ESSFwh1","ESSFwh1/110","Act",2,"Ac",2,NA,NA,FALSE
"6564","ESSFwh1","ESSFwh1/110","Bl",2,"Bl",2,NA,NA,FALSE
"6565","ESSFwh1","ESSFwh1/110","Cw",3,"Cw",3,NA,NA,FALSE
"6566","ESSFwh1","ESSFwh1/110","Hw",3,"Hw",3,NA,NA,FALSE
"6567","ESSFwh1","ESSFwh1/110","Se",1,"Sx",1,NA,NA,FALSE
"6568","ESSFwh1","ESSFwh1/111","Act",3,"Ac",3,NA,NA,FALSE
"6569","ESSFwh1","ESSFwh1/111","Bl",2,"Bl",2,NA,NA,FALSE
"6570","ESSFwh1","ESSFwh1/111","Hw",3,"Hw",3,NA,NA,FALSE
"6571","ESSFwh1","ESSFwh1/111","Se",1,"Sx",1,NA,NA,FALSE
"6572","ESSFwh1","ESSFwh1/111a","Act",3,"Ac",3,NA,NA,FALSE
"6573","ESSFwh1","ESSFwh1/111a","Bl",2,"Bl",2,NA,NA,FALSE
"6574","ESSFwh1","ESSFwh1/111a","Hw",3,"Hw",3,NA,NA,FALSE
"6575","ESSFwh1","ESSFwh1/111a","Se",1,"Sx",1,NA,NA,FALSE
"6576","ESSFwh1","ESSFwh1/111b","Act",5,"Ac",5,NA,NA,FALSE
"6577","ESSFwh1","ESSFwh1/111b","Bl",3,"Bl",3,NA,NA,FALSE
"6578","ESSFwh1","ESSFwh1/111b","Hw",3,"Hw",3,NA,NA,FALSE
"6579","ESSFwh1","ESSFwh1/111b","Se",3,"Sx",3,NA,NA,FALSE
"6581","ESSFwh2","ESSFwh2/101","Act",3,"Ac",3,NA,NA,FALSE
"6582","ESSFwh2","ESSFwh2/101","At",3,"At",3,NA,NA,FALSE
"6583","ESSFwh2","ESSFwh2/101","Bl",2,"Bl",2,NA,NA,FALSE
"6584","ESSFwh2","ESSFwh2/101","Cw",3,"Cw",3,NA,NA,FALSE
"6585","ESSFwh2","ESSFwh2/101","Fdi",3,"Fd",3,NA,NA,FALSE
"6586","ESSFwh2","ESSFwh2/101","Hw",2,"Hw",2,NA,NA,FALSE
"6587","ESSFwh2","ESSFwh2/101","Lw",3,"Lw",3,NA,NA,FALSE
"6588","ESSFwh2","ESSFwh2/101","Pli",3,"Pl",3,NA,NA,FALSE
"6589","ESSFwh2","ESSFwh2/101","Pw",3,"Pw",3,NA,NA,FALSE
"6590","ESSFwh2","ESSFwh2/101","Se",1,"Sx",1,NA,NA,FALSE
"6591","ESSFwh2","ESSFwh2/102","Bl",2,"Bl",2,NA,NA,FALSE
"6592","ESSFwh2","ESSFwh2/102","Fdi",3,"Fd",3,NA,NA,FALSE
"6593","ESSFwh2","ESSFwh2/102","Hw",3,"Hw",3,NA,NA,FALSE
"6594","ESSFwh2","ESSFwh2/102","Pa",3,"Pa",3,NA,NA,FALSE
"6595","ESSFwh2","ESSFwh2/102","Pli",2,"Pl",2,NA,NA,FALSE
"6596","ESSFwh2","ESSFwh2/102","Pw",5,"Pw",5,NA,NA,FALSE
"6597","ESSFwh2","ESSFwh2/102","Se",3,"Sx",3,NA,NA,FALSE
"6598","ESSFwh2","ESSFwh2/103","Bl",2,"Bl",2,NA,NA,FALSE
"6599","ESSFwh2","ESSFwh2/103","Fdi",2,"Fd",2,NA,NA,FALSE
"6600","ESSFwh2","ESSFwh2/103","Hw",3,"Hw",3,NA,NA,FALSE
"6601","ESSFwh2","ESSFwh2/103","Lw",3,"Lw",3,NA,NA,FALSE
"6602","ESSFwh2","ESSFwh2/103","Pa",3,"Pa",3,NA,NA,FALSE
"6603","ESSFwh2","ESSFwh2/103","Pli",2,"Pl",2,NA,NA,FALSE
"6604","ESSFwh2","ESSFwh2/103","Pw",3,"Pw",3,NA,NA,FALSE
"6605","ESSFwh2","ESSFwh2/103","Se",1,"Sx",1,NA,NA,FALSE
"6606","ESSFwh2","ESSFwh2/104","Bl",1,"Bl",1,NA,NA,FALSE
"6607","ESSFwh2","ESSFwh2/104","Cw",3,"Cw",3,NA,NA,FALSE
"6608","ESSFwh2","ESSFwh2/104","Fdi",3,"Fd",3,NA,NA,FALSE
"6609","ESSFwh2","ESSFwh2/104","Hw",3,"Hw",3,NA,NA,FALSE
"6610","ESSFwh2","ESSFwh2/104","Lw",3,"Lw",3,NA,NA,FALSE
"6611","ESSFwh2","ESSFwh2/104","Pli",3,"Pl",3,NA,NA,FALSE
"6612","ESSFwh2","ESSFwh2/104","Pw",3,"Pw",3,NA,NA,FALSE
"6613","ESSFwh2","ESSFwh2/104","Se",1,"Sx",1,NA,NA,FALSE
"6614","ESSFwh2","ESSFwh2/110","Act",2,"Ac",2,NA,NA,FALSE
"6615","ESSFwh2","ESSFwh2/110","Bl",1,"Bl",1,NA,NA,FALSE
"6616","ESSFwh2","ESSFwh2/110","Cw",3,"Cw",3,NA,NA,FALSE
"6617","ESSFwh2","ESSFwh2/110","Hw",3,"Hw",3,NA,NA,FALSE
"6618","ESSFwh2","ESSFwh2/110","Se",1,"Sx",1,NA,NA,FALSE
"6619","ESSFwh2","ESSFwh2/111","Act",2,"Ac",2,NA,NA,FALSE
"6620","ESSFwh2","ESSFwh2/111","Bl",1,"Bl",1,NA,NA,FALSE
"6621","ESSFwh2","ESSFwh2/111","Cw",3,"Cw",3,NA,NA,FALSE
"6622","ESSFwh2","ESSFwh2/111","Hw",3,"Hw",3,NA,NA,FALSE
"6623","ESSFwh2","ESSFwh2/111","Se",1,"Sx",1,NA,NA,FALSE
"6624","ESSFwh2","ESSFwh2/112","Bl",2,"Bl",2,NA,NA,FALSE
"6625","ESSFwh2","ESSFwh2/112","Hw",3,"Hw",3,NA,NA,FALSE
"6626","ESSFwh2","ESSFwh2/112","Se",1,"Sx",1,NA,NA,FALSE
"6627","ESSFwh2","ESSFwh2/112a","Bl",2,"Bl",2,NA,NA,FALSE
"6628","ESSFwh2","ESSFwh2/112a","Hw",3,"Hw",3,NA,NA,FALSE
"6629","ESSFwh2","ESSFwh2/112a","Se",1,"Sx",1,NA,NA,FALSE
"6630","ESSFwh2","ESSFwh2/112b","Bl",3,"Bl",3,NA,NA,FALSE
"6631","ESSFwh2","ESSFwh2/112b","Hw",3,"Hw",3,NA,NA,FALSE
"6632","ESSFwh2","ESSFwh2/112b","Se",3,"Sx",3,NA,NA,FALSE
"6634","ESSFwh3","ESSFwh3/101","Act",3,"Ac",3,NA,NA,FALSE
"6635","ESSFwh3","ESSFwh3/101","At",3,"At",3,NA,NA,FALSE
"6636","ESSFwh3","ESSFwh3/101","Bl",2,"Bl",2,NA,NA,FALSE
"6637","ESSFwh3","ESSFwh3/101","Cw",3,"Cw",3,NA,NA,FALSE
"6638","ESSFwh3","ESSFwh3/101","Fdi",3,"Fd",3,NA,NA,FALSE
"6639","ESSFwh3","ESSFwh3/101","Hw",2,"Hw",2,NA,NA,FALSE
"6640","ESSFwh3","ESSFwh3/101","Lw",3,"Lw",3,NA,NA,FALSE
"6641","ESSFwh3","ESSFwh3/101","Pli",3,"Pl",3,NA,NA,FALSE
"6642","ESSFwh3","ESSFwh3/101","Pw",3,"Pw",3,NA,NA,FALSE
"6643","ESSFwh3","ESSFwh3/101","Se",1,"Sx",1,NA,NA,FALSE
"6644","ESSFwh3","ESSFwh3/102","Bl",2,"Bl",2,NA,NA,FALSE
"6645","ESSFwh3","ESSFwh3/102","Fdi",3,"Fd",3,NA,NA,FALSE
"6646","ESSFwh3","ESSFwh3/102","Lw",3,"Lw",3,NA,NA,FALSE
"6647","ESSFwh3","ESSFwh3/102","Pa",3,"Pa",3,NA,NA,FALSE
"6648","ESSFwh3","ESSFwh3/102","Pli",2,"Pl",2,NA,NA,FALSE
"6649","ESSFwh3","ESSFwh3/102","Se",3,"Sx",3,NA,NA,FALSE
"6650","ESSFwh3","ESSFwh3/103","Bl",2,"Bl",2,NA,NA,FALSE
"6651","ESSFwh3","ESSFwh3/103","Fdi",2,"Fd",2,NA,NA,FALSE
"6652","ESSFwh3","ESSFwh3/103","Hw",3,"Hw",3,NA,NA,FALSE
"6653","ESSFwh3","ESSFwh3/103","Lw",2,"Lw",2,NA,NA,FALSE
"6654","ESSFwh3","ESSFwh3/103","Pa",3,"Pa",3,NA,NA,FALSE
"6655","ESSFwh3","ESSFwh3/103","Pli",1,"Pl",1,NA,NA,FALSE
"6656","ESSFwh3","ESSFwh3/103","Pw",3,"Pw",3,NA,NA,FALSE
"6657","ESSFwh3","ESSFwh3/103","Se",2,"Sx",2,NA,NA,FALSE
"6658","ESSFwh3","ESSFwh3/104","Bl",1,"Bl",1,NA,NA,FALSE
"6659","ESSFwh3","ESSFwh3/104","Cw",3,"Cw",3,NA,NA,FALSE
"6660","ESSFwh3","ESSFwh3/104","Fdi",3,"Fd",3,NA,NA,FALSE
"6661","ESSFwh3","ESSFwh3/104","Hw",3,"Hw",3,NA,NA,FALSE
"6662","ESSFwh3","ESSFwh3/104","Lw",3,"Lw",3,NA,NA,FALSE
"6663","ESSFwh3","ESSFwh3/104","Pli",3,"Pl",3,NA,NA,FALSE
"6664","ESSFwh3","ESSFwh3/104","Pw",3,"Pw",3,NA,NA,FALSE
"6665","ESSFwh3","ESSFwh3/104","Se",2,"Sx",2,NA,NA,FALSE
"6666","ESSFwh3","ESSFwh3/110","Act",2,"Ac",2,NA,NA,FALSE
"6667","ESSFwh3","ESSFwh3/110","Bl",2,"Bl",2,NA,NA,FALSE
"6668","ESSFwh3","ESSFwh3/110","Cw",3,"Cw",3,NA,NA,FALSE
"6669","ESSFwh3","ESSFwh3/110","Hw",2,"Hw",2,NA,NA,FALSE
"6670","ESSFwh3","ESSFwh3/110","Pli",5,"Pl",5,NA,NA,FALSE
"6671","ESSFwh3","ESSFwh3/110","Se",1,"Sx",1,NA,NA,FALSE
"6672","ESSFwh3","ESSFwh3/111","Act",2,"Ac",2,NA,NA,FALSE
"6673","ESSFwh3","ESSFwh3/111","Bl",2,"Bl",2,NA,NA,FALSE
"6674","ESSFwh3","ESSFwh3/111","Cw",3,"Cw",3,NA,NA,FALSE
"6675","ESSFwh3","ESSFwh3/111","Hw",1,"Hw",1,NA,NA,FALSE
"6676","ESSFwh3","ESSFwh3/111","Se",1,"Sx",1,NA,NA,FALSE
