"","bgc","ss_nospace","sppsplit","spp","suitability","newsuit","mod","outrange","Zone","Note"
"82","CWHvh3","CWHvh3/106c","Yc","Yc",3,3,"SCS/HAK",FALSE,"CWH"," "
"83","CWHvh3","CWHvh3/106c","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"84","CWHvh3","CWHvh3/110","Dr","Dr",2,2,"SCS/HAK",FALSE,"CWH"," "
"85","CWHvh3","CWHvh3/110","Hw","Hw",2,2,"SCS/HAK",FALSE,"CWH"," "
"86","CWHvh3","CWHvh3/110","Ss","Ss",1,1,"SCS/HAK",FALSE,"CWH"," "
"87","CWHvh3","CWHvh3/110","Yc","Yc",3,3,"SCS/HAK",FALSE,"CWH"," "
"88","CWHvh3","CWHvh3/110","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"89","CWHvh3","CWHvh3/110a","Dr","Dr",2,2,"SCS/HAK",FALSE,"CWH"," "
"90","CWHvh3","CWHvh3/110a","Hw","Hw",2,2,"SCS/HAK",FALSE,"CWH"," "
"91","CWHvh3","CWHvh3/110a","Ss","Ss",1,1,"SCS/HAK",FALSE,"CWH"," "
"92","CWHvh3","CWHvh3/110a","Yc","Yc",3,3,"SCS/HAK",FALSE,"CWH"," "
"93","CWHvh3","CWHvh3/110a","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"94","CWHvh3","CWHvh3/110b","Dr","Dr",2,2,"SCS/HAK",FALSE,"CWH"," "
"95","CWHvh3","CWHvh3/110b","Hw","Hw",2,2,"SCS/HAK",FALSE,"CWH"," "
"96","CWHvh3","CWHvh3/110b","Ss","Ss",1,1,"SCS/HAK",FALSE,"CWH"," "
"97","CWHvh3","CWHvh3/110b","Yc","Yc",3,3,"SCS/HAK",FALSE,"CWH"," "
"98","CWHvh3","CWHvh3/110b","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"99","CWHvh3","CWHvh3/110c","Dr","Dr",2,2,"SCS/HAK",FALSE,"CWH"," "
"100","CWHvh3","CWHvh3/110c","Hw","Hw",2,2,"SCS/HAK",FALSE,"CWH"," "
"101","CWHvh3","CWHvh3/110c","Ss","Ss",1,1,"SCS/HAK",FALSE,"CWH"," "
"102","CWHvh3","CWHvh3/110c","Yc","Yc",3,3,"SCS/HAK",FALSE,"CWH"," "
"103","CWHvh3","CWHvh3/110c","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"104","CWHvh3","CWHvh3/111","Dr","Dr",1,1,"SCS/HAK",FALSE,"CWH"," "
"105","CWHvh3","CWHvh3/111","Hw","Hw",2,1,"SCS/HAK",FALSE,"CWH"," "
"106","CWHvh3","CWHvh3/111","Ss","Ss",1,1,"SCS/HAK",FALSE,"CWH"," "
"107","CWHvh3","CWHvh3/111","Cw","Cw",NA,2,"SCS/HAK",FALSE,"CWH"," "
"108","CWHvh3","CWHvh3/112","Dr","Dr",1,1,"SCS/HAK",FALSE,"CWH"," "
"109","CWHvh3","CWHvh3/112","Hw","Hw",3,2,"SCS/HAK",FALSE,"CWH"," "
"110","CWHvh3","CWHvh3/112","Ss","Ss",1,1,"SCS/HAK",FALSE,"CWH"," "
"111","CWHvh3","CWHvh3/112","Cw","Cw",NA,2,"SCS/HAK",FALSE,"CWH"," "
"112","CWHvh3","CWHvh3/113","Dr","Dr",1,1,"SCS/HAK",FALSE,"CWH"," "
"113","CWHvh3","CWHvh3/113","Ss","Ss",3,3,"SCS/HAK",FALSE,"CWH"," "
"114","CWHvh3","CWHvh3/113","Hw","Hw",NA,3,"SCS/HAK",FALSE,"CWH"," "
"115","CWHvh3","CWHvh3/114","Dr","Dr",2,2,"SCS/HAK",FALSE,"CWH"," "
"116","CWHvh3","CWHvh3/114","Hw","Hw",2,1,"SCS/HAK",FALSE,"CWH"," "
"117","CWHvh3","CWHvh3/114","Ss","Ss",1,1,"SCS/HAK",FALSE,"CWH"," "
"118","CWHvh3","CWHvh3/114","Yc","Yc",3,4,"SCS/HAK",FALSE,"CWH"," "
"119","CWHvh3","CWHvh3/114","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"120","CWHvh3","CWHvh3/115","Dr","Dr",3,3,"SCS/HAK",FALSE,"CWH"," "
"121","CWHvh3","CWHvh3/115","Hw","Hw",1,2,"SCS/HAK",FALSE,"CWH"," "
"122","CWHvh3","CWHvh3/115","Plc","Pl",2,1,"SCS/HAK",FALSE,"CWH"," "
"123","CWHvh3","CWHvh3/115","Yc","Yc",1,1,"SCS/HAK",FALSE,"CWH"," "
"124","CWHvh3","CWHvh3/115","Cw","Cw",NA,1,"SCS/HAK",FALSE,"CWH"," "
"125","CWHvh3","CWHvh3/115","Hm","Hm",NA,2,"SCS/HAK",FALSE,"CWH"," "
"126","CWHvh3","CWHvh3/116","Dr","Dr",2,2,"SCS/HAK",FALSE,"CWH"," "
"127","CWHvh3","CWHvh3/116","Hw","Hw",3,3,"SCS/HAK",FALSE,"CWH"," "
"128","CWHvh3","CWHvh3/116","Ss","Ss",2,2,"SCS/HAK",FALSE,"CWH"," "
"129","CWHvh3","CWHvh3/116","Cw","Cw",NA,2,"SCS/HAK",FALSE,"CWH"," "
"130","CWHvh3","CWHvh3/117","Dr","Dr",3,3,"SCS/HAK",FALSE,"CWH"," "
"131","CWHvh3","CWHvh3/117","Hw","Hw",3,2,"SCS/HAK",FALSE,"CWH"," "
"132","CWHvh3","CWHvh3/117","Plc","Pl",3,3,"SCS/HAK",FALSE,"CWH"," "
"133","CWHvh3","CWHvh3/117","Ss","Ss",2,2,"SCS/HAK",FALSE,"CWH"," "
"134","CWHvh3","CWHvh3/117","Yc","Yc",NA,2,"SCS/HAK",FALSE,"CWH"," "
"135","CWHvh3","CWHvh3/117","Cw","Cw",NA,2,"SCS/HAK",FALSE,"CWH"," "
"136","CWHvh3","CWHvh3/117a","Dr","Dr",3,3,"SCS/HAK",FALSE,"CWH"," "
"137","CWHvh3","CWHvh3/117a","Hw","Hw",3,2,"SCS/HAK",FALSE,"CWH"," "
"138","CWHvh3","CWHvh3/117a","Plc","Pl",3,3,"SCS/HAK",FALSE,"CWH"," "
"139","CWHvh3","CWHvh3/117a","Ss","Ss",2,2,"SCS/HAK",FALSE,"CWH"," "
"140","CWHvh3","CWHvh3/117a","Yc","Yc",NA,2,"SCS/HAK",FALSE,"CWH"," "
"141","CWHvh3","CWHvh3/117a","Cw","Cw",NA,2,"SCS/HAK",FALSE,"CWH"," "
"142","CWHvh3","CWHvh3/117b","Dr","Dr",3,3,"SCS/HAK",FALSE,"CWH"," "
"143","CWHvh3","CWHvh3/117b","Hw","Hw",3,2,"SCS/HAK",FALSE,"CWH"," "
"144","CWHvh3","CWHvh3/117b","Plc","Pl",3,3,"SCS/HAK",FALSE,"CWH"," "
"145","CWHvh3","CWHvh3/117b","Ss","Ss",2,2,"SCS/HAK",FALSE,"CWH"," "
"146","CWHvh3","CWHvh3/117b","Yc","Yc",NA,2,"SCS/HAK",FALSE,"CWH"," "
"147","CWHvh3","CWHvh3/117b","Cw","Cw",NA,2,"SCS/HAK",FALSE,"CWH"," "
"148","CWHvh3","CWHvh3/Wb53","Plc","Pl",2,3,"SCS/HAK",FALSE,"CWH"," "
"149","CWHvh3","CWHvh3/Wb53","Hm","Hm",NA,4,"SCS/HAK",FALSE,"CWH"," "
"150","CWHvh3","CWHvh3/Wb53","Yc","Yc",NA,3,"SCS/HAK",FALSE,"CWH"," "
"151","CWHvh3","CWHvh3/Wb53","Hw","Hw",NA,4,"SCS/HAK",FALSE,"CWH"," "
"152","CWHvh3","CWHvh3/Wb53","Cw","Cw",NA,4,"SCS/HAK",FALSE,"CWH"," "
"153","CWHvh3","CWHvh3/Wb54","Plc","Pl",2,4,"SCS/HAK",FALSE,"CWH"," "
"154","CWHvh3","CWHvh3/Wb54","Hm","Hm",NA,5,"SCS/HAK",FALSE,"CWH"," "
"155","CWHvh3","CWHvh3/Wb54","Yc","Yc",NA,3,"SCS/HAK",FALSE,"CWH"," "
"156","CWHvh3","CWHvh3/Wb54","Hw","Hw",NA,5,"SCS/HAK",FALSE,"CWH"," "
"157","CWHvh3","CWHvh3/Wb54","Cw","Cw",NA,5,"SCS/HAK",FALSE,"CWH"," "
"158","CWHvh3","CWHvh3/Ws58","Cw","Cw",NA,3,"SCS/HAK",FALSE,"CWH"," "
"159","CWHvh3","CWHvh3/Ws58","Yc","Yc",NA,3,"SCS/HAK",FALSE,"CWH"," "
"160","CWHvh3","CWHvh3/Ws58","Hw","Hw",NA,3,"SCS/HAK",FALSE,"CWH"," "
"161","CWHvh3","CWHvh3/Ws58","Plc","Pl ",NA,3,"SCS/HAK",FALSE,"CWH"," "
"162","CWHwh1","CWHwh1/101","Dr","Dr",2,NA,"",FALSE,"CWH"," "
"163","CWHwh1","CWHwh1/101","Hw","Hw",1,NA,"",FALSE,"CWH"," "
"164","CWHwh1","CWHwh1/101","Ss","Ss",1,NA,"",FALSE,"CWH"," "
"165","CWHwh1","CWHwh1/101a","Dr","Dr",2,NA,"",FALSE,"CWH"," "
"166","CWHwh1","CWHwh1/101a","Hw","Hw",1,NA,"",FALSE,"CWH"," "
"167","CWHwh1","CWHwh1/101a","Ss","Ss",1,NA,"",FALSE,"CWH"," "
"168","CWHwh1","CWHwh1/101b","Dr","Dr",2,NA,"",FALSE,"CWH"," "
"169","CWHwh1","CWHwh1/101b","Hw","Hw",1,NA,"",FALSE,"CWH"," "
"170","CWHwh1","CWHwh1/101b","Ss","Ss",1,NA,"",FALSE,"CWH"," "
"171","CWHwh1","CWHwh1/102","Dr","Dr",3,NA,"",FALSE,"CWH"," "
"172","CWHwh1","CWHwh1/102","Hw","Hw",1,NA,"",FALSE,"CWH"," "
"173","CWHwh1","CWHwh1/102","Plc","Pl",3,NA,"",FALSE,"CWH"," "
"174","CWHwh1","CWHwh1/102","Ss","Ss",2,NA,"",FALSE,"CWH"," "
"175","CWHwh1","CWHwh1/103","Cw","Cw",3,NA,"",FALSE,"CWH"," "
"176","CWHwh1","CWHwh1/103","Dr","Dr",3,NA,"",FALSE,"CWH"," "
"177","CWHwh1","CWHwh1/103","Hw","Hw",3,NA,"",FALSE,"CWH"," "
"178","CWHwh1","CWHwh1/103","Ss","Ss",1,NA,"",FALSE,"CWH"," "
"179","CWHwh1","CWHwh1/104","Dr","Dr",3,NA,"",FALSE,"CWH"," "
"180","CWHwh1","CWHwh1/104","Hw","Hw",3,NA,"",FALSE,"CWH"," "
"181","CWHwh1","CWHwh1/104","Ss","Ss",1,NA,"",FALSE,"CWH"," "
"182","CWHwh1","CWHwh1/105","Dr","Dr",2,NA,"",FALSE,"CWH"," "
"183","CWHwh1","CWHwh1/105","Hw","Hw",2,NA,"",FALSE,"CWH"," "
"184","CWHwh1","CWHwh1/105","Ss","Ss",1,NA,"",FALSE,"CWH"," "
"185","CWHwh1","CWHwh1/105a","Dr","Dr",2,NA,"",FALSE,"CWH"," "
"186","CWHwh1","CWHwh1/105a","Hw","Hw",2,NA,"",FALSE,"CWH"," "
"187","CWHwh1","CWHwh1/105a","Ss","Ss",1,NA,"",FALSE,"CWH"," "
"188","CWHwh1","CWHwh1/105b","Dr","Dr",2,NA,"",FALSE,"CWH"," "
"189","CWHwh1","CWHwh1/105b","Hw","Hw",2,NA,"",FALSE,"CWH"," "
"190","CWHwh1","CWHwh1/105b","Ss","Ss",1,NA,"",FALSE,"CWH"," "
"191","CWHwh1","CWHwh1/110","Dr","Dr",3,NA,"",FALSE,"CWH"," "
"192","CWHwh1","CWHwh1/110","Hw","Hw",1,NA,"",FALSE,"CWH"," "
"193","CWHwh1","CWHwh1/110","Plc","Pl",3,NA,"",FALSE,"CWH"," "
"194","CWHwh1","CWHwh1/110","Ss","Ss",3,NA,"",FALSE,"CWH"," "
"195","CWHwh1","CWHwh1/110a","Dr","Dr",3,NA,"",FALSE,"CWH"," "
"196","CWHwh1","CWHwh1/110a","Hw","Hw",1,NA,"",FALSE,"CWH"," "
"197","CWHwh1","CWHwh1/110a","Plc","Pl",3,NA,"",FALSE,"CWH"," "
"198","CWHwh1","CWHwh1/110a","Ss","Ss",3,NA,"",FALSE,"CWH"," "
"199","CWHwh1","CWHwh1/110b","Dr","Dr",3,NA,"",FALSE,"CWH"," "
"200","CWHwh1","CWHwh1/110b","Hw","Hw",1,NA,"",FALSE,"CWH"," "
"201","CWHwh1","CWHwh1/110b","Plc","Pl",3,NA,"",FALSE,"CWH"," "
"202","CWHwh1","CWHwh1/110b","Ss","Ss",3,NA,"",FALSE,"CWH"," "
"203","CWHwh1","CWHwh1/111","Dr","Dr",2,NA,"",FALSE,"CWH"," "
"204","CWHwh1","CWHwh1/111","Hw","Hw",2,NA,"",FALSE,"CWH"," "
"205","CWHwh1","CWHwh1/111","Ss","Ss",1,NA,"",FALSE,"CWH"," "
"206","CWHwh1","CWHwh1/111a","Dr","Dr",2,NA,"",FALSE,"CWH"," "
"207","CWHwh1","CWHwh1/111a","Hw","Hw",2,NA,"",FALSE,"CWH"," "
"208","CWHwh1","CWHwh1/111a","Ss","Ss",1,NA,"",FALSE,"CWH"," "
"209","CWHwh1","CWHwh1/111b","Dr","Dr",2,NA,"",FALSE,"CWH"," "
"210","CWHwh1","CWHwh1/111b","Hw","Hw",2,NA,"",FALSE,"CWH"," "
"211","CWHwh1","CWHwh1/111b","Ss","Ss",1,NA,"",FALSE,"CWH"," "
"212","CWHwh1","CWHwh1/111c","Dr","Dr",2,NA,"",FALSE,"CWH"," "
"213","CWHwh1","CWHwh1/111c","Hw","Hw",2,NA,"",FALSE,"CWH"," "
"214","CWHwh1","CWHwh1/111c","Ss","Ss",1,NA,"",FALSE,"CWH"," "
"215","CWHwh1","CWHwh1/112","Dr","Dr",1,NA,"",FALSE,"CWH"," "
"216","CWHwh1","CWHwh1/112","Hw","Hw",2,NA,"",FALSE,"CWH"," "
"217","CWHwh1","CWHwh1/112","Ss","Ss",1,NA,"",FALSE,"CWH"," "
"218","CWHwh1","CWHwh1/113","Dr","Dr",1,NA,"",FALSE,"CWH"," "
"219","CWHwh1","CWHwh1/113","Hw","Hw",3,NA,"",FALSE,"CWH"," "
"220","CWHwh1","CWHwh1/113","Ss","Ss",1,NA,"",FALSE,"CWH"," "
"221","CWHwh1","CWHwh1/114","Dr","Dr",1,NA,"",FALSE,"CWH"," "
"222","CWHwh1","CWHwh1/114","Ss","Ss",3,NA,"",FALSE,"CWH"," "
"223","CWHwh1","CWHwh1/115","Dr","Dr",3,NA,"",FALSE,"CWH"," "
"224","CWHwh1","CWHwh1/115","Hm","Hm",3,NA,"",FALSE,"CWH"," "
"225","CWHwh1","CWHwh1/115","Hw","Hw",2,NA,"",FALSE,"CWH"," "
"226","CWHwh1","CWHwh1/115","Plc","Pl",3,NA,"",FALSE,"CWH"," "
"227","CWHwh1","CWHwh1/115","Yc","Yc",2,NA,"",FALSE,"CWH"," "
"228","CWHwh1","CWHwh1/116","Dr","Dr",2,NA,"",FALSE,"CWH"," "
"229","CWHwh1","CWHwh1/116","Hw","Hw",2,NA,"",FALSE,"CWH"," "
"230","CWHwh1","CWHwh1/116","Ss","Ss",1,NA,"",FALSE,"CWH"," "
"231","CWHwh1","CWHwh1/117","Dr","Dr",3,NA,"",FALSE,"CWH"," "
"232","CWHwh1","CWHwh1/117","Hw","Hw",3,NA,"",FALSE,"CWH"," "
"233","CWHwh1","CWHwh1/117","Ss","Ss",2,NA,"",FALSE,"CWH"," "
"234","CWHwh1","CWHwh1/118","Dr","Dr",3,NA,"",FALSE,"CWH"," "
"235","CWHwh1","CWHwh1/118","Hw","Hw",3,NA,"",FALSE,"CWH"," "
"236","CWHwh1","CWHwh1/118","Plc","Pl",3,NA,"",FALSE,"CWH"," "
"237","CWHwh1","CWHwh1/118","Ss","Ss",2,NA,"",FALSE,"CWH"," "
"238","CWHwh1","CWHwh1/118","Yc","Yc",3,NA,"",FALSE,"CWH"," "
"239","CWHwh1","CWHwh1/118a","Dr","Dr",3,NA,"",FALSE,"CWH"," "
"240","CWHwh1","CWHwh1/118a","Hw","Hw",3,NA,"",FALSE,"CWH"," "
"241","CWHwh1","CWHwh1/118a","Plc","Pl",3,NA,"",FALSE,"CWH"," "
"242","CWHwh1","CWHwh1/118a","Ss","Ss",2,NA,"",FALSE,"CWH"," "
"243","CWHwh1","CWHwh1/118a","Yc","Yc",5,NA,"",FALSE,"CWH"," "
"244","CWHwh1","CWHwh1/118b","Dr","Dr",3,NA,"",FALSE,"CWH"," "
"245","CWHwh1","CWHwh1/118b","Hw","Hw",3,NA,"",FALSE,"CWH"," "
"246","CWHwh1","CWHwh1/118b","Plc","Pl",3,NA,"",FALSE,"CWH"," "
"247","CWHwh1","CWHwh1/118b","Ss","Ss",3,NA,"",FALSE,"CWH"," "
"248","CWHwh1","CWHwh1/118b","Yc","Yc",3,NA,"",FALSE,"CWH"," "
"249","CWHwh1","CWHwh1/Wb51","Plc","Pl",2,NA,"",FALSE,"CWH"," "
"250","CWHwh1","CWHwh1/Wb51","Yc","Yc",3,NA,"",FALSE,"CWH"," "
"251","CWHwh2","CWHwh2/101","Hm","Hm",3,NA,"",FALSE,"CWH"," "
"252","CWHwh2","CWHwh2/101","Hw","Hw",1,NA,"",FALSE,"CWH"," "
"253","CWHwh2","CWHwh2/101","Ss","Ss",2,NA,"",FALSE,"CWH"," "
"254","CWHwh2","CWHwh2/101","Yc","Yc",1,NA,"",FALSE,"CWH"," "
"255","CWHwh2","CWHwh2/101a","Hm","Hm",3,NA,"",FALSE,"CWH"," "
"256","CWHwh2","CWHwh2/101a","Hw","Hw",1,NA,"",FALSE,"CWH"," "
"257","CWHwh2","CWHwh2/101a","Ss","Ss",2,NA,"",FALSE,"CWH"," "
"258","CWHwh2","CWHwh2/101a","Yc","Yc",1,NA,"",FALSE,"CWH"," "
"259","CWHwh2","CWHwh2/101b","Hm","Hm",3,NA,"",FALSE,"CWH"," "
"260","CWHwh2","CWHwh2/101b","Hw","Hw",1,NA,"",FALSE,"CWH"," "
"261","CWHwh2","CWHwh2/101b","Ss","Ss",2,NA,"",FALSE,"CWH"," "
"262","CWHwh2","CWHwh2/101b","Yc","Yc",1,NA,"",FALSE,"CWH"," "
"263","CWHwh2","CWHwh2/101c","Hm","Hm",3,NA,"",FALSE,"CWH"," "
"264","CWHwh2","CWHwh2/101c","Hw","Hw",1,NA,"",FALSE,"CWH"," "
"265","CWHwh2","CWHwh2/101c","Ss","Ss",2,NA,"",FALSE,"CWH"," "
"266","CWHwh2","CWHwh2/101c","Yc","Yc",1,NA,"",FALSE,"CWH"," "
"267","CWHwh2","CWHwh2/110","Hm","Hm",3,NA,"",FALSE,"CWH"," "
"268","CWHwh2","CWHwh2/110","Hw","Hw",1,NA,"",FALSE,"CWH"," "
"269","CWHwh2","CWHwh2/110","Ss","Ss",2,NA,"",FALSE,"CWH"," "
"270","CWHwh2","CWHwh2/110","Yc","Yc",1,NA,"",FALSE,"CWH"," "
