BGC,Subzone,Zone,ZoneName,BGCName,SubzoneName,General Location
IWFxk_NV,IWFxk,IWF,Interior White Fir,Very Dry Cool Nevada IWF,Very Dry Cool,E Nevada
IWFxm_CA,IWFxm,IWF,Interior White Fir,Very Dry Mild Nevada IWF,Very Dry Mild,"NE California, W Nevada, near Lake Tahoe"
MDCH,MDCH,MDCH,Madrean Chaparral,,,
MDCHun_NV,MDCHun,MDCH,Madrean Chaparral,Nevada MDCH,,"SE Nevada, SW Utah [NW & C Arizona]"
MGP,MGP,MGP,Mixed-grass Prairie,,,
MGPmw_MT,MGPmw,MGP,Mixed-grass Prairie,Moist Warm Montana MGP,Moist Warm,"N & E Montana, E Wyoming, C & NC Colorado"
MH,MH,MH,Mountain Hemlock,,,
MHdm_OR,MHdm,MH,Mountain Hemlock,Dry Maritime Oregon MH,Dry Maritime,NW & WC Oregon
MHdmp_OR,MHdmp,MH,Mountain Hemlock,Dry Maritime Oregon Parkland MH,Dry Maritime,NW & WC Oregon
MHds_OR,MHds,MH,Mountain Hemlock,Dry Submaritime Oregon MH,Dry Submaritime,W Oregon
MHds_WA,MHds,MH,Mountain Hemlock,Dry Submaritime Washington MH,Dry Submaritime,SW Washington
MHmm_WA,MHmm,MH,Mountain Hemlock,Moist Maritime Washington MH,Moist Maritime,W Washington
MHmmp_WA,MHmmp,MH,Mountain Hemlock,Moist Maritime Washington Parkland MH,Moist Maritime,W Washington
MHms_WA,MHms,MH,Mountain Hemlock,Moist Submaritime Washington MH,Moist Submaritime,NW & WC Washington
MHmsp_WA,MHmsp,MH,Mountain Hemlock,Moist Submaritime Washington Parkland MH,Moist Submaritime,NW & WC Washington
MHRF,MHRF,MHRF,Mountain Hemlock – Shasta Red Fir,,,
MHRFdm_OR,MHRFdm,MHRF,Mountain Hemlock – Shasta Red Fir,Dry Maritime Oregon MHRF,Dry Maritime,"SW Oregon, N California"
MHRFdmp_OR,MHRFdmp,MHRF,Mountain Hemlock – Shasta Red Fir,Dry Maritime Oregon Parkland MHRF,Dry Maritime,"SW Oregon, N California"
MHRFds_CA,MHRFds,MHRF,Mountain Hemlock – Shasta Red Fir,Dry Submaritime California MHRF,Dry Submaritime,"SW Oregon, N & EC California"
MHRFdsp_CA,MHRFdsp,MHRF,Mountain Hemlock – Shasta Red Fir,Dry Submaritime California Parkland MHRF,Dry Submaritime,"SW Oregon, N & EC California"
MHRFmm_OR,MHRFmm,MHRF,Mountain Hemlock – Shasta Red Fir,Moist Maritime Oregon MHRF,Moist Maritime,SW Oregon
MHRFmmp_OR,MHRFmmp,MHRF,Mountain Hemlock – Shasta Red Fir,Moist Maritime Oregon Parkland MHRF,Moist Maritime,SW Oregon
MMM,MMM,MMM, Montane Mountain Mahogany ,,,
MMMdk_NV,MMMdk,MMM, Montane Mountain Mahogany ,Dry Cool Nevada MMM,Dry Cool,C & N Nevada
MS,MS,MS,Montane Spruce ,,,
MSdh_MT,MSdh,MS,Montane Spruce ,Dry Hot Montana MS,Dry Hot,W Montana [EC Idaho]
MSdh_UT,MSdh,MS,Montane Spruce ,Dry Hot Utah MS,Dry Hot,"Utah, E Nevada [W Colorado]"
MSdh_WY,MSdh,MS,Montane Spruce ,Dry Hot Wyoming MS,Dry Hot,"SE Idaho, SW Montana, W Wyoming"
MSdk_CO,MSdk,MS,Montane Spruce ,Dry Cool Colorado MS,Dry Cool,SW & SC Colorado
MSdm_WA,MSdm,MS,Montane Spruce ,Dry Mild Washington MS,Dry Mild,NC & NE Washington
MSdw_MT,MSdw,MS,Montane Spruce ,Dry Warm Montana MS,Dry Warm,NW Montana
MSmm_ID,MSmm,MS,Montane Spruce ,Moist Mild Idaho MS,Moist Mild,"C Idaho, WC Montana"
MSSD,MSSD,MSSD,Mojave – Sonoran Semi-Desert,,,
MSSDun_NV,MSSDun,MSSD,Mojave – Sonoran Semi-Desert,Nevada MSSD,,"SE California, S Nevada"
MSxh_OR,MSxh,MS,Montane Spruce ,Very Dry Hot Oregon MS,Very Dry Hot,"NE Oregon, SE Washington"
MSxk_WA,MSxk,MS,Montane Spruce ,Very Dry Cool Washington MS,Very Dry Cool,NC & C Washington
MSxm_CO,MSxm,MS,Montane Spruce ,Very Dry Mild Colorado MS,Very Dry Mild,"C & N Colorado, SE Wyoming [E Utah]"
MSxx_NV,MSxx,MS,Montane Spruce ,Very Dry Very Hot Nevada MS,Very Dry Very Hot,C & EC Nevada
OW,OW,OW,Oak Woodland,,,
OWdm_CA,OWdm,OW,Oak Woodland,Dry Maritime California OW,Dry Maritime,C & N California
OWmm_OR,OWmm,OW,Oak Woodland,Moist Maritime Oregon OW,Moist Maritime,"SW Oregon, N California"
OWwm_OR,OWwm,OW,Oak Woodland,Wet Maritime Oregon OW,Wet Maritime,SW Oregon
OWxm_CA,OWxm,OW,Oak Woodland,Very Dry Maritime California OW,Very Dry Maritime,S California
PP,PP,PP,Ponderosa Pine,,,
PPJW,PPJW,PPJW,Pinyon Pine – Juniper Woodland,,,
PPJWdm_WY,PPJWdm,PPJW,Pinyon Pine – Juniper Woodland,Dry Mild Wyoming PPJW,Dry Mild,"Wyoming [NE Utah, NW Colorado]"
PPJWdw_UT,PPJWdw,PPJW,Pinyon Pine – Juniper Woodland,Dry Warm Utah PPJW,Dry Warm,"Utah, W Colorado [SE Idaho]"
PPJWmw_UT,PPJWmw,PPJW,Pinyon Pine – Juniper Woodland,Moist Warm Utah PPJW,Moist Warm,"E Utah, W Colorado"
PPJWwm_CO,PPJWwm,PPJW,Pinyon Pine – Juniper Woodland,Wet Mild Colorado PPJW,Wet Mild,EC & SE Colorado
PPJWxh_CA,PPJWxh,PPJW,Pinyon Pine – Juniper Woodland,Very Dry Hot California PPJW,Very Dry Hot,S California
PPJWxw_NV,PPJWxw,PPJW,Pinyon Pine – Juniper Woodland,Very Dry Warm Nevada PPJW,Very Dry Warm,"Nevada, E California, W Utah, S Idaho"
PPmx_WY,PPmx,PP,Ponderosa Pine,Moist Very Hot Wyoming PP,Moist Very Hot,NE Wyoming [SE Montana]
PPxh_CO,PPxh,PP,Ponderosa Pine,Very Dry Hot Colorado PP,Very Dry Hot,"SW, SC, & NC Colorado"
PPxh_WA,PPxh,PP,Ponderosa Pine,Very Dry Hot Washington PP,Very Dry Hot,"NC & E Washington, NE Oregon, W Idaho"
PPxk_OR,PPxk,PP,Ponderosa Pine,Very Dry Cool Oregon PP,Very Dry Cool,SC Oregon
PPxm_OR,PPxm,PP,Ponderosa Pine,Very Dry Mild Oregon PP,Very Dry Mild,"C & S Oregon, NE California"
PPxw_MT,PPxw,PP,Ponderosa Pine,Very Dry Warm Montana PP,Very Dry Warm,"C & S Montana, NE Wyoming"
PPxw_WY,PPxw,PP,Ponderosa Pine,Very Dry Warm Wyoming PP,Very Dry Warm,SE Wyoming
PPxx_OR,PPxx,PP,Ponderosa Pine,Very Dry Very Hot Oregon PP,Very Dry Very Hot,"SC Washington, NC Oregon"
SBAP,SBAP,SBAP,Sub-boreal Aspen Parkland,,,
SBAPfp,SBAPfp,SBAP,Sub-boreal Aspen Parkland,Foothills Parkland Sub-boreal Aspen Parkland,,"NW Montana, to AB border"
SGP,SGP,SGP,Shortgrass Prairie,,,
SGPdm_CO,SGPdm,SGP,Shortgrass Prairie,Dry Mild Colorado SGP,Dry Mild,"E Colorado, SE Wyoming"
WJP,WJP,WJP,Western Juniper – Pine,,,
WJPxm_OR,WJPxm,WJP,Western Juniper – Pine,Very Dry Mild Oregon WJP,Very Dry Mild,"Oregon, NE California, NW Nevada, SW Idaho"
