"","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange","Zone","Note","Region"
"66","ESSFdvw","ESSFdvw/06","Se",2,"Sx",NA,NA,FALSE,"ESSF",NA,"CAR"
"67","ESSFmw2","ESSFmw2/06","Pli",3,"Pl",NA,NA,FALSE,"ESSF",NA,"TO"
"68","ESSFmw2","ESSFmw2/07","Pli",3,"Pl",NA,NA,FALSE,"ESSF",NA,"TO"
"69","ESSFmww","ESSFmww/103","Pa",3,"Pa",NA,NA,FALSE,"ESSF","imputed","TO"
"70","ESSFxc1","ESSFxc1/Ws08","Bl",4,"Bl",NA,NA,FALSE,"ESSF",NA,"TO"
"71","ESSFxc1","ESSFxc1/Ws12","Bl",4,"Bl",NA,NA,FALSE,"ESSF",NA,"TO"
"72","ESSFxc1","ESSFxc1/102","Fdi",3,"Fd",NA,NA,FALSE,"ESSF",NA,"TO"
"73","ESSFxc1","ESSFxc1/Ws08","Sx",4,"Sx",NA,NA,FALSE,"ESSF",NA,"TO"
"74","ESSFxc1","ESSFxc1/Ws12","Sx",4,"Sx",NA,NA,FALSE,"ESSF",NA,"TO"
"75","ESSFxc2","ESSFxc2/Ws08","Bl",4,"Bl",NA,NA,FALSE,"ESSF",NA,"TO"
"76","ESSFxc2","ESSFxc2/111","Pli",3,"Pl",NA,NA,FALSE,"ESSF","imputed","TO"
"77","ESSFxc2","ESSFxc2/Ws08","Sx",4,"Sx",NA,NA,FALSE,"ESSF",NA,"TO"
"78","ESSFxc3","ESSFxc3/03","Bl",3,"Bl",NA,NA,FALSE,"ESSF","imputed","TO"
"79","ESSFxc3","ESSFxc3/10","Bl",4,"Bl",NA,NA,FALSE,"ESSF",NA,"TO"
"80","ESSFxc3","ESSFxc3/03","Pa",2,"Pa",NA,NA,FALSE,"ESSF","imputed","TO"
"81","ESSFxc3","ESSFxc3/04","Pli",1,"Pl",NA,NA,FALSE,"ESSF","imputed","TO"
"82","ESSFxc3","ESSFxc3/03","Pli",2,"Pl",NA,NA,FALSE,"ESSF","imputed","TO"
"83","ESSFxc3","ESSFxc3/04","Sx",3,"Sx",NA,NA,FALSE,"ESSF","imputed","TO"
"84","ESSFxc3","ESSFxc3/10","Se",4,"Sx",NA,NA,FALSE,"ESSF",NA,"TO"
"85","ESSFxcp","ESSFxcp/00","Bl",3,"Bl",NA,NA,FALSE,"ESSF",NA,"TO"
"86","ESSFxcp","ESSFxcp/00","Pa",3,"Pa",NA,NA,FALSE,"ESSF","imputed","TO"
"87","ESSFxcp","ESSFxcp/00","Sx",4,"Sx",NA,NA,FALSE,"ESSF","imputed","TO"
"88","ESSFxv2","ESSFxv2/03","At",3,"At",NA,NA,FALSE,"ESSF","imputed","CAR"
"89","ESSFxv2","ESSFxv2/02","Sx",3,"Sx",NA,NA,FALSE,"ESSF","imputed","CAR"
"90","ESSFxvp","ESSFxvp/00","Bl",3,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"91","ESSFxvw","ESSFxvw/01","Bl",2,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"92","ESSFxvw","ESSFxvw/02","Bl",3,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"93","ESSFxvw","ESSFxvw/04","Bl",2,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"94","ESSFxvw","ESSFxvw/05","Bl",2,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"95","ESSFxvw","ESSFxvw/06","Bl",2,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"96","ESSFxvw","ESSFxvw/07","Bl",2,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"97","ESSFxvw","ESSFxvw/08","Bl",2,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"98","ESSFxvw","ESSFxvw/09","Bl",2,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"99","ESSFxvw","ESSFxvw/10","Bl",2,"Bl",NA,NA,FALSE,"ESSF",NA,"CAR"
"100","ESSFxvw","ESSFxvw/01","Pa",3,"Pa",NA,NA,FALSE,"ESSF",NA,"CAR"
"101","ESSFxvw","ESSFxvw/02","Pa",2,"Pa",NA,NA,FALSE,"ESSF",NA,"CAR"
"102","ESSFxvw","ESSFxvw/03","Pa",2,"Pa",NA,NA,FALSE,"ESSF",NA,"CAR"
"103","ESSFxvw","ESSFxvw/04","Pa",3,"Pa",NA,NA,FALSE,"ESSF",NA,"CAR"
"104","ESSFxvw","ESSFxvw/05","Pa",3,"Pa",NA,NA,FALSE,"ESSF",NA,"CAR"
"105","ESSFxvw","ESSFxvw/06","Pa",3,"Pa",NA,NA,FALSE,"ESSF",NA,"CAR"
"106","ESSFxvw","ESSFxvw/01","Pli",2,"Pl",NA,NA,FALSE,"ESSF",NA,"CAR"
"107","ESSFxvw","ESSFxvw/02","Pli",3,"Pl",NA,NA,FALSE,"ESSF",NA,"CAR"
"108","ESSFxvw","ESSFxvw/03","Pli",2,"Pl",NA,NA,FALSE,"ESSF",NA,"CAR"
"109","ESSFxvw","ESSFxvw/04","Pli",2,"Pl",NA,NA,FALSE,"ESSF",NA,"CAR"
"110","ESSFxvw","ESSFxvw/05","Pli",2,"Pl",NA,NA,FALSE,"ESSF",NA,"CAR"
"111","ESSFxvw","ESSFxvw/06","Pli",2,"Pl",NA,NA,FALSE,"ESSF",NA,"CAR"
"112","ESSFxvw","ESSFxvw/07","Pli",2,"Pl",NA,NA,FALSE,"ESSF",NA,"CAR"
